time,mono_sec,mono_nsec,ue_id,lcid,pdu_bytes
21:27:42.278707,896307,342252075,1,4,94
21:27:42.289567,896307,353112556,1,4,464
21:27:42.290180,896307,353725121,1,4,959
21:27:42.290182,896307,353726934,1,4,1208
21:27:42.290709,896307,354254706,1,4,304
21:27:42.290710,896307,354255490,1,4,1507
21:27:42.290711,896307,354256206,1,4,356
21:27:42.295319,896307,358864604,1,4,464
21:27:42.295999,896307,359544312,1,4,697
21:27:42.296000,896307,359545215,1,4,1473
21:27:42.296426,896307,359971219,1,4,39
21:27:42.296426,896307,359971731,1,4,1507
21:27:42.296427,896307,359972340,1,4,621
21:27:42.301179,896307,364724423,1,4,464
21:27:42.301730,896307,365275156,1,4,432
21:27:42.301730,896307,365275632,1,4,1507
21:27:42.301731,896307,365275997,1,4,226
21:27:42.302300,896307,365845743,1,4,1286
21:27:42.302301,896307,365846393,1,4,884
21:27:42.306935,896307,370480363,1,4,464
21:27:42.307470,896307,371015773,1,4,169
21:27:42.307471,896307,371016342,1,4,1507
21:27:42.307472,896307,371017059,1,4,491
21:27:42.308039,896307,371584322,1,4,1021
21:27:42.308040,896307,371584902,1,4,860
21:27:42.312789,896307,376334278,1,4,464
21:27:42.313182,896307,376727429,1,4,193
21:27:42.313183,896307,376728256,1,4,1507
21:27:42.313184,896307,376728875,1,4,240
21:27:42.313757,896307,377301879,1,4,1272
21:27:42.313757,896307,377302512,1,4,673
21:27:42.318454,896307,381999754,1,4,464
21:27:42.319039,896307,382584648,1,4,380
21:27:42.319040,896307,382585222,1,4,1507
21:27:42.319040,896307,382585750,1,4,280
21:27:42.319767,896307,383312437,1,4,1232
21:27:42.319768,896307,383313211,1,4,938
21:27:42.324233,896307,387778091,1,4,464
21:27:42.324811,896307,388356438,1,4,115
21:27:42.324812,896307,388357093,1,4,1507
21:27:42.324812,896307,388357812,1,4,542
21:27:42.325589,896307,389133826,1,4,970
21:27:42.325590,896307,389135636,1,4,1200
21:27:42.330149,896307,393694680,1,4,312
21:27:42.330150,896307,393695409,1,4,150
21:27:42.330727,896307,394272295,1,4,1362
21:27:42.330728,896307,394272862,1,4,808
21:27:42.331294,896307,394839596,1,4,704
21:27:42.331295,896307,394840126,1,4,1177
21:27:42.336082,896307,399627731,1,4,335
21:27:42.336083,896307,399628424,1,4,127
21:27:42.336652,896307,400196939,1,4,1385
21:27:42.336652,896307,400197833,1,4,782
21:27:42.337234,896307,400779351,1,4,730
21:27:42.337235,896307,400780144,1,4,1440
21:27:42.341859,896307,405404522,1,4,72
21:27:42.341860,896307,405405249,1,4,389
21:27:42.342401,896307,405946246,1,4,1123
21:27:42.342402,896307,405946967,1,4,1047
21:27:42.343071,896307,406616553,1,4,465
21:27:42.343072,896307,406617147,1,4,1507
21:27:42.343073,896307,406618125,1,4,196
21:27:42.347739,896307,411283868,1,4,464
21:27:42.348063,896307,411608051,1,4,857
