run,radar_points_per_second,class,support_rate,supported_rows,object_rows,mean_points_per_object,median_points_per_object,mean_radar_points_per_frame
5k radar pps,5000,person,0.15905581292742113,1442,9066,0.33322303110522833,0.0,460.280348759222
5k radar pps,5000,vehicle,0.49089972527472525,2859,5824,7.006009615384615,0.0,460.280348759222
12k radar pps,12000,person,0.2634017207147584,2388,9066,0.8144716523273771,0.0,1104.5298457411134
12k radar pps,12000,vehicle,0.5485304169514695,3210,5852,16.84688995215311,1.0,1104.5298457411134
