controller,group_id,channel_seed,ue_count,steps,ue_frame_count,mean_reward_v5,worst_ue_mean_reward_v5,mean_g_m,safe_fraction,split_fraction,attempt_count,within_250ms_fraction,within_500ms_fraction,aggregate_c1_miss_frames,aggregate_c1_miss_fraction
expanded_decentralized_greedy,n2_fast,1101,2,119,238,0.15978952352522896,0.09264499280996127,21.34307818546347,0.2184873949579832,0.05042016806722689,5,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_fast,1101,2,119,238,-104.88875882545508,-209.87795858839524,4222.720763399281,0.2184873949579832,0.046218487394957986,11,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_fast,2202,2,119,238,0.14988107439371895,0.10376578583632165,21.7536706807037,0.2184873949579832,0.046218487394957986,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_fast,2202,2,119,238,0.15934587572559555,0.10376578583632165,21.29137780344175,0.2184873949579832,0.037815126050420166,7,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_fast,3303,2,119,238,0.1715563282131825,0.08345575506643917,20.58681814294516,0.2184873949579832,0.058823529411764705,4,1.0,1.0,1,0.008403361344537815
expanded_joint_true_state_one_step_oracle,n2_fast,3303,2,119,238,-104.86086754501929,-209.81819355563567,4221.599027948897,0.2184873949579832,0.046218487394957986,7,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_mixed,1101,2,600,1200,0.03405467349528846,-0.018613911871434078,0.15132024472593428,0.9683333333333334,0.3516666666666667,47,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_mixed,1101,2,600,1200,0.03957226382660249,-0.017978141090342698,0.09614231364117037,0.9925,0.41,47,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_mixed,2202,2,600,1200,0.049598845132714564,0.0017513775519725635,0.14557065268145786,0.97,0.009166666666666667,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_mixed,2202,2,600,1200,0.039500245633416205,-0.019045199840173204,0.10940546252423168,0.9833333333333333,0.4008333333333333,47,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_mixed,3303,2,600,1200,0.0491215379916107,0.0010891930729824773,0.15184999722515558,0.9683333333333334,0.008333333333333333,6,1.0,1.0,1,0.0016666666666666668
expanded_joint_true_state_one_step_oracle,n2_mixed,3303,2,600,1200,0.05470984041204258,0.002354033238025742,0.11040066869519291,0.9833333333333333,0.0425,4,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_ped,1101,2,600,1200,0.35415234026151027,0.3144033061999517,0.5060451937526749,0.9908333333333333,0.011666666666666667,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,1101,2,600,1200,0.3768858613185136,0.33928096489264187,0.4705324622010247,0.9975,0.09166666666666666,10,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_ped,2202,2,600,1200,0.34825579027641795,0.3140320942010565,0.504080449941375,0.9925,0.013333333333333334,9,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,2202,2,600,1200,0.3759357307610965,0.33926226944069526,0.47088441872362446,0.9975,0.07333333333333333,8,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_ped,3303,2,600,1200,0.3467291119525979,0.31333733743117625,0.5043613431527588,0.9908333333333333,0.0175,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,3303,2,600,1200,0.3720701673414276,0.33829156829389573,0.4700795388731771,1.0,0.11,9,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,1101,2,600,1200,0.18754260162891664,-0.018613911871434078,0.2915495759955305,0.9908333333333333,0.2575,35,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,1101,2,600,1200,0.19826335935237913,-0.017978141090342698,0.26840870860398847,0.9975,0.30916666666666665,36,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,2202,2,600,1200,0.19211664778848742,0.0017513775519725635,0.28914039808102976,0.9925,0.013333333333333334,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,2202,2,600,1200,0.19677496697233635,-0.019045199840173204,0.2697951603467644,0.9975,0.30083333333333334,35,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,3303,2,600,1200,0.19034843149690844,0.0010891930729824773,0.2907017242817953,0.9908333333333333,0.0175,5,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,3303,2,600,1200,0.2039760234113756,0.002354033238025742,0.26872060035395257,1.0,0.07666666666666666,5,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,1101,2,600,1200,0.2011025620245387,0.08780181784912564,0.3672752757610269,0.9683333333333334,0.10416666666666667,17,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,1101,2,600,1200,0.21820181681809478,0.09712266874354769,0.29798402622389375,0.9925,0.1925,21,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,2202,2,600,1200,0.20587333408588493,0.09771457397071334,0.3635099239872282,0.9691666666666666,0.008333333333333333,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,2202,2,600,1200,0.21865163038100463,0.09804099132131404,0.31086988254796144,0.9833333333333333,0.17333333333333334,20,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,3303,2,600,1200,0.20509829005019484,0.09685924266921336,0.3623779459503237,0.9691666666666666,0.01,8,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,3303,2,600,1200,0.22268832508536623,0.10708508187683684,0.3118510400207524,0.9833333333333333,0.07666666666666666,8,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,1101,2,600,1200,0.14789469716425885,-0.018613911871434078,0.21968096534454318,1.0,0.24916666666666668,31,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,1101,2,600,1200,0.16065141190114957,-0.017978141090342698,0.20669894599482708,1.0,0.2775,32,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,2202,2,600,1200,0.15789173587651456,0.0017513775519725635,0.21906298780025815,1.0,0.0033333333333333335,2,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,2202,2,600,1200,0.160108534800261,-0.019045199840173204,0.2064459275498821,1.0,0.2675,31,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,3303,2,600,1200,0.15721326525207938,0.0010891930729824773,0.2176451181311414,1.0,0.005833333333333334,3,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,3303,2,600,1200,0.17032280076596068,0.002354033238025742,0.20692748481858822,1.0,0.0375,4,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,1101,2,600,1200,0.24075046648919649,0.08780181784912564,0.43914388641201424,0.9591666666666666,0.1125,21,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,1101,2,600,1200,0.25581376426932434,0.09712266874354769,0.35969378883305514,0.99,0.22416666666666665,25,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,2202,2,600,1200,0.24009824599785778,0.09771457397071334,0.43358733426799984,0.9616666666666667,0.018333333333333333,12,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,2202,2,600,1200,0.25531806255308,0.09804099132131404,0.37421911534484364,0.9808333333333333,0.20666666666666667,24,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,3303,2,600,1200,0.23823345629502388,0.09685924266921336,0.4354345521009776,0.96,0.021666666666666667,10,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,3303,2,600,1200,0.25634154773078116,0.10708508187683684,0.37364415555611674,0.9833333333333333,0.11583333333333333,9,1.0,1.0,0,0.0
expanded_decentralized_greedy,n4_diverse,1101,4,600,2400,0.1977446255201342,-0.018280939082791225,0.3283146287163358,0.9795833333333334,0.18458333333333332,48,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n4_diverse,1101,4,600,2400,0.20822746382781288,-0.017978141090342698,0.28340133771090426,0.995,0.25083333333333335,57,1.0,1.0,0,0.0
expanded_decentralized_greedy,n4_diverse,2202,4,600,2400,0.19991698646284034,0.002227219050304923,0.3229590823462831,0.9825,0.015,9,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n4_diverse,2202,4,600,2400,0.20771621848842023,-0.019045199840173204,0.29021572897737363,0.9904166666666666,0.23708333333333334,55,1.0,1.0,0,0.0
expanded_decentralized_greedy,n4_diverse,3303,4,600,2400,0.19904042249631887,0.0017420030259571583,0.32174813280895714,0.9829166666666667,0.021666666666666667,7,1.0,1.0,0,0.0
