controller,group_id,channel_seed,ue_count,steps,ue_frame_count,primary_eligible_ue_frames,primary_eligible_fraction,mean_reward_v5,worst_ue_mean_reward_v5,mean_g_m,safe_fraction,split_fraction,attempt_count,within_250ms_fraction,within_500ms_fraction,aggregate_c1_miss_frames,aggregate_c1_miss_fraction
expanded_decentralized_greedy,n2_fast,1101,2,119,238,238,1.0,0.15978952352522896,0.09264499280996127,21.34307818546347,0.2184873949579832,0.05042016806722689,5,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_fast,1101,2,119,238,238,1.0,0.16411837625565243,0.09429171094126833,21.493586664837395,0.2184873949579832,0.05042016806722689,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_fast,2202,2,119,238,238,1.0,0.14988107439371895,0.10376578583632165,21.7536706807037,0.2184873949579832,0.046218487394957986,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_fast,2202,2,119,238,238,1.0,0.1541048797770601,0.10789258939555971,21.916075727892906,0.2184873949579832,0.046218487394957986,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_fast,3303,2,119,238,236,0.9915966386554622,0.17102295028060643,0.08175203329363649,20.736527557757018,0.22033898305084745,0.05084745762711865,4,1.0,1.0,1,0.008403361344537815
expanded_joint_true_state_one_step_oracle,n2_fast,3303,2,119,238,236,0.9915966386554622,0.17556281049093664,0.08559304367661888,20.958331409592514,0.22033898305084745,0.05084745762711865,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_mixed,1101,2,600,1200,1200,1.0,0.03405467349528846,-0.018613911871434078,0.15132024472593428,0.9683333333333334,0.3516666666666667,47,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_mixed,1101,2,600,1200,1200,1.0,0.03688102338078185,-0.01798043428507682,0.1557106312811071,0.9683333333333334,0.35333333333333333,40,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_mixed,2202,2,600,1200,1200,1.0,0.049598845132714564,0.0017513775519725635,0.14557065268145786,0.97,0.009166666666666667,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_mixed,2202,2,600,1200,1200,1.0,0.05154897567994938,0.0022358155492512724,0.14903567124463496,0.97,0.0125,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_mixed,3303,2,600,1200,1198,0.9983333333333333,0.04865625261778404,0.0005437201446011677,0.1501205229486013,0.9682804674457429,0.00667779632721202,4,1.0,1.0,1,0.0016666666666666668
expanded_joint_true_state_one_step_oracle,n2_mixed,3303,2,600,1200,1198,0.9983333333333333,0.050093246368621815,0.0009254152916206117,0.15230654297336224,0.9682804674457429,0.00667779632721202,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_ped,1101,2,600,1200,1200,1.0,0.35415234026151027,0.3144033061999517,0.5060451937526749,0.9908333333333333,0.011666666666666667,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,1101,2,600,1200,1200,1.0,0.35646457474032056,0.3151958818429762,0.5096102269220887,0.9908333333333333,0.015,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_ped,2202,2,600,1200,1200,1.0,0.34825579027641795,0.3140320942010565,0.504080449941375,0.9925,0.013333333333333334,9,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,2202,2,600,1200,1200,1.0,0.3513647963276223,0.31516141459234315,0.5085936167743479,0.9925,0.016666666666666666,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_ped,3303,2,600,1200,1200,1.0,0.3467291119525979,0.31333733743117625,0.5043613431527588,0.9908333333333333,0.0175,6,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_ped,3303,2,600,1200,1200,1.0,0.35011409414451017,0.31496275699207466,0.5087580519736243,0.9908333333333333,0.019166666666666665,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,1101,2,600,1200,1200,1.0,0.18754260162891664,-0.018613911871434078,0.2915495759955305,0.9908333333333333,0.2575,35,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,1101,2,600,1200,1200,1.0,0.18983183384327437,-0.01798043428507682,0.29548357321470947,0.9908333333333333,0.26,29,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,2202,2,600,1200,1200,1.0,0.19211664778848742,0.0017513775519725635,0.28914039808102976,0.9925,0.013333333333333334,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,2202,2,600,1200,1200,1.0,0.1949036623997962,0.0022358155492512724,0.29378277237348954,0.9925,0.016666666666666666,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_a,3303,2,600,1200,1200,1.0,0.19034843149690844,0.0010891930729824773,0.2907017242817953,0.9908333333333333,0.0175,5,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_a,3303,2,600,1200,1200,1.0,0.19360592815348063,0.002187366571359076,0.29597601475774216,0.9908333333333333,0.018333333333333333,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,1101,2,600,1200,1200,1.0,0.2011025620245387,0.08780181784912564,0.3672752757610269,0.9683333333333334,0.10416666666666667,17,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,1101,2,600,1200,1200,1.0,0.20355465788665578,0.09191343393033538,0.37084883454928114,0.9683333333333334,0.10666666666666667,11,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,2202,2,600,1200,1200,1.0,0.20587333408588493,0.09771457397071334,0.3635099239872282,0.9691666666666666,0.008333333333333333,7,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,2202,2,600,1200,1200,1.0,0.2079204426216271,0.10067947065091101,0.36650734603748125,0.9691666666666666,0.011666666666666667,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_b,3303,2,600,1200,1200,1.0,0.20509829005019484,0.09685924266921336,0.3623779459503237,0.9691666666666666,0.01,8,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_b,3303,2,600,1200,1200,1.0,0.20775244323723713,0.10054212948239957,0.3654673153766141,0.9691666666666666,0.011666666666666667,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,1101,2,600,1200,1200,1.0,0.14789469716425885,-0.018613911871434078,0.21968096534454318,1.0,0.24916666666666668,31,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,1101,2,600,1200,1200,1.0,0.1486077237789497,-0.01798043428507682,0.22047873863490877,1.0,0.25,29,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,2202,2,600,1200,1200,1.0,0.15789173587651456,0.0017513775519725635,0.21906298780025815,1.0,0.0033333333333333335,2,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,2202,2,600,1200,1200,1.0,0.15869861507079727,0.0022358155492512724,0.2199114431030434,1.0,0.005,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_c,3303,2,600,1200,1200,1.0,0.15721326525207938,0.0010891930729824773,0.2176451181311414,1.0,0.005833333333333334,3,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_c,3303,2,600,1200,1200,1.0,0.1585750617817169,0.002187366571359076,0.21876532038900065,1.0,0.005833333333333334,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,1101,2,600,1200,1200,1.0,0.24075046648919649,0.08780181784912564,0.43914388641201424,0.9591666666666666,0.1125,21,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,1101,2,600,1200,1200,1.0,0.2447787679509805,0.09191343393033538,0.4458536691290818,0.9591666666666666,0.11666666666666667,11,1.0,1.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,2202,2,600,1200,1200,1.0,0.24009824599785778,0.09771457397071334,0.43358733426799984,0.9616666666666667,0.018333333333333333,12,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,2202,2,600,1200,1200,1.0,0.24412548995062608,0.10067947065091101,0.4403786753079273,0.9616666666666667,0.023333333333333334,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n2_cross_d,3303,2,600,1200,1200,1.0,0.23823345629502388,0.09685924266921336,0.4354345521009776,0.96,0.021666666666666667,10,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n2_cross_d,3303,2,600,1200,1200,1.0,0.24278330960900088,0.10054212948239957,0.44267800974535554,0.96,0.024166666666666666,0,0.0,0.0,0,0.0
expanded_decentralized_greedy,n4_diverse,1101,4,600,2400,2400,1.0,0.1977446255201342,-0.018280939082791225,0.3283146287163358,0.9795833333333334,0.18458333333333332,48,1.0,1.0,0,0.0
expanded_joint_true_state_one_step_oracle,n4_diverse,1101,4,600,2400,2400,1.0,0.1995543603486918,-0.01798043428507682,0.3327125665125815,0.9795833333333334,0.18708333333333332,40,1.0,1.0,0,0.0
expanded_decentralized_greedy,n4_diverse,2202,4,600,2400,2400,1.0,0.19991698646284034,0.002227219050304923,0.3229590823462831,0.9825,0.015,9,1.0,1.0,0,0.0
