seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
0,2048,192.168.70.134,1787375128169244478,1589773232788243
1,2048,192.168.70.134,1787375128256064489,1589773319608475
2,2048,192.168.70.134,1787375128356353031,1589773419896979
3,2048,192.168.70.134,1787375128457622498,1589773521166659
4,2048,192.168.70.134,1787375128557339435,1589773620883332
5,2048,192.168.70.134,1787375128657605800,1589773721149932
6,2048,192.168.70.134,1787375128745801527,1589773809345487
7,2048,192.168.70.134,1787375128856748408,1589773920292551
8,2048,192.168.70.134,1787375128957236467,1589774020780592
9,2048,192.168.70.134,1787375129054910954,1589774118455117
10,2048,192.168.70.134,1787375129156004423,1589774219548418
11,2048,192.168.70.134,1787375129257194671,1589774320738771
12,2048,192.168.70.134,1787375129354854900,1589774418399098
13,2048,192.168.70.134,1787375129454402729,1589774517946835
14,2048,192.168.70.134,1787375129556937995,1589774620481975
15,2048,192.168.70.134,1787375129645606735,1589774709150930
16,2048,192.168.70.134,1787375129757786133,1589774821329959
17,2048,192.168.70.134,1787375129856331473,1589774919875746
18,2048,192.168.70.134,1787375129956195079,1589775019739372
19,2048,192.168.70.134,1787375130056337472,1589775119881501
20,2048,192.168.70.134,1787375130168176656,1589775231720675
21,2048,192.168.70.134,1787375130254530463,1589775318074605
22,2048,192.168.70.134,1787375130356282874,1589775419826471
23,2048,192.168.70.134,1787375130456201074,1589775519745291
24,2048,192.168.70.134,1787375130555033313,1589775618577625
25,2048,192.168.70.134,1787375130653921865,1589775717466178
26,2048,192.168.70.134,1787375130756107573,1589775819651316
27,2048,192.168.70.134,1787375130855889501,1589775919434113
28,2048,192.168.70.134,1787375130954732754,1589776018277184
29,2048,192.168.70.134,1787375131053304198,1589776116848864
30,2048,192.168.70.134,1787375131154505367,1589776218049589
31,2048,192.168.70.134,1787375131254286661,1589776317830876
32,2048,192.168.70.134,1787375131353917298,1589776417461163
33,2048,192.168.70.134,1787375131454348554,1589776517892650
34,2048,192.168.70.134,1787375131553863708,1589776617407627
35,2048,192.168.70.134,1787375131653485690,1589776717029605
36,2048,192.168.70.134,1787375131754356167,1589776817900337
37,2048,192.168.70.134,1787375131853625431,1589776917169571
38,2048,192.168.70.134,1787375131954416655,1589777017960642
39,2048,192.168.70.134,1787375132054576784,1589777118120512
40,2048,192.168.70.134,1787375132165843161,1589777229387130
41,2048,192.168.70.134,1787375132253846435,1589777317390228
42,2048,192.168.70.134,1787375132353023932,1589777416567957
43,2048,192.168.70.134,1787375132454782307,1589777518325978
44,2048,192.168.70.134,1787375132562778918,1589777626322862
45,2048,192.168.70.134,1787375132655212274,1589777718756442
46,2048,192.168.70.134,1787375132753823915,1589777817367924
47,2048,192.168.70.134,1787375132852988853,1589777916533019
48,2048,192.168.70.134,1787375132954346081,1589778017890219
49,2048,192.168.70.134,1787375133054029005,1589778117573023
53,2048,192.168.70.134,1787375133523962664,1589778587506004
59,2048,192.168.70.134,1787375134095429074,1589779158973041
60,2048,192.168.70.134,1787375134177268416,1589779240812224
64,2048,192.168.70.134,1787375134603747139,1589779667291030
66,2048,192.168.70.134,1787375134794081601,1589779857625179
67,2048,192.168.70.134,1787375134883785365,1589779947329513
70,2048,192.168.70.134,1787375135224667031,1589780288210794
71,2048,192.168.70.134,1787375135301509015,1589780365053223
75,2048,192.168.70.134,1787375135669642082,1589780733186119
76,2048,192.168.70.134,1787375135754858231,1589780818402254
77,2048,192.168.70.134,1787375135900542276,1589780964086244
78,2048,192.168.70.134,1787375135975992607,1589781039536634
79,2048,192.168.70.134,1787375136052392892,1589781115936792
80,2048,192.168.70.134,1787375136207729864,1589781271273719
81,2048,192.168.70.134,1787375136297384417,1589781360928477
83,2048,192.168.70.134,1787375136485564912,1589781549108417
84,2048,192.168.70.134,1787375136561477899,1589781625022313
85,2048,192.168.70.134,1787375136706148197,1589781769691550
87,2048,192.168.70.134,1787375136882166717,1589781945710862
88,2048,192.168.70.134,1787375136957506017,1589782021049936
90,2048,192.168.70.134,1787375137197055244,1589782260599179
91,2048,192.168.70.134,1787375137273749962,1589782337293927
92,2048,192.168.70.134,1787375137363830237,1589782427374440
93,2048,192.168.70.134,1787375137454923487,1589782518467340
102,2048,192.168.70.134,1787375138437805210,1589783501348907
105,2048,192.168.70.134,1787375138704802883,1589783768347001
107,2048,192.168.70.134,1787375138912163904,1589783975707925
108,2048,192.168.70.134,1787375138986114732,1589784049658274
109,2048,192.168.70.134,1787375139074520321,1589784138064396
110,2048,192.168.70.134,1787375139176480675,1589784240024703
112,2048,192.168.70.134,1787375139352981700,1589784416525452
113,2048,192.168.70.134,1787375139496197693,1589784559741310
114,2048,192.168.70.134,1787375139571324684,1589784634868422
115,2048,192.168.70.134,1787375139714867003,1589784778410750
121,2048,192.168.70.134,1787375140254367733,1589785317911476
125,2048,192.168.70.134,1787375140661068449,1589785724612461
126,2048,192.168.70.134,1787375140805132044,1589785868675675
128,2048,192.168.70.134,1787375140974269580,1589786037813092
129,2048,192.168.70.134,1787375141049753750,1589786113297416
132,2048,192.168.70.134,1787375141384004740,1589786447520937
133,2048,192.168.70.134,1787375141472101947,1589786535645718
