seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
0,1589773201223727,1787375128137679379,1,1,1589773235630910,1,34.4072
1,1589773301286717,1787375128237742320,1,1,1589773321349964,1,20.0632
2,1589773401296138,1787375128337751823,1,1,1589773421851261,1,20.5551
3,1589773501285617,1787375128437741041,1,1,1589773522680405,1,21.3948
4,1589773601281090,1787375128537736495,1,1,1589773623469189,1,22.1881
5,1589773701277222,1787375128637732889,1,1,1589773723526812,1,22.2496
6,1589773801278123,1787375128737733801,1,1,1589773810515227,1,9.2371
7,1589773901271903,1787375128837727372,1,1,1589773923383543,1,22.1116
8,1589774001277413,1787375128937732756,1,1,1589774023566647,1,22.2892
9,1589774101282497,1787375129037738308,1,1,1589774121103450,1,19.8210
10,1589774201275760,1787375129137731307,1,1,1589774222549664,1,21.2739
11,1589774301275950,1787375129237731400,1,1,1589774323671291,1,22.3953
12,1589774401392299,1787375129337847635,1,1,1589774421247383,1,19.8551
13,1589774501280714,1787375129437736278,1,1,1589774520871466,1,19.5908
14,1589774601276553,1787375129537731966,1,1,1589774623709728,1,22.4332
15,1589774701282922,1787375129637738717,1,1,1589774711746584,1,10.4637
16,1589774801279685,1787375129737735257,1,1,1589774824242961,1,22.9633
17,1589774901276169,1787375129837731986,1,1,1589774923065133,1,21.7890
18,1589775001281074,1787375129937736663,1,1,1589775023700910,1,22.4198
19,1589775101276678,1787375130037732272,1,1,1589775122884565,1,21.6079
20,1589775201283181,1787375130137739025,1,1,1589775234911569,1,33.6284
21,1589775301275453,1787375130237730977,1,1,1589775320623024,1,19.3476
22,1589775401280562,1787375130337736092,1,1,1589775423385770,1,22.1052
23,1589775501284629,1787375130437740128,1,1,1589775522042182,1,20.7576
24,1589775601283781,1787375130537739343,1,1,1589775620316774,1,19.0330
25,1589775701281511,1787375130637737092,1,1,1589775719154749,1,17.8732
26,1589775801282962,1787375130737738428,1,1,1589775821208538,1,19.9256
27,1589775901281774,1787375130837737471,1,1,1589775920856854,1,19.5751
28,1589776001276461,1787375130937731825,1,1,1589776021672686,1,20.3962
29,1589776101283228,1787375131037738868,1,1,1589776118406205,1,17.1230
30,1589776201294891,1787375131137750345,1,1,1589776219826682,1,18.5318
31,1589776301277447,1787375131237733045,1,1,1589776320237389,1,18.9599
32,1589776401277905,1787375131337733314,1,1,1589776420178889,1,18.9010
33,1589776501281909,1787375131437737429,1,1,1589776519600913,1,18.3190
34,1589776601277816,1787375131537733238,1,1,1589776618652678,1,17.3749
35,1589776701291473,1787375131637746841,1,1,1589776718298732,1,17.0073
36,1589776801275630,1787375131737730979,1,1,1589776820285783,1,19.0102
37,1589776901276592,1787375131837731903,1,1,1589776919078254,1,17.8017
38,1589777001284103,1787375131937739831,1,1,1589777020276312,1,18.9922
39,1589777101278181,1787375132037733575,1,1,1589777120091914,1,18.8137
40,1589777201281221,1787375132137736836,1,1,1589777230956648,1,29.6754
41,1589777301275386,1787375132237730692,1,1,1589777320142152,1,18.8668
42,1589777401275654,1787375132337730959,1,1,1589777418531828,1,17.2562
43,1589777501281924,1787375132437737313,1,1,1589777520365897,1,19.0840
44,1589777601280304,1787375132537735722,1,1,1589777628606659,1,27.3264
45,1589777701278814,1787375132637734208,1,1,1589777721162937,1,19.8841
46,1589777801276225,1787375132737731784,1,1,1589777819474903,1,18.1987
47,1589777901277171,1787375132837732869,1,1,1589777918456143,1,17.1790
48,1589778001277770,1787375132937733290,1,1,1589778019565793,1,18.2880
49,1589778101276842,1787375133037732410,1,1,1589778118989066,1,17.7122
50,1589778201281979,1787375133137737668,1,0,,0,
51,1589778301415624,1787375133237871163,1,0,,0,
52,1589778401278488,1787375133337733892,1,0,,0,
53,1589778501278519,1787375133437733937,1,1,1589778589114584,1,87.8361
54,1589778601277025,1787375133537732467,1,0,,0,
55,1589778701281003,1787375133637736386,1,0,,0,
56,1589778801282658,1787375133737738473,1,0,,0,
57,1589778901282346,1787375133837738329,1,0,,0,
58,1589779001276253,1787375133937731838,1,0,,0,
59,1589779101281702,1787375134037737310,1,1,1589779160719859,1,59.4382
60,1589779201280345,1787375134137735968,1,1,1589779242485495,1,41.2052
61,1589779301280900,1787375134237736588,1,0,,0,
62,1589779401279848,1787375134337735660,1,0,,0,
