policy,run_group,frames,returned,delivery_pct,payload_p50_kib,front_build_p50_ms,front_build_p95_ms,uplink_p50_ms,uplink_p95_ms,capture_result_p50_ms,capture_result_p95_ms,edge_tail_p50_ms,downlink_p50_ms,ul_sched_mbps,mcs_avg,mcs_p50,mcs_p95,prb_p50,prb_p95,retx_rate_pct,retx_grants,ul_grants,avg_tbs_bytes,p95_tbs_bytes,bler_update_windows,bad_retx_windows,bad_retx_window_pct,sum_window_retx_pct,filtered_bler_mean_pct,filtered_bler_p50_pct,filtered_bler_p95_pct,filtered_above_upper_pct,window_bler_p95_pct,window_bler_max_pct,branch1_inc,branch2_dec,branch3_sparse,branch4_hold,branch3_pct,branch2_delta_med,branch2_old_mcs_med,branch2_new_mcs_med,num_sched_p50,num_sched_p95,rlc_queue_wait_ms,pdcp_to_gnb_mean_ms,pdcp_to_gnb_p50_ms,pdcp_to_gnb_p95_ms,snr_p50_db,snr_min_db,snr_max_db
clear_P0_vanilla_context,downlink_oai_default106_ttracer_fps10_track2_vanilla_current_20260801_default106_noae,1300,1207,92.84615384615384,1046.55419921875,55.710292479489006,88.69977273861878,142.472505569458,157.1605682373047,209.48209398193285,252.32069959747605,7.033981964923441,3.051812993362546,21.534813,7.370037,7.0,13.0,106.0,106.0,0.0,0,1035066,1402.398739,3521.0,62840,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18012,0,44828,0,71.33672819859962,,,,1.0,60.0,88.3,83.5,87.5,133.8,50.5,50.0,51.5
P0_vanilla,downlink_oai_default106_awgn_track2_vanilla_fps10_track2_awgn106_20260801_vanilla,300,291,97.0,1047.11669921875,58.72421100502834,119.3306508823298,255.65719604492188,380.76865673065186,333.17225601058453,489.57152804359794,7.291234971489757,4.4820160255767405,15.834845,22.216547,24.0,27.0,106.0,106.0,3.2589,2140,65667,5346.050787,9737.0,2550,244,9.568627450980392,3.353863996113279,4.759402078431372,2.8324,15.989219999999978,6.235294117647059,34.2105,200.0,626,123,1174,627,46.03921568627451,-1.0,26.0,25.0,11.0,60.0,148.7,148.7,139.0,281.0,19.5,19.0,20.5
P2_hold_few,downlink_oai_default106_awgn_track2_hold_fps10_track2_awgn106_20260801_hold,300,289,96.33333333333334,1045.45068359375,56.3138640136458,97.14511211786885,245.9728717803955,310.3886127471923,321.71304401708767,399.7636211919598,8.137286000419408,4.719742981251329,17.011961,24.83696,26.0,27.0,106.0,106.0,6.3879,3728,58360,6226.212406,9737.0,2489,436,17.51707513057453,6.788920656310892,7.018323824829249,5.8687,19.719659999999998,11.570912012856569,41.929759999999966,200.0,223,200,1217,849,48.89513860988349,-1.0,26.0,25.0,5.0,60.0,131.7,132.7,128.9,246.3,19.5,19.0,20.5
P3_aimd_uncapped,downlink_oai_default106_awgn_track2_aimd_fps10_track2_awgn106_20260801_aimd,300,290,96.66666666666667,1043.1416015625,53.47111451555975,96.5434513782384,311.687707901001,465.79978466033936,383.300147484988,579.1705821757207,7.092946994816884,4.694129514973611,14.153516,19.044115,19.0,26.0,106.0,106.0,1.1417,912,79882,4251.690519,9474.0,2799,135,4.823151125401929,1.150701524174826,1.5421619506966773,1.0973,4.707639999999999,0.0,0.0,109.0909,1447,104,1160,88,41.44337263308324,-14.0,27.0,13.0,20.0,60.0,174.7,174.7,162.5,367.6,19.5,19.0,20.5
P4_aimd_cap3,downlink_oai_default106_awgn_track2_aimd_cap_fps10_track2_awgn106_20260801_aimd_cap,300,292,97.33333333333334,1045.4892578125,59.34358900412917,100.7285446976313,246.80495262145996,283.6790442466736,322.67195399617776,378.93853475106874,7.252895476995036,4.724393511423841,16.304992,24.447422,24.0,27.0,106.0,106.0,2.9345,1695,57762,6014.18417,9737.0,2466,252,10.218978102189782,3.0083061195513277,3.6676886455798865,3.8986,8.9235,0.08110300081103002,31.5413,110.0,643,206,1188,429,48.175182481751825,-3.0,27.0,24.0,3.0,60.0,130.6,131.1,129.4,233.5,19.5,19.0,20.5
