label,channel,policy,awgn_noise_power_dB,frames,returned,delivery_pct,payload_p50_kib,front_build_p50_ms,uplink_p50_ms,uplink_p95_ms,capture_result_p50_ms,capture_result_p95_ms,snr_p50_db,active_front_wall_s,active_app_frames_per_s,active_app_mbps,active_ul_scheduled_mbps,active_ul_first_tx_mbps,active_ul_retx_mbps,active_ul_grant_hz,active_ul_avg_mcs,active_ul_p50_mcs,active_ul_avg_tbs_bytes,active_ul_p95_tbs_bytes,active_ul_p50_rb_size,active_ul_full_prb_grant_pct,active_ul_retx_rate_pct,active_rlc_sdu_drain_mbps,active_rlc_nonzero_pct_100ms,active_sched_mbps_when_rlc_nonzero,active_grant_hz_when_rlc_nonzero,active_mcs_when_rlc_nonzero,active_tbs_when_rlc_nonzero,active_rlc_occ_mean_kib_when_nonzero,active_rlc_occ_p95_kib_when_nonzero,ul_scheduled_mbps,ul_first_tx_mbps,ul_retx_mbps,ul_grant_rate_hz,ul_first_tx_grant_rate_hz,ul_avg_mcs,ul_p50_mcs,ul_p95_mcs,ul_avg_rb_size,ul_p50_rb_size,ul_p95_rb_size,ul_full_prb_grant_pct,ul_avg_tbs_bytes,ul_p95_tbs_bytes,ul_retx_rate_pct,rlc_sdu_drain_mbps,rlc_queue_little_ms,pdcp_to_gnb_p50_ms,pdcp_to_gnb_p95_ms,edge_tail_p50_ms,downlink_p50_ms,run_group,front_build_p95_ms,active_ul_p95_mcs,active_ul_avg_rb_size,active_ul_p95_rb_size,active_ul_p50_tbs_bytes,ul_duration_s,ul_new_data_grant_rate_hz,ul_new_data_mbps,ul_retx_rate,snr_p05_db,snr_p95_db,pdcp_to_gnb_mean_ms
clear_vanilla,clear,vanilla,,300,275,91.66666666666666,1046.05029296875,58.35860001388937,148.59652519226074,162.05170154571536,221.53015597723424,263.7677830760367,50.3,147.0,2.0408163265306123,17.473856598639454,18.170666231292515,18.170666231292515,0.0,1716.3945578231292,6.910606000554873,7.0,1323.3165233244818,3521.0,106.0,87.4000237802703,0.0,17.81593393197279,53.40136054421769,34.00123250955414,3126.152866242038,7.273545763798816,1240.5470928665195,358.2139800520396,810.9593742450005,16.455089,16.455089,0.0,1563.761925,1563.761925,6.868338,7.0,13.0,99.796993,106.0,106.0,86.866932,1315.3448,3521.0,0.0,15.0,87.8,94.0,138.7,8.131594979204237,3.3363919937983155,downlink_oai_default106_fair_clear_vanilla_fps10_track2_fair_grant_20260801_clear_vanilla,90.49448483856396,13.0,100.37835995402482,106.0,897.0,162.341208,1563.761925,16.455089,0.0,50.3,50.5,89.6
clear_aimd_cap,clear,aimd_cap,,300,276,92.0,1046.75048828125,55.658878991380334,36.99922561645508,43.31469535827637,103.37532847188413,138.63844028674066,50.4,112.0,2.6785714285714284,22.930522571428572,24.465954214285713,24.465954214285713,0.0,514.1160714285714,27.183237526267344,28.0,5948.548288497942,10247.0,106.0,73.46694222052413,0.0,23.355767142857143,38.92857142857143,62.348139449541286,1161.3761467889908,27.72977472514363,5753.9897116528855,106.2846567817871,160.96646104619566,21.366571,21.366571,0.0,461.088728,461.088728,26.956775,28.0,28.0,83.019772,106.0,106.0,71.427607,5792.424027,10247.0,0.0,18.8,14.4,16.2,28.4,6.503275013528764,2.27973994333297,downlink_oai_default106_fair_clear_aimd_cap_fps10_track2_fair_grant_20260801_clear_aimd_cap,85.28092254418881,28.0,85.24365676177906,106.0,8961.0,128.445994,461.088728,21.366571,0.0,50.3,50.9,16.6
mild_vanilla,mild_awgn,vanilla,-10,300,289,96.33333333333334,1041.74951171875,59.668146015610546,256.7322254180908,391.9044017791747,338.3336489787325,605.7026377879081,19.5,175.0,1.7142857142857142,14.611762240000001,15.9496144,15.25362432,0.69599008,388.0342857142857,21.648072335287015,23.0,5137.952684593409,9737.0,106.0,87.1381026713398,2.9747003210320146,14.89652064,69.71428571428571,22.868441770491806,550.4016393442623,22.377121559561232,4609.295548695041,390.09862527500763,872.6729602632068,14.643236,14.004262,0.638974,357.573386,346.976132,21.567878,23.0,27.0,100.824484,106.0,106.0,86.824924,5118.961825,9737.0,2.9637000000000002,13.3,149.9,139.9,297.2,7.159692933782935,4.700390039943159,downlink_oai_default106_fair_mild_awgn_vanilla_fps10_track2_fair_grant_20260801_mild_vanilla,169.88436197862032,27.0,101.16917503607928,106.0,5505.0,190.615417,346.976132,14.004262,0.029637,19.4,19.6,150.8
mild_aimd_cap,mild_awgn,aimd_cap,-10,300,290,96.66666666666667,1043.90087890625,57.067706948146224,243.05403232574463,279.9139142036438,315.9497244632803,362.47417886625044,19.5,155.0,1.935483870967742,16.53233264516129,17.920689496774195,17.265003303225807,0.6556861935483872,369.7225806451613,24.572687455284694,25.0,6058.829793916973,9737.0,106.0,86.70843003472525,2.943793951873244,16.841505032258063,71.35483870967742,25.101306835443033,512.6582278481012,24.606886303297426,5210.299725390525,364.74151619390113,847.5993893406973,16.299933,15.703629,0.596304,337.570365,327.666674,24.538046,25.0,27.0,100.393858,106.0,106.0,86.368534,6035.753876,9737.0,2.9337999999999997,14.9,126.9,126.0,229.6,7.287987507879734,4.612033546436578,downlink_oai_default106_fair_mild_awgn_aimd_cap_fps10_track2_fair_grant_20260801_mild_aimd_cap,90.45102146919817,27.0,100.76702671575899,106.0,8197.0,170.441502,327.666674,15.703629,0.029338,19.5,19.6,127.9
