block,family,valid,n,mu_mbps,demand,payload_bytes,central_efficiency,local,central,worst_delivery_lift_pp,starvation_reduction_ms,starvation_reduction_fraction,meaningful_gap
B,saturating,True,50,2.3149218312058797,synchronized_burst,92160,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 22767.07545349194, 'aggregate_admitted_mbps': 1.6204452818441175}","{'worst_delivery_fraction': 0.5384615384615388, 'worst_inter_delivery_ms': 22767.075453491925, 'aggregate_admitted_mbps': 1.6204452818441177}",3.3306690738754696e-14,1.4551915228366852e-11,6.391648878264216e-16,False
B,saturating,True,50,2.3149218312058797,synchronized_burst,132301,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 32684.59638435049, 'aggregate_admitted_mbps': 1.6204452818441175}","{'worst_delivery_fraction': 0.5384615384615388, 'worst_inter_delivery_ms': 32684.596384350472, 'aggregate_admitted_mbps': 1.6204452818441177}",3.3306690738754696e-14,1.8189894035458565e-11,5.565280299489321e-16,False
B,saturating,True,50,2.3149218312058797,synchronized_burst,409600,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 101170.21650581772, 'aggregate_admitted_mbps': 1.6204452818441175}","{'worst_delivery_fraction': 0.5384615384615388, 'worst_inter_delivery_ms': 101170.21650581766, 'aggregate_admitted_mbps': 1.6204452818441177}",3.3306690738754696e-14,5.820766091346741e-11,5.75343840547383e-16,False
B,saturating,True,100,2.2365367026893352,equal,92160,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 47130.01126842747, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.6363636363636365, 'worst_inter_delivery_ms': 47130.01126842745, 'aggregate_admitted_mbps': 1.5655756918825365}",2.220446049250313e-14,2.1827872842550278e-11,4.631416852041542e-16,False
B,saturating,True,100,2.2365367026893352,equal,132301,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 67660.22272141137, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.6363636363636365, 'worst_inter_delivery_ms': 67660.22272141134, 'aggregate_admitted_mbps': 1.5655756918825365}",2.220446049250313e-14,2.9103830456733704e-11,4.3014683201040766e-16,False
B,saturating,True,100,2.2365367026893352,equal,409600,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 209431.9691472324, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.6363636363636365, 'worst_inter_delivery_ms': 209431.9691472323, 'aggregate_admitted_mbps': 1.5655756918825365}",2.220446049250313e-14,8.731149137020111e-11,4.1689667401646986e-16,False
B,saturating,True,100,2.2365367026893352,hot20_traffic80,92160,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 119967.30141054264, 'aggregate_admitted_mbps': 0.8051532129681617}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 188520.0450737095, 'aggregate_admitted_mbps': 1.565575691882533}",47.72727272727286,-68552.74366316687,-0.5714285714285685,True
B,saturating,True,100,2.2365367026893352,hot20_traffic80,132301,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 172226.02147268347, 'aggregate_admitted_mbps': 0.8051532129681617}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 270640.89088564494, 'aggregate_admitted_mbps': 1.565575691882533}",47.72727272727286,-98414.86941296147,-0.5714285714285685,True
B,saturating,True,100,2.2365367026893352,hot20_traffic80,409600,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 533099.5578293188, 'aggregate_admitted_mbps': 0.8051532129681617}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 837727.8765889278, 'aggregate_admitted_mbps': 1.565575691882533}",47.72727272727286,-304628.318759609,-0.5714285714285682,True
B,saturating,True,100,2.2365367026893352,synchronized_burst,92160,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 47130.01126842747, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.5384615384615377, 'worst_inter_delivery_ms': 47130.01126842755, 'aggregate_admitted_mbps': 1.5655756918825352}",-7.771561172376096e-14,-8.003553375601768e-11,-1.6981861790818988e-15,False
