model,test_domain,miou,vehicle_iou,person_iou,pixel_accuracy,xy_mae_m,object_precision,object_recall,object_f1,vehicle_object_f1,person_object_f1,baseline_rgb_miou,baseline_rgb_vehicle_iou,baseline_rgb_person_iou,fusion_miou_delta_vs_rgb
Parked A model,View A,0.7882711388578238,0.9179727668378975,0.4719868803359543,0.9759562779054032,1.1571752111068316,0.47506605019815057,0.3805303882018385,0.4225755517203393,0.42001883492533293,0.42564890434220104,0.6065321633790665,0.8464265752057153,0.0,0.1817389754787574
Parked B model,View B,0.805745975219008,0.9377618552117772,0.5064796673927734,0.974882987825404,1.2866156950644319,0.4488764481766581,0.3119360242070568,0.36808212190767664,0.3355939619339313,0.41348211556099057,0.5882690378266654,0.8038574266087654,0.0,0.21747693739234264
Parked A+B model,View A,0.7866386635365544,0.9132294678014637,0.47169923927381274,0.9760558567667817,1.1836567266781692,0.480338727257483,0.37887705839560876,0.423617272996155,0.4224268242407585,0.425004001920922,0.6065321633790665,0.8464265752057153,0.0,0.18010650015748797
Parked A+B model,View B,0.7970334571609192,0.9298744860046494,0.490467790840876,0.9728119590886611,1.324020534775352,0.4827166133698797,0.3425730804560437,0.4007458677032964,0.3748445357702914,0.4371767569212047,0.5882690378266654,0.8038574266087654,0.0,0.20876441933425383
Parked A+B model,A+B,0.7926902920144037,0.9235503049108285,0.4815915239836392,0.9744545117091334,1.2573916295977268,0.48158493276405573,0.3588973474485548,0.41128661248274806,0.39579992132417463,0.4312456126667187,0.5954929879387625,0.8192741429518433,0.0,0.19719730407564118
Moving model,Moving,0.825039661893194,0.8742479518216072,0.629648355550618,0.9730282701864689,1.4303704246871527,0.3159541188738269,0.26231873602193206,0.2866490598762269,0.31667438935592773,0.24244786591307738,0.532207839481175,0.6510447255225746,0.0,0.292831822412019
Moving model,View A,0.5339945049680775,0.4488722710080012,0.2272691371542702,0.9273614561302752,1.8427809690294688,0.08205599836501123,0.05310495337609947,0.06447986509816518,0.09731225872241242,0.02415458937198068,0.6065321633790665,0.8464265752057153,0.0,-0.07253765841098891
Moving model,View B,0.5344696335953839,0.5064565052551986,0.19270768148864453,0.9081322234066427,1.9850992226190738,0.05367151135176214,0.030528989031177393,0.03891988702900049,0.0433565665989792,0.03144363266438547,0.5882690378266654,0.8038574266087654,0.0,-0.05379940423128149
Moving model,A+B,0.5363645900892554,0.4840960437824106,0.2096854064694073,0.9178689752200271,1.901560072302953,0.06734603455914931,0.040680385393124775,0.05072208524128215,0.06654147104851331,0.027738620344686462,0.5954929879387625,0.8192741429518433,0.0,-0.059128397849507075
