wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787365428.527505,0.000052,0,0,12500,12500,0.100000,0.000000,0.001
1787365428.627567,0.100113,1,0,12500,12500,0.100000,0.100000,0.027
1787365428.727559,0.200106,2,0,12500,12500,0.100000,0.200000,0.021
1787365428.827532,0.300078,3,0,12500,12500,0.100000,0.300000,0.013
1787365428.927533,0.400079,4,0,12500,12500,0.100000,0.400000,0.021
1787365429.027537,0.500083,5,0,12500,12500,0.100000,0.500000,0.023
1787365429.127525,0.600071,6,0,12500,12500,0.100000,0.600000,0.020
1787365429.227521,0.700067,7,0,12500,12500,0.100000,0.700000,0.014
1787365429.327517,0.800063,8,0,12500,12500,0.100000,0.800000,0.013
1787365429.427521,0.900067,9,0,12500,12500,0.100000,0.900000,0.013
1787365429.527520,1.000066,10,0,12500,12500,0.100000,1.000000,0.013
1787365429.627521,1.100068,11,0,12500,12500,0.100000,1.100000,0.014
1787365429.727517,1.200063,12,0,12500,12500,0.100000,1.200000,0.013
1787365429.827516,1.300062,13,0,12500,12500,0.100000,1.300000,0.012
1787365429.927520,1.400066,14,0,12500,12500,0.100000,1.400000,0.015
1787365430.027542,1.500088,15,0,12500,12500,0.100000,1.500000,0.013
1787365430.127518,1.600064,16,0,12500,12500,0.100000,1.600000,0.013
1787365430.227539,1.700085,17,0,12500,12500,0.100000,1.700000,0.013
1787365430.327564,1.800109,18,0,12500,12500,0.100000,1.800000,0.020
1787365430.427604,1.900151,19,0,12500,12500,0.100000,1.900000,0.025
1787365430.527603,2.000150,20,0,12500,12500,0.100000,2.000000,0.027
1787365430.627610,2.100156,21,0,12500,12500,0.100000,2.100000,0.020
1787365430.727548,2.200094,22,0,12500,12500,0.100000,2.200000,0.021
1787365430.827591,2.300137,23,0,12500,12500,0.100000,2.300000,0.022
1787365430.927604,2.400150,24,0,12500,12500,0.100000,2.400000,0.022
1787365431.027558,2.500105,25,0,12500,12500,0.100000,2.500000,0.029
1787365431.127607,2.600152,26,0,12500,12500,0.100000,2.600000,0.027
1787365431.227596,2.700141,27,0,12500,12500,0.100000,2.700000,0.022
1787365431.327863,2.800409,28,0,12500,12500,0.100000,2.800000,0.308
1787365431.427636,2.900182,29,0,12500,12500,0.100000,2.900000,0.118
1787365431.527525,3.000072,30,0,12500,12500,0.100000,3.000000,0.015
1787365431.627725,3.100271,31,0,12500,12500,0.100000,3.100000,0.219
1787365431.727535,3.200081,32,0,12500,12500,0.100000,3.200000,0.023
1787365431.827539,3.300085,33,0,12500,12500,0.100000,3.300000,0.025
1787365431.927531,3.400077,34,0,12500,12500,0.100000,3.400000,0.017
1787365432.027741,3.500287,35,0,12500,12500,0.100000,3.500000,0.177
1787365432.127737,3.600283,36,0,12500,12500,0.100000,3.600000,0.177
1787365432.227610,3.700156,37,0,12500,12500,0.100000,3.700000,0.027
1787365432.327738,3.800284,38,0,12500,12500,0.100000,3.800000,0.136
1787365432.427540,3.900087,39,0,12500,12500,0.100000,3.900000,0.020
1787365432.527528,4.000074,40,0,12500,12500,0.100000,4.000000,0.013
1787365432.627563,4.100109,41,0,12500,12500,0.100000,4.100000,0.020
1787365432.727691,4.200237,42,0,12500,12500,0.100000,4.200000,0.134
1787365432.827570,4.300116,43,0,12500,12500,0.100000,4.300000,0.020
