world_tick_frame,radar_frame,local_condition_frame,walker_motion_mode,walker_motion_coordinate_m,walker_motion_direction,walker_motion_speed_mps,walker_physics,radar_pps,target_distance_m,actual_ground_distance_m,actual_depth_m,actual_lateral_m,walker_actor_id,total_radar_points,person_radius_points,person_bbox_points,depth_window_points,nearest_depth_m,mean_person_radius_depth_m,mean_person_radius_velocity_mps,mean_abs_person_radius_velocity_mps,walker_world_x,walker_world_y,walker_world_z,walker_radar_x_m,walker_radar_y_m,walker_radar_z_m,walker_camera_u,walker_camera_v,walker_camera_depth_m,walker_camera_visible
2104,2103,19,cross,-2.74880216776069,1.0,1.2,default,48000,10.0,10.344802117100848,9.97291419217514,-2.74880216776069,26,4653,32,51,236,0.00049591064453125,10.200285494327545,-0.015862887230468914,0.015862887230468914,-75.55607604980469,21.72528076171875,1.0862798690795898,9.97291419217514,-2.74880216776069,-0.5193102557173424,538.1547569555398,379.2408460053347,9.97291419217514,1
2105,2104,20,cross,-2.7429427730647404,1.0,1.2,default,48000,10.0,10.343247694495233,9.972915211379913,-2.7429427730647404,26,4645,31,44,253,0.0008611679077148438,10.171921853096254,-0.015523482835100542,0.015523482835100542,-75.55609130859375,21.73114013671875,1.0862798690795898,9.972915211379913,-2.7429427730647404,-0.5193101844476038,538.3718624399908,379.240841398374,9.972915211379913,1
2106,2105,21,cross,-2.7370833783687907,1.0,1.2,default,48000,10.0,10.341696358064386,9.972916230584687,-2.7370833783687907,26,4668,41,57,238,0.0047245025634765625,10.158564707128013,-0.015576388028155013,0.015576388028155013,-75.55610656738281,21.73699951171875,1.0862798690795898,9.972916230584687,-2.7370833783687907,-0.5193101131778652,538.5889678800664,379.2408367914143,9.972916230584687,1
2107,2106,22,cross,-2.731223983672841,1.0,1.2,default,48000,10.0,10.340148109197369,9.972917249789461,-2.731223983672841,26,4666,43,57,254,0.0048809051513671875,10.169836887093478,-0.015484323226955048,0.015484323226955048,-75.55612182617188,21.74285888671875,1.0862798690795898,9.972917249789461,-2.731223983672841,-0.5193100419081267,538.8060732757671,379.24083218445554,9.972917249789461,1
2108,2107,23,cross,-2.7253645677784224,1.0,1.2,default,48000,10.0,10.338595602112406,9.972910658213877,-2.7253645677784224,26,4652,42,54,234,2.193450927734375e-05,10.191828364417667,-0.015452874003953877,0.015452874003953877,-75.55614471435547,21.74871826171875,1.0862798690795898,9.972910658213877,-2.7253645677784224,-0.5193105028359772,539.0231023525212,379.2408619793844,9.972910658213877,1
2109,2108,24,cross,-2.7195051730824726,1.0,1.2,default,48000,10.0,10.337053531447712,9.97291167741865,-2.7195051730824726,26,4657,40,53,239,0.006148338317871094,10.179746651649475,-0.01556935990229249,0.01556935990229249,-75.55615997314453,21.75457763671875,1.0862798690795898,9.97291167741865,-2.7195051730824726,-0.5193104315662387,539.2402078251621,379.2408573724205,9.97291167741865,1
2110,2109,25,cross,-2.713645778386523,1.0,1.2,default,48000,10.0,10.335514552504279,9.972912696623425,-2.713645778386523,26,4655,28,42,244,0.00031185150146484375,10.176840543746948,-0.01541550038382411,0.01541550038382411,-75.5561752319336,21.76043701171875,1.0862798690795898,9.972912696623425,-2.713645778386523,-0.5193103602965001,539.4573132534279,379.24085276545753,9.972912696623425,1
2111,2110,26,cross,-2.707786383690573,1.0,1.2,default,48000,10.0,10.3339786666634,9.972913715828199,-2.707786383690573,26,4652,44,59,251,0.006707191467285156,10.153041926297275,-0.015593048968267713,0.015593048968267713,-75.55619049072266,21.76629638671875,1.0862798690795898,9.972913715828199,-2.707786383690573,-0.5193102890267616,539.6744186373186,379.2408481584955,9.972913715828199,1
2112,2111,27,cross,-2.7019269889946234,1.0,1.2,default,48000,10.0,10.33244587530442,9.972914735032973,-2.7019269889946234,26,4670,37,48,246,0.0013828277587890625,10.136908428089038,-0.015361876226961613,0.015361876226961613,-75.55620574951172,21.77215576171875,1.0862798690795898,9.972914735032973,-2.7019269889946234,-0.519310217757023,539.891523976834,379.24084355153445,9.972914735032973,1
2113,2112,28,cross,-2.6960675942986736,1.0,1.2,default,48000,10.0,10.330916179804717,9.972915754237746,-2.6960675942986736,26,4655,31,44,217,0.004809379577636719,10.150391455619566,-0.01540328228786107,0.01540328228786107,-75.55622100830078,21.77801513671875,1.0862798690795898,9.972915754237746,-2.6960675942986736,-0.5193101464872845,540.1086292719743,379.2408389445743,9.972915754237746,1
2114,2113,29,cross,-2.690208199602724,1.0,1.2,default,48000,10.0,10.3293895815397,9.97291677344252,-2.690208199602724,26,4655,31,43,254,0.0026884078979492188,10.15569991450156,-0.015465611321551184,0.015465611321551184,-75.55623626708984,21.78387451171875,1.0862798690795898,9.97291677344252,-2.690208199602724,-0.5193100752175459,540.3257345227395,379.24083433761507,9.97291677344252,1
2115,2114,30,cross,-2.684348804906774,1.0,1.2,default,48000,10.0,10.32786608188281,9.972917792647294,-2.684348804906774,26,4641,43,55,236,0.007925033569335938,10.155808426613032,-0.015334918596890084,0.015334918596890084,-75.5562515258789,21.78973388671875,1.0862798690795898,9.972917792647294,-2.684348804906774,-0.5193100039478074,540.5428397291296,379.24082973065686,9.972917792647294,1
2116,2115,31,cross,-2.6784893890123556,1.0,1.2,default,48000,10.0,10.326338326411417,9.97291120107171,-2.6784893890123556,26,4653,34,43,241,0.0010156631469726562,10.14669942855835,-0.015243096824954538,0.015243096824954538,-75.5562744140625,21.79559326171875,1.0862798690795898,9.97291120107171,-2.6784893890123556,-0.5193104648756579,540.7598699419823,379.24085952558244,9.97291120107171,1
2117,2116,32,cross,-2.672629994316406,1.0,1.2,default,48000,10.0,10.324821027013483,9.972912220276484,-2.672629994316406,26,4642,30,46,228,0.0019807815551757812,10.145238081614176,-0.015090281516313553,0.015090281516313553,-75.55628967285156,21.80145263671875,1.0862798690795898,9.972912220276484,-2.672629994316406,-0.5193103936059194,540.9769752253126,379.24085491861905,9.972912220276484,1
2118,2117,33,cross,-2.666770599620456,1.0,1.2,default,48000,10.0,10.323306830334,9.972913239481258,-2.666770599620456,26,4655,30,42,242,0.011505126953125,10.15788386662801,-0.015142354307075341,0.015142354307075341,-75.55630493164062,21.80731201171875,1.0862798690795898,9.972913239481258,-2.666770599620456,-0.5193103223361808,541.1940804642677,379.2408503116566,9.972913239481258,1
2119,2118,34,cross,-2.6609112049245063,1.0,1.2,default,48000,10.0,10.321795737738466,9.972914258686032,-2.6609112049245063,26,4660,34,41,231,0.004551887512207031,10.152943526997285,-0.014928359483533046,0.014928359483533046,-75.55632019042969,21.81317138671875,1.0862798690795898,9.972914258686032,-2.6609112049245063,-0.5193102510664422,541.4111856588477,379.24084570469506,9.972914258686032,1
2120,2119,35,cross,-2.6550518102285565,1.0,1.2,default,48000,10.0,10.320287750590378,9.972915277890806,-2.6550518102285565,26,4643,37,47,223,0.0009670257568359375,10.116605655567065,-0.015171600782589332,0.015171600782589332,-75.55633544921875,21.81903076171875,1.0862798690795898,9.972915277890806,-2.6550518102285565,-0.5193101797967037,541.6282908090526,379.24084109773446,9.972915277890806,1
2121,2120,36,cross,-2.6491924155326068,1.0,1.2,default,48000,10.0,10.318782870251225,9.97291629709558,-2.6491924155326068,26,4668,41,51,251,0.001861572265625,10.128259937937667,-0.015041020244541691,0.015041020244541691,-75.55635070800781,21.82489013671875,1.0862798690795898,9.97291629709558,-2.6491924155326068,-0.5193101085269651,541.8453959148824,379.2408364907748,9.97291629709558,1
2122,2121,37,cross,-2.643333020836657,1.0,1.2,default,48000,10.0,10.317281098080487,9.972917316300354,-2.643333020836657,26,4662,37,50,244,0.0035648345947265625,10.149154998160697,-0.015164763490493232,0.015164763490493232,-75.55636596679688,21.83074951171875,1.0862798690795898,9.972917316300354,-2.643333020836657,-0.5193100372572266,542.062500976337,379.24083188381616,9.972917316300354,1
2123,2122,38,cross,-2.6374736049422385,1.0,1.2,default,48000,10.0,10.315775072193913,9.97291072472477,-2.6374736049422385,26,4646,34,49,227,0.0021610260009765625,10.13692014357623,-0.015046348932253964,0.015046348932253964,-75.55638885498047,21.83660888671875,1.0862798690795898,9.97291072472477,-2.6374736049422385,-0.5193104981850771,542.2795322039731,379.24086167874464,9.97291072472477,1
2124,2123,39,cross,-2.6316142102462887,1.0,1.2,default,48000,10.0,10.314279519374002,9.972911743929544,-2.6316142102462887,26,4632,37,58,254,0.0010471343994140625,10.123224258422852,-0.014961469188533924,0.014961469188533924,-75.55640411376953,21.84246826171875,1.0862798690795898,9.972911743929544,-2.6316142102462887,-0.5193104269153386,542.4966373423679,379.24085707178074,9.972911743929544,1
2125,2124,40,cross,-2.625754815550339,1.0,1.2,default,48000,10.0,10.312787078790736,9.972912763134318,-2.625754815550339,26,4668,37,47,242,0.0005807876586914062,10.103239806922707,-0.015099210387750252,0.015099210387750252,-75.5564193725586,21.84832763671875,1.0862798690795898,9.972912763134318,-2.625754815550339,-0.5193103556456,542.7137424363874,379.24085246481786,9.972912763134318,1
2126,2125,41,cross,-2.619895420854389,1.0,1.2,default,48000,10.0,10.311297751795493,9.972913782339091,-2.619895420854389,26,4645,39,51,243,0.0012121200561523438,10.145980370350372,-0.015010297465591859,0.015010297465591859,-75.55643463134766,21.85418701171875,1.0862798690795898,9.972913782339091,-2.619895420854389,-0.5193102843758615,542.9308474860319,379.2408478578559,9.972913782339091,1
2127,2126,42,cross,-2.6140360261584394,1.0,1.2,default,48000,10.0,10.309811539737616,9.972914801543865,-2.6140360261584394,26,4640,41,50,246,0.0035848617553710938,10.119836318783644,-0.014910040332413301,0.014910040332413301,-75.55644989013672,21.86004638671875,1.0862798690795898,9.972914801543865,-2.6140360261584394,-0.5193102131061229,543.1479524913012,379.2408432508949,9.972914801543865,1
2128,2127,43,cross,-2.6081766314624897,1.0,1.2,default,48000,10.0,10.3083284439644,9.97291582074864,-2.6081766314624897,26,4638,38,53,226,0.002101898193359375,10.100595398953086,-0.014957916359172055,0.014957916359172055,-75.55646514892578,21.86590576171875,1.0862798690795898,9.97291582074864,-2.6081766314624897,-0.5193101418363844,543.3650574521955,379.2408386439348,9.97291582074864,1
2129,2128,44,cross,-2.60231723676654,1.0,1.2,default,48000,10.0,10.306848465821092,9.972916839953413,-2.60231723676654,26,4648,44,55,223,0.003101348876953125,10.114562316374345,-0.014929519267752767,0.014929519267752767,-75.55648040771484,21.87176513671875,1.0862798690795898,9.972916839953413,-2.60231723676654,-0.5193100705666458,543.5821623687148,379.2408340369757,9.972916839953413,1
2130,2129,45,cross,-2.59645784207059,1.0,1.2,default,48000,10.0,10.305371606650882,9.972917859158187,-2.59645784207059,26,4642,31,41,236,0.0038394927978515625,10.15564029447494,-0.014548271533942992,0.014548271533942992,-75.5564956665039,21.87762451171875,1.0862798690795898,9.972917859158187,-2.59645784207059,-0.5193099992969072,543.7992672408591,379.24082943001747,9.972917859158187,1
2131,2130,46,cross,-2.5905984261761716,1.0,1.2,default,48000,10.0,10.303890496156416,9.972911267582603,-2.5905984261761716,26,4647,41,52,246,0.0005865097045898438,10.083659009235662,-0.014827743149930385,0.014827743149930385,-75.5565185546875,21.88348388671875,1.0862798690795898,9.972911267582603,-2.5905984261761716,-0.5193104602247578,544.0162996045935,379.2408592249427,9.972911267582603,1
2132,2131,47,cross,-2.584739031480222,1.0,1.2,default,48000,10.0,10.30241987791276,9.972912286787377,-2.584739031480222,26,4655,39,45,252,0.0013990402221679688,10.102785623990572,-0.01486850768709794,0.01486850768709794,-75.55653381347656,21.88934326171875,1.0862798690795898,9.972912286787377,-2.584739031480222,-0.5193103889550192,544.2334045536776,379.2408546179793,9.972912286787377,1
2133,2132,48,cross,-2.578879636784272,1.0,1.2,default,48000,10.0,10.300952382661318,9.97291330599215,-2.578879636784272,26,4659,39,49,248,0.0034875869750976562,10.098167272714468,-0.01468015123063173,0.01468015123063173,-75.55654907226562,21.89520263671875,1.0862798690795898,9.97291330599215,-2.578879636784272,-0.5193103176852807,544.4505094583865,379.24085001101696,9.97291330599215,1
2134,2133,49,cross,-2.5730202420883224,1.0,1.2,default,48000,10.0,10.299488011737004,9.972914325196925,-2.5730202420883224,26,4663,35,48,249,0.002429962158203125,10.10614081791469,-0.014688433201185295,0.014688433201185295,-75.55656433105469,21.90106201171875,1.0862798690795898,9.972914325196925,-2.5730202420883224,-0.5193102464155421,544.6676143187204,379.24084540405545,9.972914325196925,1
2135,2134,50,cross,-2.5671608473923726,1.0,1.2,default,48000,10.0,10.298026766472653,9.972915344401699,-2.5671608473923726,26,4634,25,39,232,0.0008068084716796875,10.126222114562989,-0.01472944874316454,0.01472944874316454,-75.55657958984375,21.90692138671875,1.0862798690795898,9.972915344401699,-2.5671608473923726,-0.5193101751458036,544.8847191346792,379.24084079709496,9.972915344401699,1
2136,2135,51,cross,-2.561301452696423,1.0,1.2,default,48000,10.0,10.296568648198999,9.972916363606473,-2.561301452696423,26,4652,40,53,232,0.0013074874877929688,10.08343689441681,-0.01480537981260568,0.01480537981260568,-75.55659484863281,21.91278076171875,1.0862798690795898,9.972916363606473,-2.561301452696423,-0.519310103876065,545.101823906263,379.2408361901354,9.972916363606473,1
2137,2136,52,cross,-2.5554439653417163,1.0,1.2,default,48000,10.0,10.2951141265618,9.972917377524539,-2.5554439653417163,26,4661,46,66,279,0.000244140625,10.08133430066316,-0.01469608985454492,0.01469608985454492,-75.55661010742188,21.918638229370117,1.0862798690795898,9.972917377524539,-2.5554439653417163,-0.519310032976009,545.3188579148373,379.24083160707346,9.972917377524539,1
2138,2137,53,cross,-2.5495845494472977,1.0,1.2,default,48000,10.0,10.293654886350007,9.972910785948955,-2.5495845494472977,26,4668,41,49,232,0.00020313262939453125,10.109887332451052,-0.014707291044476555,0.014707291044476555,-75.55663299560547,21.924497604370117,1.0862798690795898,9.972910785948955,-2.5495845494472977,-0.5193104939038595,545.5358912934237,379.24086140200154,9.972910785948955,1
2139,2138,54,cross,-2.543725154751348,1.0,1.2,default,48000,10.0,10.29220615496451,9.972911805153728,-2.543725154751348,26,4665,40,43,210,0.0005292892456054688,10.100554037094117,-0.014714249153621494,0.014714249153621494,-75.55664825439453,21.930356979370117,1.0862798690795898,9.972911805153728,-2.543725154751348,-0.519310422634121,545.7529960976944,379.24085679503776,9.972911805153728,1
2140,2139,55,cross,-2.537865760055398,1.0,1.2,default,48000,10.0,10.290760555873208,9.972912824358502,-2.537865760055398,26,4666,40,59,262,0.0013494491577148438,10.089288854599,-0.014641098934225738,0.014641098934225738,-75.5566635131836,21.936216354370117,1.0862798690795898,9.972912824358502,-2.537865760055398,-0.5193103513643824,545.9701008575901,379.24085218807494,9.972912824358502,1
2141,2140,56,cross,-2.5320063653594485,1.0,1.2,default,48000,10.0,10.289318090396312,9.972913843563276,-2.5320063653594485,26,4656,47,61,263,0.00152587890625,10.120628843916224,-0.014551833034195799,0.014551833034195799,-75.55667877197266,21.942075729370117,1.0862798690795898,9.972913843563276,-2.5320063653594485,-0.5193102800946439,546.1872055731108,379.24084758111303,9.972913843563276,1
2142,2141,57,cross,-2.5261469706634987,1.0,1.2,default,48000,10.0,10.28787875985192,9.97291486276805,-2.5261469706634987,26,4659,46,56,223,0.00013065338134765625,10.090129251065461,-0.014567189768928549,0.014567189768928549,-75.55669403076172,21.947935104370117,1.0862798690795898,9.97291486276805,-2.5261469706634987,-0.5193102088249053,546.4043102442564,379.24084297415203,9.97291486276805,1
2143,2142,58,cross,-2.520287575967549,1.0,1.2,default,48000,10.0,10.286442565555994,9.972915881972824,-2.520287575967549,26,4624,31,35,232,0.00133514404296875,10.094192012663811,-0.014579451312461206,0.014579451312461206,-75.55670928955078,21.953794479370117,1.0862798690795898,9.972915881972824,-2.520287575967549,-0.5193101375551668,546.621414871027,379.24083836719205,9.972915881972824,1
2144,2143,59,cross,-2.514428181271599,1.0,1.2,default,48000,10.0,10.285009508822371,9.972916901177598,-2.514428181271599,26,4642,40,50,239,0.000579833984375,10.102248120307923,-0.014419791800901294,0.014419791800901294,-75.55672454833984,21.959653854370117,1.0862798690795898,9.972916901177598,-2.514428181271599,-0.5193100662854282,546.8385194534227,379.24083376023293,9.972916901177598,1
2145,2144,60,cross,-2.5085687865756494,1.0,1.2,default,48000,10.0,10.283579590962743,9.972917920382372,-2.5085687865756494,26,4656,42,62,247,0.0009250640869140625,10.089532511574882,-0.014508533402390424,0.014508533402390424,-75.5567398071289,21.965513229370117,1.0862798690795898,9.972917920382372,-2.5085687865756494,-0.5193099950156896,547.0556239914433,379.24082915327483,9.972917920382372,1
2146,2145,61,cross,-2.502709370681231,1.0,1.2,default,48000,10.0,10.282145426239527,9.972911328806788,-2.502709370681231,26,4647,35,48,244,0.003398895263671875,10.100541605268205,-0.014393128108765398,0.014393128108765398,-75.5567626953125,21.971372604370117,1.0862798690795898,9.972911328806788,-2.502709370681231,-0.5193104559435402,547.2726585061279,379.2408589481997,9.972911328806788,1
2147,2146,62,cross,-2.496849975985281,1.0,1.2,default,48000,10.0,10.28072178904279,9.972912348011562,-2.496849975985281,26,4656,53,70,269,0.002689361572265625,10.088308154412037,-0.014345782281795763,0.014345782281795763,-75.55677795410156,21.977231979370117,1.0862798690795898,9.972912348011562,-2.496849975985281,-0.5193103846738016,547.489763121088,379.24085434123634,9.972912348011562,1
2148,2147,63,cross,-2.4909905812893314,1.0,1.2,default,48000,10.0,10.279301294644226,9.972913367216336,-2.4909905812893314,26,4658,37,47,236,0.0010128021240234375,10.090505110250938,-0.014180345209063711,0.014180345209063711,-75.55679321289062,21.983091354370117,1.0862798690795898,9.972913367216336,-2.4909905812893314,-0.5193103134040631,547.7068676916731,379.24084973427404,9.972913367216336,1
2149,2148,64,cross,-2.4851311865933816,1.0,1.2,default,48000,10.0,10.277883944346918,9.97291438642111,-2.4851311865933816,26,4651,35,43,202,0.00011539459228515625,10.09238736288888,-0.014290669507214,0.014290669507214,-75.55680847167969,21.988950729370117,1.0862798690795898,9.97291438642111,-2.4851311865933816,-0.5193102421343245,547.9239722178831,379.24084512731264,9.97291438642111,1
2150,2149,65,cross,-2.479271791897432,1.0,1.2,default,48000,10.0,10.276469739451793,9.972915405625884,-2.479271791897432,26,4660,34,50,246,0.0005712509155273438,10.08203674765194,-0.014115145786062759,0.014115145786062759,-75.55682373046875,21.994810104370117,1.0862798690795898,9.972915405625884,-2.479271791897432,-0.519310170864586,548.1410766997183,379.24084052035215,9.972915405625884,1
2151,2150,66,cross,-2.473412397201482,1.0,1.2,default,48000,10.0,10.275058681257596,9.972916424830657,-2.473412397201482,26,4659,28,44,267,0.00240325927734375,10.09630046572004,-0.014326292722086822,0.014326292722086822,-75.55683898925781,22.000669479370117,1.0862798690795898,9.972916424830657,-2.473412397201482,-0.5193100995948474,548.3581811371785,379.24083591339263,9.972916424830657,1
2152,2151,67,cross,-2.4675530025055323,1.0,1.2,default,48000,10.0,10.273650771060902,9.972917444035431,-2.4675530025055323,26,4661,37,47,251,0.0021657943725585938,10.057877952988083,-0.014137631408064752,0.014137631408064752,-75.55685424804688,22.006528854370117,1.0862798690795898,9.972917444035431,-2.4675530025055323,-0.5193100283251089,548.5752855302636,379.2408313064341,9.972917444035431,1
2153,2152,68,cross,-2.461693586611114,1.0,1.2,default,48000,10.0,10.272238616069707,9.972910852459847,-2.461693586611114,26,4655,34,46,232,0.000514984130859375,10.041307112749886,-0.014150167185374918,0.014150167185374918,-75.55687713623047,22.012388229370117,1.0862798690795898,9.972910852459847,-2.461693586611114,-0.5193104892529594,548.7923210597319,379.24086110136176,9.972910852459847,1
2154,2153,69,cross,-2.455834191915164,1.0,1.2,default,48000,10.0,10.270837004751304,9.972911871664621,-2.455834191915164,26,4658,47,59,270,0.0010833740234375,10.045877801611068,-0.014183431150431329,0.014183431150431329,-75.55689239501953,22.018247604370117,1.0862798690795898,9.972911871664621,-2.455834191915164,-0.5193104179832209,549.0094255297563,379.24085649439803,9.972911871664621,1
