world_tick_frame,radar_frame,local_condition_frame,walker_motion_mode,walker_motion_coordinate_m,walker_motion_direction,walker_motion_speed_mps,walker_physics,radar_pps,target_distance_m,actual_ground_distance_m,actual_depth_m,actual_lateral_m,walker_actor_id,total_radar_points,person_radius_points,person_bbox_points,depth_window_points,nearest_depth_m,mean_person_radius_depth_m,mean_person_radius_velocity_mps,mean_abs_person_radius_velocity_mps,walker_world_x,walker_world_y,walker_world_z,walker_radar_x_m,walker_radar_y_m,walker_radar_z_m,walker_camera_u,walker_camera_v,walker_camera_depth_m,walker_camera_visible
2085,2084,0,cross,-2.860130730579142,1.0,1.2,default,48000,10.0,10.374942623536455,9.972917659625509,-2.860130730579142,26,4668,32,42,237,0.0016384124755859375,10.170585483312607,-0.016111045522848144,0.016111045522848144,-75.5557632446289,21.61395263671875,1.0862798690795898,9.972917659625509,-2.860130730579142,-0.5193100132496076,534.0299845753651,379.24083033193557,9.972917659625509,1
2086,2085,1,cross,-2.8542713146847234,1.0,1.2,default,48000,10.0,10.373322510606943,9.972911068049925,-2.8542713146847234,26,4654,34,44,243,0.006500244140625,10.163692362168256,-0.016291057581410688,0.016291057581410688,-75.5557861328125,21.61981201171875,1.0862798690795898,9.972911068049925,-2.8542713146847234,-0.5193104741774581,534.2470104864541,379.240860126862,9.972911068049925,1
2087,2086,2,cross,-2.8484119199887736,1.0,1.2,default,48000,10.0,10.371712778805872,9.972912087254699,-2.8484119199887736,26,4652,33,43,233,0.007531166076660156,10.185381600351045,-0.01615700139805223,0.01615700139805223,-75.55580139160156,21.62567138671875,1.0862798690795898,9.972912087254699,-2.8484119199887736,-0.5193104029077196,534.4641164382768,379.2408555198985,9.972912087254699,1
2088,2087,3,cross,-2.842552525292824,1.0,1.2,default,48000,10.0,10.370106107848642,9.972913106459472,-2.842552525292824,26,4654,44,52,248,0.004033088684082031,10.182519674301147,-0.01610503311861645,0.01610503311861645,-75.55581665039062,21.63153076171875,1.0862798690795898,9.972913106459472,-2.842552525292824,-0.519310331637981,534.6812223457243,379.2408509129359,9.972913106459472,1
2089,2088,4,cross,-2.836693130596874,1.0,1.2,default,48000,10.0,10.368502499158158,9.972914125664246,-2.836693130596874,26,4669,34,48,222,0.004818916320800781,10.161526203155518,-0.016333831282442108,0.016333831282442108,-75.55583190917969,21.63739013671875,1.0862798690795898,9.972914125664246,-2.836693130596874,-0.5193102603682425,534.8983282087967,379.24084630597423,9.972914125664246,1
2090,2089,5,cross,-2.8308337359009244,1.0,1.2,default,48000,10.0,10.366901954155477,9.97291514486902,-2.8308337359009244,26,4658,28,40,238,0.0015888214111328125,10.173514638628278,-0.01617449781458293,0.01617449781458293,-75.55584716796875,21.64324951171875,1.0862798690795898,9.97291514486902,-2.8308337359009244,-0.5193101890985039,535.1154340274936,379.2408416990136,9.97291514486902,1
2091,2090,6,cross,-2.8249743412049746,1.0,1.2,default,48000,10.0,10.36530447425983,9.972916164073794,-2.8249743412049746,26,4664,24,31,242,0.000904083251953125,10.206093827883402,-0.016238516429439187,0.016238516429439187,-75.55586242675781,21.64910888671875,1.0862798690795898,9.972916164073794,-2.8249743412049746,-0.5193101178287653,535.3325398018154,379.24083709205377,9.972916164073794,1
2092,2091,7,cross,-2.819114946509025,1.0,1.2,default,48000,10.0,10.363710060888597,9.972917183278568,-2.819114946509025,26,4636,23,30,246,0.0033845901489257812,10.168169685032057,-0.015848504905791386,0.015848504905791386,-75.55587768554688,21.65496826171875,1.0862798690795898,9.972917183278568,-2.819114946509025,-0.5193100465590268,535.5496455317618,379.240832485095,9.972917183278568,1
2093,2092,8,cross,-2.8132555306146063,1.0,1.2,default,48000,10.0,10.362111384782313,9.972910591702984,-2.8132555306146063,26,4660,35,43,236,0.012793540954589844,10.185700471060617,-0.016094772251588958,0.016094772251588958,-75.55590057373047,21.66082763671875,1.0862798690795898,9.972910591702984,-2.8132555306146063,-0.5193105074868773,535.7666724576338,379.2408622800242,9.972910591702984,1
2094,2093,9,cross,-2.8073961359186566,1.0,1.2,default,48000,10.0,10.360523107592096,9.972911610907758,-2.8073961359186566,26,4660,43,58,262,0.0050048828125,10.177095147066337,-0.015993581716577675,0.015993581716577675,-75.55591583251953,21.66668701171875,1.0862798690795898,9.972911610907758,-2.8073961359186566,-0.5193104362171388,535.9837782645211,379.24085767306025,9.972911610907758,1
2095,2094,10,cross,-2.801536741222707,1.0,1.2,default,48000,10.0,10.358937901169154,9.972912630112532,-2.801536741222707,26,4670,34,52,251,0.007289886474609375,10.184645456426283,-0.016147379626465196,0.016147379626465196,-75.5559310913086,21.67254638671875,1.0862798690795898,9.972912630112532,-2.801536741222707,-0.5193103649474002,536.2008840270331,379.2408530660972,9.972912630112532,1
2096,2095,11,cross,-2.795677346526757,1.0,1.2,default,48000,10.0,10.357355766923444,9.972913649317306,-2.795677346526757,26,4657,33,40,253,0.009189605712890625,10.168984644340746,-0.01614300266021129,0.01614300266021129,-75.55594635009766,21.67840576171875,1.0862798690795898,9.972913649317306,-2.795677346526757,-0.5193102936776617,536.41798974517,379.2408484591351,9.972913649317306,1
2097,2096,12,cross,-2.7898179518308073,1.0,1.2,default,48000,10.0,10.355776706263047,9.97291466852208,-2.7898179518308073,26,4651,34,41,231,0.0021390914916992188,10.161017530104694,-0.015986165250925458,0.015986165250925458,-75.55596160888672,21.68426513671875,1.0862798690795898,9.97291466852208,-2.7898179518308073,-0.5193102224079231,536.6350954189315,379.240843852174,9.97291466852208,1
2098,2097,13,cross,-2.7839585571348575,1.0,1.2,default,48000,10.0,10.354200720594168,9.972915687726854,-2.7839585571348575,26,4665,42,58,257,0.006871223449707031,10.161998158409482,-0.015925019735559112,0.015925019735559112,-75.55597686767578,21.69012451171875,1.0862798690795898,9.972915687726854,-2.7839585571348575,-0.5193101511381846,536.8522010483179,379.2408392452138,9.972915687726854,1
2099,2098,14,cross,-2.7780991624389078,1.0,1.2,default,48000,10.0,10.352627811321131,9.972916706931628,-2.7780991624389078,26,4651,35,49,210,0.002056121826171875,10.157477487836566,-0.015908638494355337,0.015908638494355337,-75.55599212646484,21.69598388671875,1.0862798690795898,9.972916706931628,-2.7780991624389078,-0.519310079868446,537.069306633329,379.2408346382545,9.972916706931628,1
2100,2099,15,cross,-2.772239767742958,1.0,1.2,default,48000,10.0,10.351057979846368,9.972917726136401,-2.772239767742958,26,4646,40,55,256,0.0025568008422851562,10.181804633140564,-0.015765646216459574,0.015765646216459574,-75.5560073852539,21.70184326171875,1.0862798690795898,9.972917726136401,-2.772239767742958,-0.5193100085987075,537.286412173965,379.24083003129624,9.972917726136401,1
2101,2100,16,cross,-2.7663803518485395,1.0,1.2,default,48000,10.0,10.349483888046823,9.972911134560817,-2.7663803518485395,26,4662,31,43,243,0.0013446807861328125,10.155607131219679,-0.015849353385067756,0.015849353385067756,-75.5560302734375,21.70770263671875,1.0862798690795898,9.972911134560817,-2.7663803518485395,-0.519310469526558,537.5034402359358,379.2408598262222,9.972911134560817,1
2102,2101,17,cross,-2.7605209571525897,1.0,1.2,default,48000,10.0,10.347920215270511,9.972912153765591,-2.7605209571525897,26,4640,39,50,251,0.0006008148193359375,10.161074173756134,-0.015658744730246373,0.015658744730246373,-75.55604553222656,21.71356201171875,1.0862798690795898,9.972912153765591,-2.7605209571525897,-0.5193103982568195,537.7205458535124,379.2408552192588,9.972912153765591,1
2103,2102,18,cross,-2.75466156245664,1.0,1.2,default,48000,10.0,10.346359624490244,9.972913172970365,-2.75466156245664,26,4648,35,52,264,0.0044116973876953125,10.170379556928362,-0.015746753130640303,0.015746753130640303,-75.55606079101562,21.71942138671875,1.0862798690795898,9.972913172970365,-2.75466156245664,-0.5193103269870809,537.9376514267137,379.24085061229624,9.972913172970365,1
