label,class_aware_mode,object_rows,current_supported_rows,current_supported_rate,class_aware_supported_rows,class_aware_supported_rate,support_gain_rows,support_loss_rows,current_support_mean,class_aware_support_mean,current_support_median,class_aware_support_median
person,person_radius,9458,2356,0.2491012899133009,2352,0.24867836751956016,0,4,1.1743497568196235,1.1731867202368365,0.0,0.0
vehicle,bbox,9298,5166,0.5556033555603356,5166,0.5556033555603356,0,0,12.693374919337492,12.696278769627877,1.0,1.0
