time,rnti,frame,slot,lcid,data_size
17:09:43.457244,59179,396,17,4,792
17:09:43.462103,59179,397,7,4,816
17:09:43.467244,59179,397,17,4,10528
17:09:43.467244,59179,397,17,4,6808
17:09:43.467580,59179,397,18,4,5288
17:09:43.467580,59179,397,18,4,12056
17:09:43.467580,59179,397,18,4,12056
17:09:43.467581,59179,397,18,4,12056
17:09:43.467581,59179,397,18,4,12056
17:09:43.467581,59179,397,18,4,10488
17:09:43.467581,59179,397,18,4,1608
17:09:43.467581,59179,397,18,4,12056
17:09:43.467581,59179,397,18,4,4080
17:09:43.468257,59179,397,19,4,8016
17:09:43.468258,59179,397,19,4,12056
17:09:43.468258,59179,397,19,4,12056
17:09:43.468258,59179,397,19,4,12056
17:09:43.468258,59179,397,19,4,12056
17:09:43.468258,59179,397,19,4,7760
17:09:43.468258,59179,397,19,4,4336
17:09:43.468259,59179,397,19,4,3144
17:09:43.471821,59179,398,7,4,8952
17:09:43.471821,59179,398,7,4,8408
17:09:43.472381,59179,398,8,4,3688
17:09:43.472381,59179,398,8,4,12056
17:09:43.472381,59179,398,8,4,12056
17:09:43.472381,59179,398,8,4,12056
17:09:43.472381,59179,398,8,4,12056
17:09:43.472382,59179,398,8,4,12056
17:09:43.472382,59179,398,8,4,32
17:09:43.472382,59179,398,8,4,12064
17:09:43.472382,59179,398,8,4,5688
17:09:43.472893,59179,398,9,4,6408
17:09:43.472894,59179,398,9,4,12056
17:09:43.472894,59179,398,9,4,12056
17:09:43.472894,59179,398,9,4,12056
17:09:43.472894,59179,398,9,4,12056
17:09:43.472894,59179,398,9,4,9368
17:09:43.472894,59179,398,9,4,2728
17:09:43.472894,59179,398,9,4,12056
17:09:43.472895,59179,398,9,4,2960
17:09:43.476686,59179,398,17,4,9136
17:09:43.476686,59179,398,17,4,8200
17:09:43.477275,59179,398,18,4,3896
17:09:43.477276,59179,398,18,4,12056
17:09:43.477276,59179,398,18,4,12056
17:09:43.477276,59179,398,18,4,12056
17:09:43.477276,59179,398,18,4,12056
17:09:43.477276,59179,398,18,4,11880
17:09:43.477277,59179,398,18,4,216
17:09:43.477277,59179,398,18,4,12056
17:09:43.477277,59179,398,18,4,5472
17:09:43.477758,59179,398,19,4,6624
17:09:43.477759,59179,398,19,4,12056
17:09:43.477759,59179,398,19,4,12056
17:09:43.477759,59179,398,19,4,6680
17:09:43.477759,59179,398,19,4,12056
17:09:43.477759,59179,398,19,4,12056
17:09:43.477759,59179,398,19,4,2472
17:09:43.477760,59179,398,19,4,9624
17:09:43.477760,59179,398,19,4,8120
17:09:43.482520,59179,399,7,4,3976
17:09:43.482520,59179,399,7,4,12056
17:09:43.482520,59179,399,7,4,1312
17:09:43.482766,59179,399,8,4,10784
17:09:43.482766,59179,399,8,4,12056
17:09:43.482766,59179,399,8,4,12056
17:09:43.482767,59179,399,8,4,12056
17:09:43.482767,59179,399,8,4,12056
17:09:43.482767,59179,399,8,4,4992
17:09:43.482767,59179,399,8,4,7104
17:09:43.482767,59179,399,8,4,10664
17:09:43.483171,59179,399,9,4,1432
17:09:43.483171,59179,399,9,4,12056
