payload,snr,mcs,delivery_pct,cap2map_p50_ms,send_fps,app_offered_mbps,sched_ul_mbps,bsr_p95_MiB,retx_pct
1 MB,50.3,28,97.5,138,5.85,50.2,36.7,1.0,0.0
1 MB,19.5,24,22.2,6090,7.41,63.6,27.8,47.7,0.0
1 MB,15.6,19,10.7,10687,7.26,62.4,19.7,47.7,0.0
1 MB,8.2,9,4.6,15501,7.97,68.5,9.2,47.7,0.0
400 KB,50.3,28,100.0,112,6.19,20.0,15.5,0.4,0.0
400 KB,19.5,24,100.0,209,6.69,21.7,15.6,0.4,0.0
400 KB,15.6,19,100.0,251,6.88,22.3,15.2,3.0,0.0
400 KB,8.2,9,31.5,11639,7.24,23.4,10.4,47.7,0.0
90 KB,50.4,28,100.0,94,6.41,4.8,4.8,0.1,0.0
90 KB,19.6,24,99.7,130,6.87,5.2,4.3,0.1,0.0
90 KB,15.7,19,100.0,146,7.10,5.3,4.1,0.1,0.0
90 KB,8.2,9,100.0,175,6.92,5.2,3.8,0.1,0.0
