metric,context_family,budget_kib,feasible_profile_count,global_profile,confirmation_frames,confirmation_trajectory_groups,action_change_fraction,mean_global_utility,mean_contextual_utility,mean_utility_lift,ci95_low,ci95_high,p_one_sided,enough_frames,enough_groups,p_holm,practical_reversal
utility_v5_frame,class_mix,49.4,1,ae32__uint4__roi0.5,831,12,0.0,0.893373215746533,0.893373215746533,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,61.3,2,ae64__uint4__roi0.5,831,12,0.0,0.8955972999817036,0.8955972999817036,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,64.1,3,ae64__uint4__roi0.5,831,12,0.3910950661853189,0.8955972999817036,0.9037653953196493,0.008168095337945566,0.0015433936463625777,0.0149461695497631,0.0061987602479504095,True,True,0.22315536892621474,False
utility_v5_frame,class_mix,75.2,4,ae64__uint4__roi0.3,831,12,0.0024067388688327317,0.9028286158207876,0.9021425926589245,-0.0006860231618628208,-0.0022600821205534228,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,79.2,5,ae64__uint4__roi0.3,831,12,0.0024067388688327317,0.9028286158207876,0.9021425926589245,-0.0006860231618628208,-0.0022751109918884905,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,90.0,6,ae32__uint4__roi0.0,831,12,0.1407942238267148,0.9213433248863576,0.918439126169273,-0.002904198717084502,-0.007462740283452584,0.0006508302972258594,0.936612677464507,True,True,1.0,False
utility_v5_frame,class_mix,94.2,7,ae32__uint4__roi0.0,831,12,0.1407942238267148,0.9213433248863576,0.918439126169273,-0.002904198717084502,-0.007607036216504798,0.0006850940614661377,0.9384123175364927,True,True,1.0,False
utility_v5_frame,class_mix,96.4,8,ae32__uint4__roi0.0,831,12,0.1407942238267148,0.9213433248863576,0.9198465110192423,-0.001496813867115254,-0.008324308662455164,0.005497813715524584,0.6620675864827035,True,True,1.0,False
utility_v5_frame,class_mix,101.1,9,ae64__uint4__roi0.0,831,12,0.3910950661853189,0.9160334303902621,0.9178615140198689,0.0018280836296069556,-0.0008829353075378194,0.005382576978496803,0.12117576484703059,True,True,1.0,False
utility_v5_frame,class_mix,117.9,10,ae64__uint4__roi0.0,831,12,0.3910950661853189,0.9160334303902621,0.9178615140198689,0.0018280836296069556,-0.0008968258123121399,0.005397657849909878,0.118376324735053,True,True,1.0,False
utility_v5_frame,class_mix,122.7,11,ae64__uint4__roi0.0,831,12,0.3910950661853189,0.9160334303902621,0.9178615140198689,0.0018280836296069556,-0.0009136061829445481,0.005346785720050933,0.1217756448710258,True,True,1.0,False
utility_v5_frame,class_mix,124.4,12,ae64__uint4__roi0.0,831,12,0.3910950661853189,0.9160334303902621,0.9178615140198689,0.0018280836296069556,-0.000875703178902987,0.005306480790521311,0.11357728454309138,True,True,1.0,False
utility_v5_frame,class_mix,129.2,13,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.002284019912821926,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,148.6,14,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.002238347988717818,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,153.9,15,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.002249674205201601,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,154.6,16,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.002262760982363683,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,163.4,17,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.0022427296107250037,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,174.7,18,ae128__uint4__roi0.0,831,12,0.0024067388688327317,0.9221004733875536,0.9213875889896488,-0.00071288439790481,-0.002275296950645727,0.0,1.0,True,True,1.0,False
utility_v5_frame,class_mix,192.8,19,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.0046540262845158,-6.826932268111847e-05,0.99500099980004,True,True,1.0,False
utility_v5_frame,class_mix,195.7,20,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.004801413502056249,-4.925614527193377e-05,0.994001199760048,True,True,1.0,False
utility_v5_frame,class_mix,200.6,21,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.0047540182852457615,-5.106681313342701e-05,0.9934013197360528,True,True,1.0,False
utility_v5_frame,class_mix,203.1,22,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.004698853837184982,-6.260994815734011e-05,0.9938012397520496,True,True,1.0,False
utility_v5_frame,class_mix,228.6,23,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.004615406381327266,-5.491588939261357e-05,0.9952009598080384,True,True,1.0,False
utility_v5_frame,class_mix,239.4,24,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9200006309734997,-0.0020998424140540894,-0.004613497127147714,-5.4809501105753094e-05,0.996000799840032,True,True,1.0,False
utility_v5_frame,class_mix,251.8,25,ae128__uint4__roi0.0,831,12,0.1407942238267148,0.9221004733875536,0.9207176372734026,-0.0013828361141511002,-0.0036048477691360986,1.7409326110732428e-05,0.9522095580883824,True,True,1.0,False
utility_v5_frame,class_mix,260.9,26,ae128__uint6__roi0.0,831,12,0.1407942238267148,0.9210004171129105,0.9210213323695474,2.0915256636782367e-05,-0.001990489262637359,0.002253224150371172,0.4861027794441112,True,True,1.0,False
utility_v5_frame,class_mix,267.7,27,ae128__uint6__roi0.0,831,12,0.1407942238267148,0.9210004171129105,0.9210213323695474,2.0915256636782367e-05,-0.0020285612365484726,0.0022915104471109573,0.503499300139972,True,True,1.0,False
utility_v5_frame,class_mix,289.0,28,ae128__uint6__roi0.0,831,12,0.1407942238267148,0.9210004171129105,0.9217727153609827,0.0007722982480720804,-4.95557152834952e-05,0.002579044160900922,0.11397720455908818,True,True,1.0,False
utility_v5_frame,class_mix,341.0,29,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9217321915806332,0.0007317744677227383,-9.391324025193652e-05,0.0024921057394588254,0.1965606878624275,True,True,1.0,False
utility_v5_frame,class_mix,392.0,30,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238649877426754,0.0028645706297648786,-0.0008779447145637455,0.006842502067107143,0.06858628274345131,True,True,1.0,False
utility_v5_frame,class_mix,452.2,31,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238649877426754,0.0028645706297648786,-0.0008947375377107116,0.006888232261982616,0.06978604279144171,True,True,1.0,False
utility_v5_frame,class_mix,565.6,32,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238649877426754,0.0028645706297648786,-0.001023903434323781,0.006753238994094951,0.07498500299940011,True,True,1.0,False
utility_v5_frame,class_mix,598.1,33,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238649877426754,0.0028645706297648786,-0.0009336219975369386,0.00690608522846445,0.07698460307938412,True,True,1.0,False
utility_v5_frame,class_mix,759.7,34,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238649877426754,0.0028645706297648786,-0.0009676939906338536,0.007100212797744541,0.0691861627674465,True,True,1.0,False
utility_v5_frame,class_mix,784.8,35,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.9238247608683996,0.0028243437554891127,-0.00028827296831739004,0.006639699469465655,0.04359128174365127,True,True,1.0,False
utility_v5_frame,class_mix,1050.3,36,ae128__uint6__roi0.0,831,12,0.529482551143201,0.9210004171129105,0.923349148441879,0.002348731328968457,-0.0008635046946447538,0.006079457597984868,0.08218356328734253,True,True,1.0,False
utility_v5_frame,nearest_range,49.4,1,ae32__uint4__roi0.5,831,12,0.0,0.893373215746533,0.893373215746533,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_v5_frame,nearest_range,61.3,2,ae64__uint4__roi0.5,831,12,0.0,0.8955972999817036,0.8955972999817036,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_v5_frame,nearest_range,64.1,3,ae64__uint4__roi0.5,831,12,0.42839951865222625,0.8955972999817036,0.9037256775418627,0.008128377560159218,0.003021467139415905,0.013336323353286834,0.0013997200559888023,True,True,0.05038992201559688,False
utility_v5_frame,nearest_range,75.2,4,ae64__uint4__roi0.3,831,12,0.6799037304452467,0.9028286158207876,0.9051487282780865,0.0023201124572991135,-0.0023687300250224697,0.007137181693173004,0.17056588682263546,True,True,1.0,False
utility_v5_frame,nearest_range,79.2,5,ae64__uint4__roi0.3,831,12,0.6799037304452467,0.9028286158207876,0.9051487282780865,0.0023201124572991135,-0.0023485302399804545,0.00732700978370193,0.17516496700659867,True,True,1.0,False
