metric,context_family,budget_kib,context_value,discovery_frames,global_profile,context_profile
utility_v5_frame,class_mix,124.4,pedestrian_only,132,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,class_mix,124.4,vehicle_only,430,ae64__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,class_mix,129.2,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,129.2,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,129.2,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,129.2,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,148.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,148.6,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,148.6,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,148.6,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,153.9,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,153.9,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,153.9,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,153.9,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,154.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,154.6,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,154.6,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,154.6,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,163.4,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,163.4,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,163.4,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,163.4,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,174.7,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,174.7,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,174.7,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,174.7,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,192.8,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,192.8,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,192.8,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,192.8,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,195.7,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,195.7,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,195.7,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,195.7,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,200.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,200.6,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,200.6,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,200.6,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,203.1,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,203.1,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,203.1,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,203.1,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,228.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,228.6,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,228.6,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,228.6,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,239.4,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,239.4,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,239.4,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,class_mix,239.4,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,251.8,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,251.8,mixed,288,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,251.8,pedestrian_only,132,ae128__uint4__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,251.8,vehicle_only,430,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,class_mix,260.9,empty,2,ae128__uint6__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,260.9,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,260.9,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,260.9,vehicle_only,430,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,267.7,empty,2,ae128__uint6__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,class_mix,267.7,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,267.7,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,267.7,vehicle_only,430,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,289.0,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,class_mix,289.0,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,289.0,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,289.0,vehicle_only,430,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,341.0,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,class_mix,341.0,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,341.0,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,341.0,vehicle_only,430,ae128__uint6__roi0.0,ae128__uint8__roi0.0
utility_v5_frame,class_mix,392.0,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,392.0,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,392.0,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,392.0,vehicle_only,430,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,452.2,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,452.2,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,452.2,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,452.2,vehicle_only,430,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,565.6,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,565.6,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,565.6,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,565.6,vehicle_only,430,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,598.1,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,598.1,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,598.1,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,598.1,vehicle_only,430,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,759.7,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,759.7,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,759.7,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,759.7,vehicle_only,430,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,784.8,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,784.8,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,784.8,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,784.8,vehicle_only,430,ae128__uint6__roi0.0,noae__uint6__roi0.0
utility_v5_frame,class_mix,1050.3,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.0
utility_v5_frame,class_mix,1050.3,mixed,288,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,class_mix,1050.3,pedestrian_only,132,ae128__uint6__roi0.0,ae128__uint8__roi0.3
utility_v5_frame,class_mix,1050.3,vehicle_only,430,ae128__uint6__roi0.0,noae__uint8__roi0.0
