ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,source_ip
1,200000000,736870912,879858577651389,879858578850502,879858579195025,1.543636,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000000,368435456,879858827651389,879858828468966,879858828759288,1.107899,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000001,736870913,879859077651389,879859078535414,879859078740102,1.088713,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000001,368435457,879859327651389,879859328465634,879859328697468,1.046079,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000002,736870914,879859577651389,879859578512966,879859578702439,1.05105,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000002,368435458,879859827651389,879859828608658,879859828716056,1.064667,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000003,736870915,879860027651389,879860028686053,879860028822269,1.17088,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000003,368435459,879860277651389,879860278509744,879860278627035,0.975646,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000004,736870916,879860527651389,879860528591773,879860528693123,1.041734,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000004,368435460,879860777651389,879860778531243,879860778732219,1.08083,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000005,736870917,879861027651389,879861028740031,879861028935065,1.283676,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000005,368435461,879861277651389,879861278833387,879861278944931,1.293542,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000006,736870918,879861527651389,879861528587977,879861528846890,1.195501,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000006,368435462,879861727651389,879861728444774,879861729053685,1.402296,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000007,736870919,879861977651389,879861978689512,879861979067492,1.416103,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000007,368435463,879862227651389,879862228564301,879862228685597,1.034208,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000008,736870920,879862477651389,879862478688090,879862478806482,1.155093,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000008,368435464,879862727651389,879862728769034,879862728876183,1.224794,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000009,736870921,879862977651389,879862978734569,879862978878446,1.227057,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000009,368435465,879863227651389,879863228620120,879863228754953,1.103564,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000010,736870922,879863427651389,879863428753156,879863428846960,1.195571,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000010,368435466,879863677651389,879863678543025,879863678644030,0.992641,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000011,736870923,879863927651389,879863928629750,879863928760995,1.109606,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000011,368435467,879864177651389,879864178533405,879864178641271,0.989882,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000012,736870924,879864427651389,879864428611214,879864428765950,1.114561,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000012,368435468,879864677651389,879864678541393,879864678654381,1.002992,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000013,736870925,879864877651389,879864878486308,879864878609602,0.958213,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000013,368435469,879865127651389,879865128610346,879865128736159,1.08477,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000014,736870926,879865377651389,879865378429189,879865378563173,0.911784,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000014,368435470,879865627651389,879865628793774,879865628909836,1.258447,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000015,736870927,879865877651389,879865878705838,879865878809415,1.158026,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000015,368435471,879866127651389,879866128540681,879866128732100,1.080711,409600,7,409852,3512885954,3512885954,1,127.0.0.1
