model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
ae32,32,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,234822,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,167279,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,123926,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,78445,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,32459,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,9957,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,179742,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,127460,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,95226,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae32,32,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,60874,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
