profile,model,quant,roi,kb_bin0,kb_bin1-2,kb_bin3-4,kb_bin5+,spread_pct
ae64/u4/q0.5,ae64,per_channel_uint4,0.5,61.8,61.4,61.1,60.1,2.78
ae64/u4/q0.7,ae64,per_channel_uint4,0.7,44.5,44.6,44.9,43.7,2.58
ae64/u4/q0.9,ae64,per_channel_uint4,0.9,23.1,23.2,23.4,22.5,3.83
ae64/u4/q0.98,ae64,per_channel_uint4,0.98,9.5,9.7,9.9,9.8,3.37
ae64/u6/q0,ae64,per_channel_uint6,0.0,203.7,203.1,202.8,202.6,0.54
ae64/u6/q0.3,ae64,per_channel_uint6,0.3,149.4,148.6,148.2,147.2,1.45
ae64/u6/q0.5,ae64,per_channel_uint6,0.5,118.6,117.8,117.8,116.5,1.8
ae64/u6/q0.7,ae64,per_channel_uint6,0.7,80.7,81.1,81.6,80.2,1.74
ae64/u6/q0.9,ae64,per_channel_uint6,0.9,37.4,37.8,38.2,36.9,3.49
ae64/u6/q0.98,ae64,per_channel_uint6,0.98,13.5,13.8,14.0,13.9,3.55
ae64/u8/q0,ae64,per_channel_uint8,0.0,267.8,267.7,267.6,267.9,0.1
ae64/u8/q0.3,ae64,per_channel_uint8,0.3,196.2,195.8,195.4,194.4,0.89
ae64/u8/q0.5,ae64,per_channel_uint8,0.5,154.6,153.7,153.9,152.7,1.24
ae64/u8/q0.7,ae64,per_channel_uint8,0.7,103.6,104.0,104.6,103.1,1.38
ae64/u8/q0.9,ae64,per_channel_uint8,0.9,46.4,46.7,47.1,45.6,3.13
ae64/u8/q0.98,ae64,per_channel_uint8,0.98,15.7,15.8,16.0,16.0,2.28
noae/u4/q0,noae,per_channel_uint4,0.0,397.7,392.2,388.5,382.7,3.76
noae/u4/q0.3,noae,per_channel_uint4,0.3,290.2,289.1,289.2,283.6,2.28
noae/u4/q0.5,noae,per_channel_uint4,0.5,240.8,239.3,239.7,234.7,2.52
noae/u4/q0.7,noae,per_channel_uint4,0.7,185.7,184.4,185.1,180.8,2.67
noae/u4/q0.9,noae,per_channel_uint4,0.9,100.5,98.5,97.1,93.5,6.92
noae/u4/q0.98,noae,per_channel_uint4,0.98,45.0,43.2,41.4,39.4,12.31
noae/u6/q0,noae,per_channel_uint6,0.0,794.6,784.9,778.2,770.5,3.04
