model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped,conf_00,conf_01,conf_02,conf_10,conf_11,conf_12,conf_20,conf_21,conf_22
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,1079941,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914070,1180,26,996,5051,0,105,100,72
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,783432,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914016,1234,26,953,5094,0,103,102,72
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,618855,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913350,1893,33,814,5233,0,79,119,79
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,421865,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913494,1748,34,948,5099,0,79,115,83
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,187126,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914130,1079,67,2474,3573,0,142,68,67
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,64503,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914974,250,52,4351,1696,0,148,63,66
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,809484,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914072,1178,26,1002,5045,0,103,102,72
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,588144,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914009,1240,27,951,5096,0,98,106,73
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,472357,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913271,1972,33,770,5277,0,79,119,79
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,331414,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913412,1830,34,905,5142,0,77,117,83
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,162695,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914167,1041,68,2520,3527,0,142,68,67
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,57487,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914983,248,45,4362,1685,0,151,62,64
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,409730,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914114,1136,26,1040,5007,0,103,104,70
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,304822,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914100,1151,25,1001,5046,0,106,104,67
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,253216,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913274,1969,33,742,5305,0,74,124,79
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,191677,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913485,1753,38,866,5181,0,74,122,81
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,102187,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914179,1037,60,2601,3446,0,144,68,65
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,42975,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914935,285,56,4189,1858,0,141,68,68
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,1077392,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913296,1362,173,1099,5365,0,71,144,90
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,796088,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913267,1388,176,1073,5391,0,71,144,90
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,634968,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912503,2109,219,876,5588,0,65,144,96
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,435611,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912732,1862,237,990,5474,0,65,144,96
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,205307,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,914212,481,138,3559,2905,0,135,74,96
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,76351,2,0,2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,914760,0,71,5855,609,0,233,0,72
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,806161,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913321,1335,175,1124,5340,0,70,144,91
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,595007,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913281,1374,176,1094,5370,0,70,144,91
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,482151,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912533,2081,217,889,5575,0,65,144,96
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,342461,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912763,1835,233,1002,5462,0,65,144,96
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,169577,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,914256,448,127,3610,2854,0,135,74,96
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,71439,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,914754,0,77,5849,615,0,233,0,72
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,402161,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913374,1323,134,1144,5320,0,77,144,84
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,306533,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,913323,1358,150,1128,5336,0,75,144,86
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,258825,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912220,2350,261,817,5647,0,65,144,96
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,198533,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,912634,1935,262,932,5532,0,65,144,96
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,105544,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,914095,522,214,3473,2991,0,135,74,96
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,49893,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,914749,0,82,5815,649,0,229,0,76
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,1074251,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912240,1703,5,1169,6090,0,316,77,0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,791926,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912164,1776,8,1133,6126,0,316,77,0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,627028,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,911342,2591,15,791,6468,0,316,77,0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,429961,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,911592,2332,24,898,6361,0,316,77,0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,205229,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912640,1257,51,2938,4275,46,384,9,0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,69945,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913948,0,0,7259,0,0,393,0,0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,802949,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912266,1676,6,1179,6080,0,316,77,0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,592070,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912166,1776,6,1129,6130,0,316,77,0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,474539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,911256,2679,13,756,6503,0,316,77,0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,337737,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,911535,2390,23,870,6389,0,316,77,0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,173328,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912472,1419,57,2825,4399,35,375,18,0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,67015,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913948,0,0,7259,0,0,393,0,0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,400536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912236,1685,27,1228,6016,15,316,77,0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,304236,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,912134,1786,28,1142,6109,8,316,77,0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,252287,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,910344,3534,70,536,6720,3,307,77,9
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,193281,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,910607,3251,90,675,6582,2,305,77,11
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,107227,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,909672,4109,167,1611,5633,15,298,74,21
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,47014,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,913948,0,0,7259,0,0,393,0,0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,1074406,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919131,348,21,546,1109,0,371,0,74
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,787474,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919118,366,16,527,1128,0,377,0,68
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,626667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918649,811,40,400,1255,0,354,0,91
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,430787,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918715,750,35,397,1258,0,357,0,88
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,192871,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919081,416,3,1221,434,0,445,0,0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,68903,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919500,0,0,1655,0,0,445,0,0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,802757,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919120,362,18,542,1113,0,375,0,70
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,589222,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919103,382,15,522,1133,0,380,0,65
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,475477,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918716,746,38,426,1229,0,353,0,92
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,340191,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918775,692,33,433,1222,0,359,0,86
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,164734,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919102,390,8,1230,425,0,445,0,0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,62606,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919500,0,0,1655,0,0,445,0,0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,399534,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919149,331,20,583,1072,0,377,0,68
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,301903,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919108,371,21,516,1139,0,377,0,68
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,255009,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918017,1440,43,322,1333,0,364,0,81
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,197522,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,918235,1236,29,346,1309,0,371,0,74
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,104776,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919053,447,0,1220,435,0,445,0,0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,44821,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,919500,0,0,1655,0,0,445,0,0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,1065951,1,1,0,0,1,0,0,0,0,0,0.36835838622852735,0.13568790070488493,0.36835838622852735,0.0,915347,805,0,630,4326,0,480,12,0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,767167,1,1,0,0,1,0,0,0,0,0,0.36742624232613913,0.13500204354990672,0.36742624232613913,0.0,915304,848,0,598,4358,0,480,12,0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,600967,1,1,0,0,1,0,0,0,0,0,0.3584465769858675,0.12848394855288545,0.3584465769858675,0.0,914919,1233,0,591,4365,0,480,12,0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,411437,1,1,0,0,1,0,0,0,0,0,0.3567174979265124,0.12724737332695138,0.3567174979265124,0.0,915077,1075,0,604,4352,0,480,12,0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,192076,1,1,0,0,1,0,0,0,0,0,0.16281627933889134,0.026509140817759895,0.16281627933889134,0.0,915069,1083,0,1493,3463,0,480,12,0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,66633,1,1,0,0,1,0,0,0,0,0,0.5923491473639038,0.3508775123827438,0.5923491473639038,0.0,915785,367,0,2694,2262,0,492,0,0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,793583,1,1,0,0,1,0,0,0,0,0,0.3452747156048692,0.11921462923602331,0.3452747156048692,0.0,915355,797,0,647,4309,0,480,12,0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,569716,1,1,0,0,1,0,0,0,0,0,0.34532693852640356,0.1192506944720185,0.34532693852640356,0.0,915307,845,0,592,4364,0,480,12,0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,451833,1,1,0,0,1,0,0,0,0,0,0.4100076228058969,0.16810625075894264,0.4100076228058969,0.0,914821,1331,0,563,4393,0,480,12,0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,324089,1,1,0,0,1,0,0,0,0,0,0.38377460272155245,0.1472829456940854,0.38377460272155245,0.0,914949,1203,0,564,4392,0,480,12,0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,163448,1,1,0,0,1,0,0,0,0,0,0.32791196045440224,0.10752625380904945,0.32791196045440224,0.0,914974,1178,0,1435,3521,0,480,12,0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,61622,1,1,0,0,1,0,0,0,0,0,0.5537254871696933,0.30661191514131414,0.5537254871696933,0.0,915793,359,0,2709,2247,0,492,0,0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,393386,1,1,0,0,1,0,0,0,0,0,0.904585674521954,0.8182752425503386,0.904585674521954,0.0,915317,835,0,613,4343,0,480,12,0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,288057,1,1,0,0,1,0,0,0,0,0,0.7825208170989864,0.6123388291932652,0.7825208170989864,0.0,915301,851,0,603,4353,0,480,12,0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,237165,1,1,0,0,1,0,0,0,0,0,0.867717766030109,0.752934121484283,0.867717766030109,0.0,914397,1755,0,548,4408,0,480,12,0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,184990,1,1,0,0,1,0,0,0,0,0,0.9814307230323049,0.9632062641117128,0.9814307230323049,0.0,914640,1503,9,563,4393,0,480,12,0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,102802,1,1,0,0,1,0,0,0,0,0,0.5457574741536781,0.2978512205946027,0.5457574741536781,0.0,915139,1012,1,1475,3481,0,480,12,0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,44119,1,1,0,0,1,0,0,0,0,0,0.7399318298255733,0.5474991127890211,0.7399318298255733,0.0,915685,467,0,2556,2400,0,492,0,0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,1065472,2,1,1,0,1,1,0,0,0,0,1.3721738263982062,1.8828610098522944,1.3721738263982062,0.0,915813,763,5,412,4145,1,449,12,0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,772060,2,1,1,0,1,1,0,0,0,0,0.06972742695696228,0.004861914070038511,0.06972742695696228,0.0,915766,809,6,369,4187,2,449,12,0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,607964,1,1,0,0,1,0,0,0,0,0,2.3800312249136835,5.664548631564129,2.3800312249136835,0.0,915199,1382,0,394,4164,0,450,11,0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,421685,1,1,0,0,1,0,0,0,0,0,2.3715749416769416,5.624367703989989,2.3715749416769416,0.0,915344,1230,7,405,4153,0,450,11,0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,188702,2,1,1,0,1,1,0,0,0,0,0.32076435960662986,0.10288977439385136,0.32076435960662986,0.0,915471,1110,0,959,3599,0,454,7,0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,65960,3,1,2,0,1,2,0,0,0,0,3.474816549715543,12.07435005417703,3.474816549715543,0.0,916451,130,0,3332,1226,0,461,0,0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,793509,2,1,1,0,1,1,0,0,0,0,0.7519167525669909,0.5653788027908894,0.7519167525669909,0.0,915806,773,2,414,4143,1,449,12,0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,573318,2,1,1,0,1,1,0,0,0,0,1.2006988258823,1.4416776704751335,1.2006988258823,0.0,915736,840,5,370,4186,2,449,12,0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,456305,2,1,1,0,1,1,0,0,0,0,0.5462309450674514,0.29836824534928114,0.5462309450674514,0.0,915132,1449,0,366,4192,0,450,11,0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,1,1,0,328393,2,1,1,0,1,1,0,0,0,0,1.2012330073028814,1.4429607378339244,1.2012330073028814,0.0,915269,1307,5,382,4176,0,450,11,0
