sample_id,frame_id,scenario_id,view_id,traffic_light_id,n_inview,n_inview_veh,n_inview_ped,density_bin,gt_dist_mean_m,gt_dist_min_m,gt_speed_mean_mps,gt_speed_max_mps,frac_parked,frac_moving,camera_x,camera_y
moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-85.07129669189453,24.454626083374023
moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-83.38088989257812,24.461244583129883
moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-80.0622787475586,24.470064163208008
moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-76.08062744140625,24.478042602539062
moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,38.706,38.706,0.0,0.0,1.0,0.0,-70.36490631103516,24.500646591186523
moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,38.634,38.634,0.0,0.0,1.0,0.0,-70.20710754394531,24.501319885253906
moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,34.296,30.172,4.91,7.389,0.333,0.667,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,30.96,25.663,4.897,7.398,0.333,0.667,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000055_frame82154,82154,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,27.59,20.779,4.918,7.413,0.333,0.667,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000066_frame82176,82176,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,33.817,31.731,5.292,7.431,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000068_frame82180,82180,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,34.348,33.995,5.6,7.413,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000070_frame82184,82184,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,34.835,33.305,5.872,7.404,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000077_frame82198,82198,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,28.03,28.03,5.577,5.577,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000083_frame82210,82210,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,22.501,22.501,7.332,7.332,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000091_frame82226,82226,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,18.063,18.063,7.411,7.411,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000100_frame82244,82244,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,21.421,21.421,7.376,7.376,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000105_frame82254,82254,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,26.189,26.189,7.429,7.429,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000107_frame82258,82258,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,28.424,28.424,7.429,7.429,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000109_frame82262,82262,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,30.781,30.781,7.408,7.408,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000111_frame82266,82266,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,33.227,33.227,7.392,7.392,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000116_frame82276,82276,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,39.635,39.635,7.384,7.384,0.0,1.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000143_frame82330,82330,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000148_frame82340,82340,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000155_frame82354,82354,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000156_frame82356,82356,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000165_frame82374,82374,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000166_frame82376,82376,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000174_frame82392,82392,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000178_frame82400,82400,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000188_frame82420,82420,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000192_frame82428,82428,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000204_frame82452,82452,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,36.257,36.257,0.0,0.0,1.0,0.0,-70.2176742553711,24.501346588134766
moving_ego_pps200000_low_8loops_stride2_000211_frame82466,82466,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,34.039,34.039,0.0,0.0,1.0,0.0,-69.11186981201172,24.50465965270996
moving_ego_pps200000_low_8loops_stride2_000217_frame82478,82478,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,29.392,29.392,0.0,0.0,1.0,0.0,-65.16795349121094,24.507675170898438
moving_ego_pps200000_low_8loops_stride2_000224_frame82492,82492,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,24.494,24.494,0.0,0.0,1.0,0.0,-60.60309982299805,23.910310745239258
moving_ego_pps200000_low_8loops_stride2_000239_frame82522,82522,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-51.6773567199707,19.603504180908203
moving_ego_pps200000_low_8loops_stride2_000241_frame82526,82526,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-50.6291618347168,18.79056167602539
moving_ego_pps200000_low_8loops_stride2_000246_frame82536,82536,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-48.41808319091797,16.29273796081543
moving_ego_pps200000_low_8loops_stride2_000256_frame82556,82556,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.662254333496094,10.27631950378418
moving_ego_pps200000_low_8loops_stride2_000264_frame82572,82572,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.17388153076172,4.967805862426758
moving_ego_pps200000_low_8loops_stride2_000267_frame82578,82578,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.10794448852539,2.9801440238952637
moving_ego_pps200000_low_8loops_stride2_000279_frame82602,82602,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.11296081542969,-5.003705978393555
moving_ego_pps200000_low_8loops_stride2_000287_frame82618,82618,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.16310501098633,-10.308340072631836
moving_ego_pps200000_low_8loops_stride2_000301_frame82646,82646,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.28895568847656,-19.588655471801758
moving_ego_pps200000_low_8loops_stride2_000305_frame82654,82654,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,38.544,38.544,0.0,0.0,1.0,0.0,-45.321624755859375,-22.245441436767578
moving_ego_pps200000_low_8loops_stride2_000312_frame82668,82668,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,36.564,35.387,2.471,7.412,0.667,0.333,-45.35590744018555,-26.913972854614258
moving_ego_pps200000_low_8loops_stride2_000314_frame82672,82672,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,35.328,33.608,2.469,7.408,0.667,0.333,-45.362892150878906,-28.244138717651367
moving_ego_pps200000_low_8loops_stride2_000315_frame82674,82674,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,34.737,32.797,2.47,7.411,0.667,0.333,-45.36620330810547,-28.910919189453125
moving_ego_pps200000_low_8loops_stride2_000319_frame82682,82682,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,33.46,30.1,0.984,2.952,0.667,0.333,-45.372432708740234,-31.575021743774414
moving_ego_pps200000_low_8loops_stride2_000332_frame82708,82708,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,27.993,21.805,0.483,1.932,0.75,0.25,-45.315128326416016,-40.11358642578125
moving_ego_pps200000_low_8loops_stride2_000343_frame82730,82730,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,28.149,22.585,0.978,3.912,0.75,0.25,-45.306793212890625,-40.459354400634766
moving_ego_pps200000_low_8loops_stride2_000345_frame82734,82734,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,28.369,23.272,1.264,5.057,0.75,0.25,-45.306793212890625,-40.459354400634766
moving_ego_pps200000_low_8loops_stride2_000358_frame82760,82760,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,31.38,25.706,1.852,7.407,0.75,0.25,-45.306793212890625,-40.459354400634766
moving_ego_pps200000_low_8loops_stride2_000374_frame82792,82792,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,23.091,16.929,0.0,0.0,1.0,0.0,-45.22505187988281,-49.48054885864258
moving_ego_pps200000_low_8loops_stride2_000380_frame82804,82804,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,28.921,21.524,0.0,0.0,1.0,0.0,-45.81158447265625,-53.40359115600586
moving_ego_pps200000_low_8loops_stride2_000382_frame82808,82808,moving_ego_training,autopilot_spawn80,,2,0,2,1-2,29.208,21.185,0.0,0.0,1.0,0.0,-46.264347076416016,-54.66302490234375
moving_ego_pps200000_low_8loops_stride2_000385_frame82814,82814,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,35.844,35.844,0.0,0.0,1.0,0.0,-47.1455192565918,-56.458595275878906
moving_ego_pps200000_low_8loops_stride2_000386_frame82816,82816,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,35.381,35.381,0.0,0.0,1.0,0.0,-47.45856857299805,-57.049625396728516
moving_ego_pps200000_low_8loops_stride2_000393_frame82830,82830,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,31.894,31.894,0.0,0.0,1.0,0.0,-50.399383544921875,-60.691043853759766
moving_ego_pps200000_low_8loops_stride2_000401_frame82846,82846,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.7,27.7,0.0,0.0,1.0,0.0,-54.84605407714844,-63.64501190185547
moving_ego_pps200000_low_8loops_stride2_000415_frame82874,82874,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,20.864,20.864,0.0,0.0,1.0,0.0,-63.96135711669922,-65.2762680053711
moving_ego_pps200000_low_8loops_stride2_000419_frame82882,82882,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,28.274,18.33,0.0,0.0,1.0,0.0,-66.60882568359375,-65.36515045166016
moving_ego_pps200000_low_8loops_stride2_000420_frame82884,82884,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,27.614,17.659,0.0,0.0,1.0,0.0,-67.27176666259766,-65.38477325439453
moving_ego_pps200000_low_8loops_stride2_000428_frame82900,82900,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,22.796,13.234,0.0,0.0,1.0,0.0,-72.56194305419922,-65.24119567871094
moving_ego_pps200000_low_8loops_stride2_000429_frame82902,82902,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,22.248,12.793,0.0,0.0,1.0,0.0,-73.22248077392578,-65.19629669189453
moving_ego_pps200000_low_8loops_stride2_000439_frame82922,82922,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,25.111,25.111,0.0,0.0,1.0,0.0,-79.758544921875,-64.17318725585938
moving_ego_pps200000_low_8loops_stride2_000441_frame82926,82926,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,23.794,23.794,0.0,0.0,1.0,0.0,-81.02872467041016,-63.80387878417969
moving_ego_pps200000_low_8loops_stride2_000457_frame82958,82958,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,13.652,13.652,0.0,0.0,1.0,0.0,-90.64371490478516,-59.41647720336914
moving_ego_pps200000_low_8loops_stride2_000464_frame82972,82972,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,10.107,10.107,0.0,0.0,1.0,0.0,-94.3665771484375,-56.66865158081055
moving_ego_pps200000_low_8loops_stride2_000471_frame82986,82986,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-97.73603820800781,-53.46207046508789
moving_ego_pps200000_low_8loops_stride2_000480_frame83004,83004,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-101.51173400878906,-48.78750228881836
moving_ego_pps200000_low_8loops_stride2_000484_frame83012,83012,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-102.984619140625,-46.56609344482422
moving_ego_pps200000_low_8loops_stride2_000498_frame83040,83040,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-107.08513641357422,-38.2364387512207
moving_ego_pps200000_low_8loops_stride2_000499_frame83042,83042,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-107.29830169677734,-37.60960388183594
moving_ego_pps200000_low_8loops_stride2_000509_frame83062,83062,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-109.08570098876953,-31.22710418701172
moving_ego_pps200000_low_8loops_stride2_000523_frame83090,83090,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,6.738,6.738,6.28,6.28,0.0,1.0,-110.12356567382812,-22.02842903137207
moving_ego_pps200000_low_8loops_stride2_000533_frame83110,83110,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,10.623,10.623,4.858,4.858,0.0,1.0,-110.30644226074219,-15.396973609924316
moving_ego_pps200000_low_8loops_stride2_000536_frame83116,83116,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,11.361,11.361,4.495,4.495,0.0,1.0,-110.3353271484375,-13.397431373596191
moving_ego_pps200000_low_8loops_stride2_000548_frame83140,83140,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,18.761,18.761,7.453,7.453,0.0,1.0,-110.35887145996094,-5.422982215881348
moving_ego_pps200000_low_8loops_stride2_000557_frame83158,83158,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,26.142,26.142,7.438,7.438,0.0,1.0,-110.35133361816406,0.5068106055259705
moving_ego_pps200000_low_8loops_stride2_000563_frame83170,83170,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,31.055,31.055,7.432,7.432,0.0,1.0,-110.34156799316406,4.479764461517334
moving_ego_pps200000_low_8loops_stride2_000573_frame83190,83190,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,39.293,39.293,7.45,7.45,0.0,1.0,-110.02703857421875,11.10958194732666
moving_ego_pps200000_low_8loops_stride2_000584_frame83212,83212,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-107.15193939208984,17.819782257080078
moving_ego_pps200000_low_8loops_stride2_000585_frame83214,83214,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-106.7554931640625,18.36040687561035
moving_ego_pps200000_low_8loops_stride2_000593_frame83230,83230,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-102.89854431152344,22.02056121826172
moving_ego_pps200000_low_8loops_stride2_000598_frame83240,83240,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-99.93895721435547,23.54911994934082
moving_ego_pps200000_low_8loops_stride2_000604_frame83252,83252,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-95.99771881103516,24.34914779663086
moving_ego_pps200000_low_8loops_stride2_000622_frame83288,83288,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-84.05110931396484,24.727401733398438
moving_ego_pps200000_low_8loops_stride2_000623_frame83290,83290,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-83.38639068603516,24.728452682495117
moving_ego_pps200000_low_8loops_stride2_000632_frame83308,83308,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-77.41313171386719,24.70235824584961
moving_ego_pps200000_low_8loops_stride2_000642_frame83328,83328,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,32.196,32.196,0.0,0.0,1.0,0.0,-70.80870819091797,24.64351463317871
moving_ego_pps200000_low_8loops_stride2_000647_frame83338,83338,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,30.795,30.795,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000661_frame83366,83366,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,28.418,28.418,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000663_frame83370,83370,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,28.08,28.08,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000666_frame83376,83376,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.575,27.575,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000669_frame83382,83382,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.071,27.071,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000679_frame83402,83402,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,25.401,25.401,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000688_frame83420,83420,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,23.915,23.915,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000692_frame83428,83428,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,23.26,23.26,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000696_frame83436,83436,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,22.609,22.609,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000699_frame83442,83442,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,22.124,22.124,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000715_frame83474,83474,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,19.584,19.584,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000771_frame83586,83586,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,23.8,11.969,2.472,7.417,0.667,0.333,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000783_frame83610,83610,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,29.841,27.229,1.006,2.011,0.5,0.5,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000796_frame83636,83636,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,33.361,31.747,3.706,7.412,0.5,0.5,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000798_frame83640,83640,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,34.379,31.642,3.718,7.436,0.5,0.5,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000799_frame83642,83642,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,34.896,31.56,3.721,7.442,0.5,0.5,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000800_frame83644,83644,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,35.417,31.46,3.721,7.443,0.5,0.5,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000805_frame83654,83654,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,30.777,30.777,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000806_frame83656,83656,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,30.637,30.637,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000809_frame83662,83662,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,30.219,30.219,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707
moving_ego_pps200000_low_8loops_stride2_000819_frame83682,83682,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,26.556,26.556,0.0,0.0,1.0,0.0,-66.49365234375,24.598115921020508
moving_ego_pps200000_low_8loops_stride2_000825_frame83694,83694,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,38.174,38.174,6.073,6.073,0.0,1.0,-62.53071975708008,24.446857452392578
moving_ego_pps200000_low_8loops_stride2_000829_frame83702,83702,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,33.001,33.001,5.476,5.476,0.0,1.0,-59.908843994140625,24.02811050415039
moving_ego_pps200000_low_8loops_stride2_000839_frame83722,83722,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-53.99799346923828,21.08155632019043
moving_ego_pps200000_low_8loops_stride2_000840_frame83724,83724,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-53.4593620300293,20.684011459350586
moving_ego_pps200000_low_8loops_stride2_000846_frame83736,83736,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,33.552,33.552,5.656,5.656,0.0,1.0,-50.5533561706543,17.96954917907715
moving_ego_pps200000_low_8loops_stride2_000853_frame83750,83750,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,24.742,24.742,0.374,0.374,0.0,0.0,-47.43854522705078,14.533196449279785
moving_ego_pps200000_low_8loops_stride2_000869_frame83782,83782,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.154197692871094,4.25175142288208
moving_ego_pps200000_low_8loops_stride2_000877_frame83798,83798,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.0535888671875,-1.06500244140625
moving_ego_pps200000_low_8loops_stride2_000879_frame83802,83802,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.07131576538086,-2.395078420639038
moving_ego_pps200000_low_8loops_stride2_000883_frame83810,83810,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.11416244506836,-5.05696439743042
moving_ego_pps200000_low_8loops_stride2_000886_frame83816,83816,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.13539505004883,-7.051265239715576
moving_ego_pps200000_low_8loops_stride2_000888_frame83820,83820,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.14394760131836,-8.375423431396484
moving_ego_pps200000_low_8loops_stride2_000893_frame83830,83830,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,39.839,39.839,0.0,0.0,0.0,0.0,-45.1822624206543,-11.687780380249023
