model,quant,roi,profile,density_bin,frames,gt_objs,payload_kb,recall,precision,recall_veh,recall_ped,loc_m,fp_per_frame,pred_per_frame,transport_ms_derived
ae128,per_channel_uint6,0.0,ae128/u6/q0,ALL,2162,3899,260.9403,0.9095,0.537,0.9242,0.884,0.8682,1.414,3.0541,3.448
ae128,per_channel_uint6,0.3,ae128/u6/q0.3,0,483,0,193.2557,nan,0.0,nan,nan,nan,0.0435,0.0435,2.83
ae128,per_channel_uint6,0.3,ae128/u6/q0.3,1-2,1091,1579,192.6994,0.9392,0.5148,0.9524,0.9056,0.7349,1.2814,2.6407,2.825
ae128,per_channel_uint6,0.3,ae128/u6/q0.3,3-4,453,1528,192.9804,0.9005,0.5447,0.9117,0.8827,0.9031,2.5386,5.5762,2.827
ae128,per_channel_uint6,0.3,ae128/u6/q0.3,5+,135,792,192.1092,0.8649,0.591,0.8706,0.8593,1.0982,3.5111,8.5852,2.82
ae128,per_channel_uint6,0.3,ae128/u6/q0.3,ALL,2162,3899,192.8457,0.909,0.538,0.9238,0.8833,0.8704,1.4075,3.0467,2.826
ae128,per_channel_uint6,0.5,ae128/u6/q0.5,0,483,0,154.7244,nan,0.0,nan,nan,nan,0.058,0.058,2.478
ae128,per_channel_uint6,0.5,ae128/u6/q0.5,1-2,1091,1579,154.2513,0.936,0.5015,0.9533,0.8921,0.7879,1.3465,2.7012,2.474
ae128,per_channel_uint6,0.5,ae128/u6/q0.5,3-4,453,1528,155.4755,0.9058,0.5356,0.916,0.8895,0.9756,2.649,5.7042,2.485
ae128,per_channel_uint6,0.5,ae128/u6/q0.5,5+,135,792,154.1731,0.8649,0.5875,0.8756,0.8543,1.1836,3.563,8.637,2.473
ae128,per_channel_uint6,0.5,ae128/u6/q0.5,ALL,2162,3899,154.6086,0.9097,0.5274,0.9267,0.8805,0.9375,1.4699,3.1105,2.477
ae128,per_channel_uint6,0.7,ae128/u6/q0.7,0,483,0,107.5298,nan,0.0,nan,nan,nan,0.0559,0.0559,2.048
ae128,per_channel_uint6,0.7,ae128/u6/q0.7,1-2,1091,1579,109.4407,0.9379,0.4953,0.955,0.8944,0.7932,1.3831,2.7406,2.065
ae128,per_channel_uint6,0.7,ae128/u6/q0.7,3-4,453,1528,112.1003,0.9051,0.5373,0.9138,0.8912,0.9804,2.6291,5.6821,2.09
ae128,per_channel_uint6,0.7,ae128/u6/q0.7,5+,135,792,111.0752,0.8649,0.5875,0.8756,0.8543,1.1917,3.563,8.637,2.08
