time,eNB_ID,rnti,rb_id,length
21:24:34.034339,0,3836,4,94
21:24:34.045432,0,3836,4,464
21:24:34.046193,0,3836,4,959
21:24:34.046194,0,3836,4,1208
21:24:34.046503,0,3836,4,304
21:24:34.046503,0,3836,4,1507
21:24:34.046504,0,3836,4,356
21:24:34.050977,0,3836,4,464
21:24:34.051680,0,3836,4,697
21:24:34.051680,0,3836,4,1473
21:24:34.052268,0,3836,4,39
21:24:34.052268,0,3836,4,1507
21:24:34.052269,0,3836,4,621
21:24:34.056619,0,3836,4,464
21:24:34.057388,0,3836,4,432
21:24:34.057389,0,3836,4,1507
21:24:34.057389,0,3836,4,226
21:24:34.057942,0,3836,4,1286
21:24:34.057942,0,3836,4,884
21:24:34.062480,0,3836,4,464
21:24:34.063170,0,3836,4,169
21:24:34.063171,0,3836,4,1507
21:24:34.063171,0,3836,4,491
21:24:34.063774,0,3836,4,1021
21:24:34.063775,0,3836,4,860
21:24:34.068270,0,3836,4,464
21:24:34.069136,0,3836,4,193
21:24:34.069136,0,3836,4,1507
21:24:34.069136,0,3836,4,464
21:24:34.069499,0,3836,4,1048
21:24:34.069499,0,3836,4,1122
21:24:34.074016,0,3836,4,390
21:24:34.074016,0,3836,4,72
21:24:34.074534,0,3836,4,1440
21:24:34.074534,0,3836,4,730
21:24:34.075026,0,3836,4,782
21:24:34.075027,0,3836,4,1388
21:24:34.079745,0,3836,4,124
21:24:34.079746,0,3836,4,337
21:24:34.080351,0,3836,4,1175
21:24:34.080351,0,3836,4,863
21:24:34.081266,0,3836,4,649
21:24:34.081266,0,3836,4,1507
21:24:34.081267,0,3836,4,12
21:24:34.085323,0,3836,4,464
21:24:34.085874,0,3836,4,1041
21:24:34.085874,0,3836,4,1129
21:24:34.086578,0,3836,4,383
21:24:34.086578,0,3836,4,1498
21:24:34.091074,0,3836,4,14
21:24:34.091075,0,3836,4,447
21:24:34.091758,0,3836,4,1065
21:24:34.091758,0,3836,4,877
21:24:34.092222,0,3836,4,635
21:24:34.092222,0,3836,4,1310
21:24:34.096562,0,3836,4,202
21:24:34.096563,0,3836,4,259
21:24:34.097427,0,3836,4,1253
21:24:34.097427,0,3836,4,917
21:24:34.098048,0,3836,4,595
21:24:34.098048,0,3836,4,1507
21:24:34.098048,0,3836,4,66
21:24:34.102229,0,3836,4,464
21:24:34.103050,0,3836,4,987
21:24:34.103050,0,3836,4,1180
21:24:34.103609,0,3836,4,332
