experiment_id,trial_id,frame_id,sim_time_s,elapsed_s,sim_delta_s,tick_wall_s,pacing_sleep_s,pacing_lateness_s,future_decision_slot,ego_x,ego_y,ego_z,ego_yaw_deg,ego_speed_mps,route_index,route_target_index,unwrapped_progress_m,lap_count,wrap_count,cross_track_m,heading_error_deg,return_position_error_m,return_heading_error_deg,throttle,steer,brake,collision_count,stall_s,divergence_s,lap_armed
ue_route_qualification_v1,trial_01,20519,6.18088648840785,0.05000000074505806,0.05000000074505806,0.0017413990572094917,0.04696624539792538,6.876164115965366e-05,0,-3.973867654800415,28.104215621948242,0.2838227450847626,0.15919800102710724,2.446837902069092,0,1,0.0,0,0,0.0687776414426572,0.35034792949820215,0.0,0.0,0.75,0.007785509544404492,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20520,6.230886489152908,0.10000000149011612,0.05000000074505806,0.0008994799572974443,0.04751197947189212,6.4461724832654e-05,1,-3.9705991744995117,28.104223251342773,0.1470574587583542,0.15997859835624695,2.9366294049170687,0,1,0.0,0,0,0.06877909381870213,0.35034792949820215,0.0032684892052833787,0.0007805973291397095,0.75,0.007785509544404492,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20521,6.280886489897966,0.15000000223517418,0.05000000074505806,0.0030116999987512827,0.04792221332900226,6.434251554310322e-05,0,-3.9600913524627686,28.103168487548828,-0.01312002632766962,0.1657012701034546,3.275022789103563,0,1,0.0,0,0,0.06986305038855305,0.34967656440654715,0.013816041276309225,0.006503269076347351,0.75,0.007770590320145492,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20522,6.3308864906430244,0.20000000298023224,0.05000000074505806,0.009915265953168273,0.04598195035941899,0.006829348625615239,1,-3.944051742553711,28.094823837280273,-0.13783246278762817,0.17069128155708313,1.9537212974681653,0,1,0.0,0,0,0.07825223581957859,0.3498097005346353,0.03126010624346393,0.011493280529975891,0.75,0.007773548900769672,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20523,6.3808864913880825,0.2500000037252903,0.05000000074505806,0.006408032961189747,0.032959719421342015,6.078043952584267e-05,0,-3.920719861984253,28.091304779052734,-0.1954549252986908,0.1576678603887558,0.7354780677893208,0,1,0.0,0,0,0.08183611001132977,0.3881735747852909,0.05469348905950486,0.0015301406383514404,0.75,0.008626079439673131,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20524,6.430886492133141,0.30000000447034836,0.05000000074505806,0.001958467997610569,0.04193474561907351,6.226636469364166e-05,1,-3.886850118637085,28.09237289428711,-0.1953839808702469,0.16898123919963837,0.7414939705160201,0,1,0.0,0,0,0.08086210876712693,0.4203711125358011,0.08781971190110008,0.009783238172531128,0.75,0.009341580278573357,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20525,6.480886492878199,0.3500000052154064,0.05000000074505806,0.0019024971406906843,0.047114386688917875,6.841938011348248e-05,0,-3.8470852375030518,28.093040466308594,-0.17421969771385193,0.17363613843917847,0.9922423376598795,0,1,0.0,0,0,0.08030502931469938,0.4053289694250514,0.1272739778561711,0.014438137412071228,0.75,0.009007310431667808,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20526,6.530886493623257,0.4000000059604645,0.05000000074505806,0.003382432973012328,0.0466118345502764,6.476626731455326e-05,1,-3.8004753589630127,28.09374237060547,-0.1468709111213684,0.1741730123758316,1.1380148140452233,0,1,0.0,0,0,0.07973263710756189,0.399288450769338,0.1737083108243649,0.014975011348724365,0.75,0.008873076683763066,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20527,6.580886494368315,0.45000000670552254,0.05000000074505806,0.0011580241844058037,0.046014489606022835,0.0016781012527644634,0,-3.7463932037353516,28.094411849975586,-0.1222156509757042,0.17363722622394562,1.2332770623697313,0,1,0.0,0,0,0.07921343203722932,0.3975316397693209,0.2276856162172828,0.014439225196838379,0.75,0.008834036439318241,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20528,6.630886495113373,0.5000000074505806,0.05000000074505806,0.003877615090459585,0.04499172465875745,7.585622370243073e-05,1,-3.68460750579834,28.095001220703125,-0.10434441268444061,0.173587828874588,1.3352434169383098,0,1,0.0,0,0,0.07879574022710208,0.39739252591705065,0.28940687447088875,0.014389827847480774,0.75,0.008830945020378903,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20529,6.680886495858431,0.5500000081956387,0.05000000074505806,0.004514113999903202,0.04286042181774974,6.785918958485126e-05,0,-3.6151113510131836,28.09549331665039,-0.09393048286437988,0.1742846816778183,1.461634425768756,0,1,0.0,0,0,0.07849674696011906,0.39758008462608607,0.35886231916542205,0.01508668065071106,0.75,0.008835112991690802,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20530,6.730886496603489,0.6000000089406967,0.05000000074505806,0.0012865951284766197,0.04370157280936837,0.00021298113279044628,1,-3.537982702255249,28.095901489257812,-0.08969613909721375,0.17546004056930542,1.6052901721222725,0,1,0.0,0,0,0.0783028842211259,0.39793926746395597,0.43596423781968136,0.01626203954219818,0.75,0.008843094832532355,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20531,6.780886497348547,0.6500000096857548,0.05000000074505806,0.0009954629931598902,0.0476697979029268,6.237602792680264e-05,0,-3.4533002376556396,28.096256256103516,-0.08961128443479538,0.17676590383052826,1.7555168944240955,0,1,0.0,0,0,0.07818341593614918,0.3986828892948241,0.5206282621001599,0.01756790280342102,0.75,0.008859619762107203,0.0,0,0.0,0.0,0
ue_route_qualification_v1,trial_01,20532,6.830886498093605,0.7000000104308128,0.05000000074505806,0.0015135400462895632,0.04774295981042087,6.69742003083229e-05,1,-3.3611114025115967,28.096599578857422,-0.09168845415115356,0.17798908054828644,1.9065463296404674,0,1,0.0,0,0,0.07809624876659177,0.40001444502176575,0.6128035809551045,0.0187910795211792,0.75,0.008889209889372572,0.0,0,0.0,0.0,0
