purpose,noise_power_db,command,send_monotonic_ns,send_wall_ns,ack_monotonic_ns,ack_wall_ns,ack_latency_ms,response_sha256,post_state_sha256,status
CALIBRATION_ANCHOR,-13.0,channelmod modify 2 noise_power_dB -13,5211486245936810,1788573902935241233,5211486246036494,1788573902935340270,0.099684,216670f2e80a81aa56aa5c7f86019a9aebcbf993fec0f57d960c56968f51e232,2971dc74c4229bfcae9f64656a04053e6b87b11a1cdb7fed01db88a2f6f51e5a,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-12.0,channelmod modify 2 noise_power_dB -12,5211494289856694,1788573910979161234,5211494289968147,1788573910979271933,0.111453,68b95d2b1865e2b55188e5449d7a7638de3eccd1f51d53fbf6eb3da71069f93a,f26edfe4892ed9d7cf0ea5632705dfa7e84c0180c4c1af58aebfb04b6d8a799b,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-11.0,channelmod modify 2 noise_power_dB -11,5211502334906011,1788573919024210142,5211502335236748,1788573919024540689,0.330737,1004fa5190fe934d94cde07f0e93420fd1da8c463a894f7296cb00ab30c79275,d9ef2c66c611fe0ec1f95c489686dcc5dcc6237ceb46984422a883bb2247b47f,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-10.0,channelmod modify 2 noise_power_dB -10,5211510382137276,1788573927071441676,5211510382296553,1788573927071600528,0.159277,8d0dc39b0fb5a3d33d11b4d1f063eae576ad26f339d7db5ca76d1faa67b65257,15288419f6c26e9a729cbedf9ffd51df1898f7be2b1a737c26a6a5c96ebffac7,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-9.0,channelmod modify 2 noise_power_dB -9,5211518429797692,1788573935119101793,5211518429965908,1788573935119269693,0.168216,bf9c1f5e96a16ae69b68ef6773bd828d644c963fdc5b93abbc62c7c481120723,7ff1f38fcb99e328042e9b4cdfeb1e7c1e4068bdef3e2d303b9322530d98f320,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-8.0,channelmod modify 2 noise_power_dB -8,5211526479386591,1788573943168691013,5211526479623766,1788573943168927585,0.237175,6134782bbf2c18f2f97ecec2715e90d9cd29920e78bc7f4986368527925cc031,8b5457ee9c03d88e970297eafd148472588ab5f476a38915e1757f4e91b15c7b,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-7.0,channelmod modify 2 noise_power_dB -7,5211534539755022,1788573951229059596,5211534540016259,1788573951229320038,0.261237,5aaf07646c77e6985895e03f84183174afcd7a3dfab323438417496966f840b2,140409dad62ebdce9a0d774dff4752916f9063b8890dd51884e42775b277bce8,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-6.0,channelmod modify 2 noise_power_dB -6,5211542605798913,1788573959295103089,5211542605921950,1788573959295225700,0.123037,2202ed51409719428343aaad64fa1d7b4b589ea2e2a89fe4401659d730bebdee,500d9eed8fa604d40e8fb3bf25ef71302ddc68535e5dbafdff5ef102bde0dce7,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-5.0,channelmod modify 2 noise_power_dB -5,5211550663294112,1788573967352598564,5211550663575854,1788573967352879762,0.281742,4cdb9939e0542c63cb904aa604e66b61b1df32986ee4b6b7019f17f8c979eee6,67e9a590de18a27d8b8aea13648bc900bf511c6d35ddfb702dd60bf88a5d60f7,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-4.0,channelmod modify 2 noise_power_dB -4,5211558723421681,1788573975412725516,5211558723538481,1788573975412842237,0.1168,2a59b1671d31c766f9aa2546c0e97ba8e20c9d7b4830c45445eda44521b89f9d,bf3a0ec53ec5cb8f429f4be11b00206c9b77b870eb63cc681a534a6d132f98b5,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-3.0,channelmod modify 2 noise_power_dB -3,5211566817864845,1788573983507168907,5211566818026110,1788573983507329850,0.161265,902f4cbc2a48c91f20d371eeac1b327a3459287cd5aad846362544224236900a,4568f28b43df5fa85687f4018b3b02448d9615ac90354dddd1b89c4fb3b0fd7d,ACK_AND_POST_STATE_VALIDATED
CALIBRATION_ANCHOR,-2.0,channelmod modify 2 noise_power_dB -2,5211574880397405,1788573991569701908,5211574880546595,1788573991569850377,0.14919,1fbeb158c4d3778066da927b11c277099b293c6b796baeb05b454b4804f5cac9,b4fe243831570f7ee0d3dc200e249dee3467d36f18fcef7db733fc3ad1f95ebc,ACK_AND_POST_STATE_VALIDATED
MANDATORY_CLEAN_RESTORE,-50.0,channelmod modify 2 noise_power_dB -50,5211582987347200,1788573999676651826,5211582987448906,1788573999676752698,0.101706,556ceeae93bb93ad2f1bba6c67c280742f9183212fa97aed333e26288d50d9d1,13aeb77640c2aca974ff9562e5763472d2005e23a4977c4f2b80b831f270f1f4,ACK_AND_POST_STATE_VALIDATED
