condition,sent_frames,processed_frames,delivery_pct,actual_send_fps,uplink_payload_p50_kib,uplink_payload_p95_kib,uplink_chunks_p50,sensor_prep_p50_ms,sensor_prep_p95_ms,front_model_p50_ms,front_model_p95_ms,serialize_p50_ms,serialize_p95_ms,send_call_p50_ms,send_call_p95_ms,uplink_transport_p50_ms,uplink_transport_p95_ms,edge_queue_p50_ms,edge_queue_p95_ms,tail_p50_ms,tail_p95_ms,capture_to_tail_p50_ms,capture_to_tail_p95_ms,capture_to_map_plus30_p50_ms,capture_to_map_plus30_p95_ms,backbone_to_tail_p50_ms,backbone_to_tail_p95_ms,sync_tick_p50_ms,camera_wait_p50_ms,udp_partial_messages_last,edge_queue_drops_last
Ideal loopback,179.0,179.0,100.0,7.2226716196296925,1048.041015625,1056.0869140625,18.0,29.495805996702984,59.91764739737846,21.067933994345367,29.695143105345778,0.8406389970332384,2.4445804010611023,6.057127000531182,10.654829823761245,1.677138003287837,5.529564400785601,0.0443070020992308,1.719586178660386,7.535393990110606,20.3967220179038,72.23456699284725,133.43979209021197,102.23456699284725,163.43979209021197,24.04059801483527,53.273330908268676,71.59919201512821,33.08814001502469,0.0,0.0
OAI default 106PRB,1299.0,1239.0,95.3810623556582,7.076361805864499,1048.8984375,1072.05693359375,18.0,36.52930702082813,95.75449321710039,24.09712297958322,52.09280361596016,0.8592219965066761,3.6389589076861735,6.386876018950716,14.994470312376503,65.61226400663145,99.1336949024116,0.0562120112590491,0.2827565156621817,10.58272400405258,19.888601393904526,154.75959499599412,247.1808052127016,184.75959499599412,277.1808052127016,93.93793900380842,142.24467510648532,55.30694499611855,37.34860100666992,59.0,0.0
