time,mono_sec,mono_nsec,ue_id,rb_id,sdu_bytes
20:05:15.968126,891361,31671380,1,1,1501
20:05:15.968137,891361,31681870,1,1,1501
20:05:15.968138,891361,31683812,1,1,1501
20:05:15.968140,891361,31685534,1,1,1501
20:05:15.968142,891361,31687031,1,1,1501
20:05:15.968143,891361,31688581,1,1,1501
20:05:15.968145,891361,31689888,1,1,1501
20:05:15.968146,891361,31691355,1,1,1501
20:05:15.968148,891361,31692898,1,1,1501
20:05:15.968149,891361,31694099,1,1,1501
20:05:15.968150,891361,31695277,1,1,1501
20:05:15.968151,891361,31696653,1,1,1501
20:05:15.968153,891361,31697907,1,1,1501
20:05:15.968154,891361,31699169,1,1,1501
20:05:15.968155,891361,31700248,1,1,1501
20:05:15.968156,891361,31701606,1,1,1501
20:05:15.968158,891361,31703168,1,1,1501
20:05:15.968159,891361,31704288,1,1,1501
20:05:15.968160,891361,31705449,1,1,1501
20:05:15.968161,891361,31706668,1,1,1501
20:05:15.968163,891361,31707884,1,1,1501
20:05:15.968164,891361,31709066,1,1,1501
20:05:15.968165,891361,31710532,1,1,1501
20:05:15.968167,891361,31712447,1,1,1501
20:05:15.968169,891361,31714050,1,1,1501
20:05:15.968170,891361,31715479,1,1,1501
20:05:15.968171,891361,31716628,1,1,1501
20:05:15.968173,891361,31718067,1,1,1501
20:05:15.968174,891361,31719490,1,1,1501
20:05:15.968176,891361,31720844,1,1,1501
20:05:15.968177,891361,31722414,1,1,1501
20:05:15.968179,891361,31724038,1,1,1501
20:05:15.968180,891361,31725386,1,1,1501
20:05:15.968181,891361,31726692,1,1,1501
20:05:15.968183,891361,31728136,1,1,1501
20:05:15.968184,891361,31729581,1,1,1501
20:05:15.968186,891361,31730953,1,1,1501
20:05:15.968187,891361,31732397,1,1,1501
20:05:15.968188,891361,31733668,1,1,1501
20:05:15.968190,891361,31734910,1,1,1501
20:05:15.968191,891361,31736214,1,1,829
20:05:15.968192,891361,31737477,1,1,1501
20:05:15.968194,891361,31739608,1,1,1501
20:05:15.968196,891361,31741222,1,1,1501
20:05:15.968197,891361,31742621,1,1,1501
20:05:15.968199,891361,31743945,1,1,1501
20:05:15.968200,891361,31745267,1,1,1501
20:05:15.968202,891361,31747003,1,1,1501
20:05:15.968203,891361,31748426,1,1,1501
20:05:15.968204,891361,31749656,1,1,1501
20:05:15.968206,891361,31751463,1,1,1501
20:05:15.968208,891361,31752840,1,1,1501
20:05:15.968209,891361,31754176,1,1,1501
20:05:15.968210,891361,31755607,1,1,1501
20:05:15.968212,891361,31756959,1,1,1501
20:05:15.968213,891361,31758241,1,1,1501
20:05:15.968214,891361,31759438,1,1,1501
20:05:15.968216,891361,31761620,1,1,1501
20:05:15.968218,891361,31762987,1,1,1501
20:05:15.968219,891361,31764415,1,1,1501
20:05:15.968220,891361,31765803,1,1,1501
20:05:15.968222,891361,31767127,1,1,1501
20:05:15.968223,891361,31768585,1,1,1501
20:05:15.968225,891361,31770180,1,1,1501
20:05:15.968226,891361,31771372,1,1,1501
20:05:15.968227,891361,31772613,1,1,1501
20:05:15.968229,891361,31773839,1,1,1501
20:05:15.968230,891361,31774910,1,1,1501
20:05:15.968230,891361,31775731,1,1,1501
20:05:15.968231,891361,31776564,1,1,1501
20:05:15.968232,891361,31777137,1,1,1501
20:05:15.968232,891361,31777682,1,1,1501
20:05:15.968233,891361,31778453,1,1,1501
20:05:15.968234,891361,31779064,1,1,1501
20:05:15.968234,891361,31779671,1,1,1501
20:05:15.968235,891361,31780322,1,1,1501
20:05:15.968236,891361,31781014,1,1,1501
20:05:15.968236,891361,31781650,1,1,1501
20:05:15.968237,891361,31782413,1,1,1501
20:05:15.968238,891361,31783032,1,1,1501
20:05:15.968238,891361,31783565,1,1,1501
20:05:15.968239,891361,31784170,1,1,829
20:05:15.968239,891361,31784805,1,1,1501
20:05:15.968241,891361,31786021,1,1,1501
20:05:15.968241,891361,31786796,1,1,1501
20:05:15.968242,891361,31787497,1,1,1501
20:05:15.968243,891361,31788061,1,1,1501
20:05:15.968243,891361,31788631,1,1,1501
20:05:15.968244,891361,31789322,1,1,1501
20:05:15.968245,891361,31789916,1,1,1501
20:05:15.968245,891361,31790466,1,1,1501
20:05:15.968246,891361,31791154,1,1,1501
20:05:15.968246,891361,31791843,1,1,1501
20:05:15.968247,891361,31792546,1,1,1501
