wall_time_iso,elapsed_s,run_id,run_group,stream_id,transport_label,role,frame_id,carla_timestamp,result_received,front_ms,back_ms,round_trip_ms,transport_round_trip_ms_estimate,total_pipeline_ms_estimate,feature_payload_bytes,feature_payload_bytes_uncompressed,feature_payload_chunks,result_payload_bytes_estimate,result_payload_chunks_estimate,mask_present,segmentation_class_count,gt_camera_available,miou_binary,miou_3class_macro,miou_vehicle_iou,miou_person_iou,gt_vehicle_pixels,gt_person_pixels,object_count,radar_projected_points,ego_speed_mps,tracked_target_actor_id,tracked_target_speed_mps,tracked_gap_m,diagnostic_target_actor_id,diagnostic_target_forward_m,diagnostic_target_lateral_m,diagnostic_target_radar_points,spatial_map_enabled,spatial_map_dropped_packets,bind_host,remote_host,camera_source_port,remote_port,remote_source_port,camera_result_port,camera_width,camera_height,model_input_width,model_input_height,quantization_mode,entropy_coder
2026-07-16T21:48:45.991,6.095155603019521,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56254,823.3184074459132,True,856.7767239874229,9.54266102053225,44.356330996379256,34.813669975847006,901.1330549838021,1128193,2903040,19,5417,1,True,3,0,nan,nan,nan,nan,0,0,7,18555,2.133374563991068,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:46.261,6.365959598915651,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56255,823.4184074474033,True,38.40302210301161,9.39512299373746,41.83573601767421,32.44061302393675,80.23875812068582,1121677,2903040,19,5468,1,True,3,0,nan,nan,nan,nan,0,0,6,18540,2.5215312500520386,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:46.579,6.684340031002648,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56256,823.5184074488934,True,39.71436701249331,6.4587489468976855,38.90561102889478,32.4468620819971,78.6199780413881,1115732,2903040,19,4868,1,True,3,0,nan,nan,nan,nan,0,0,6,18583,2.906817169045347,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:46.842,6.946995583944954,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56257,823.6184074503835,True,32.557875965721905,6.556854001246393,39.006865001283586,32.45001100003719,71.56474096700549,1109648,2903040,19,4893,1,True,3,0,nan,nan,nan,nan,0,0,6,18613,3.295161979979277,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:47.158,7.262409733957611,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56258,823.7184074518736,True,44.92025705985725,7.364211953245103,42.40859404671937,35.04438209347427,87.32885110657662,1111928,2903040,19,4608,1,True,3,0,nan,nan,nan,nan,0,0,6,18687,3.299323069634564,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:47.423,7.528125976910815,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56259,823.8184074533638,True,51.754826912656426,6.766876904293895,39.27176003344357,32.504883129149675,91.0265869461,1109136,2903040,19,4433,1,True,3,0,nan,nan,nan,nan,0,0,5,18802,3.3073793704288486,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:47.671,7.776127795921639,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56260,823.9184074548539,True,41.40624206047505,11.377456947229803,44.257533038035035,32.88007609080523,85.66377509851009,1109321,2903040,19,4757,1,True,3,0,nan,nan,nan,nan,0,0,6,18806,3.311965533564889,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:47.934,8.038414443959482,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56261,824.018407456344,True,50.37826509214938,6.621741922572255,39.41572899930179,32.793987076729536,89.79399409145117,1111868,2903040,19,4775,1,True,3,0,nan,nan,nan,nan,0,0,7,18771,3.314910808469677,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:48.205,8.30959121498745,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56262,824.1184074578341,True,51.178085966967046,6.953194970265031,43.285172898322344,36.33197792805731,94.46325886528939,1103398,2903040,19,4932,1,True,3,0,nan,nan,nan,nan,0,0,8,18767,3.317009790724453,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T21:48:48.460,8.565233815927058,20260716_214839_front_fusion_ego_117,ctrl_obeylight_200k,fusion_ego_117,front,front,56263,824.2184074593242,True,43.026700033806264,7.045883103273809,39.25321903079748,32.20733592752367,82.27991906460375,1103496,2903040,19,4832,1,True,3,0,nan,nan,nan,nan,0,0,7,18799,3.320218791847835,,nan,nan,,nan,nan,0,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
