cell_id,varied_knob,varied_value,w_error,lambda_prb,w_task,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct,mean_expected_task_utility,mean_expected_localization_m,selected_action_changes_vs_baseline,raw_safe_set_changes_vs_baseline,selected_action_changes_vs_baseline_pct
baseline,baseline,0.0,0.05,1.0,1.0,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100750867387896,5.083893544192889e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.31891509738487056,0.31891509738487056,-6547.483343535592,-14.276305181107368,0.4395642645681688,1698,0.02755717569250955,0.00683308525010368,28.72277810476751,26.603884638022368,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5538077187080712,7.441151786381265,0,0,0.0
w_error_low,w_error,0.025,0.025,1.0,1.0,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100750867387896,5.083893544192889e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.4119294947146364,0.4119294947146364,-3273.466647000577,-6.885464943304215,0.47315529167509274,1698,0.02755717569250955,0.006860700593666201,28.72277810476751,26.603884638022368,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5538077187080712,7.441151786381265,0,0,0.0
w_error_high,w_error,0.1,0.1,1.0,1.0,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100750867387896,5.083893544192889e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.13288630272533897,0.13288630272533897,-13095.516736605625,-29.057985656713672,0.37238221035432123,1698,0.02755717569250955,0.00677785456297864,28.72277810476751,26.603884638022368,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5538077187080712,7.441151786381265,0,0,0.0
lambda_prb_low,lambda_prb,0.5,0.05,0.5,1.0,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100723776351725,5.2407231650934404e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.3327586668200952,0.3327586668200952,-6547.46997801186,-14.262939657374679,0.4525187479914656,1698,0.02767126940581251,0.005882465766172666,28.72277810476751,26.72160094173043,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5539291469612078,7.44112777868187,3,0,0.17657445556209536
lambda_prb_high,lambda_prb,2.0,0.05,2.0,1.0,shielded,1699,5.826957033549147,94.17304296645085,4.355503237198352,56.56268393172454,0.0,47.14537963507946,69.09947027663331,11.88934667451442,0.0,24.249558563861097,25.721012360211887,0,15,0.0,0.0,20.388330103584863,412,983,41.91251271617497,38.86534520683164,45.0226442388074,437,1175,37.191489361702125,34.473914172279905,39.99254204642837,8.10125818863579,5.789626838245373e-17,7.105427357601002e-15,1000000.0,11.984326051002343,0.2872730746505831,0.2872730746505831,-6547.515972012981,-14.307037575509083,0.409385105267059,1698,0.026068006308229138,0.009760446520042298,28.72277810476751,26.486168334314304,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5488208027312617,7.441801167126787,17,1,1.0005885815185402
w_task_low,w_task,0.5,0.05,1.0,0.5,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100750867387896,5.083893544192889e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.04201123803083495,0.04201123803083495,-6547.78231524966,-14.552939775205665,0.16276675256992915,1698,0.02755717569250955,0.006367245192515131,28.72277810476751,26.545026486168332,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5538077187080712,7.441151786381265,0,0,0.0
w_task_high,w_task,2.0,0.05,1.0,2.0,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100723776351725,5.2407231650934404e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.8728521790783966,0.8728521790783966,-6546.885256352547,-13.722892238001917,0.993303128134814,1698,0.02767126940581251,0.00822637760224795,28.72277810476751,27.781047675103004,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.5539291469612078,7.44112777868187,3,0,0.17657445556209536
