profile_id,profile_source,payload_kib,payload_bytes,onwire_bytes,protocol_overhead_bytes,ue_count,rung,mcs,measured_cell_ceiling_mbps,share_envelope,share_mbps,deadline_s,target_fps,onwire_offered_mbps_per_ue,c1_rate_budget_mbps_per_ue,rate_feasible,nonnetwork_p95_ms,serialization_ms,queue_free_p95_ms,latency_necessary_feasible,joint_necessary_feasible,queue_sufficiency_claimed
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.25,2,0.809952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.25,2,0.809952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.25,2,0.809952,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.25,5,2.02488,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.25,5,2.02488,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.25,5,2.02488,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.25,10,4.04976,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.25,10,4.04976,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.25,10,4.04976,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.25,15,6.07464,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.25,15,6.07464,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.25,15,6.07464,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.25,20,8.09952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.25,20,8.09952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.25,20,8.09952,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.5,2,0.809952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.5,2,0.809952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.5,2,0.809952,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.5,5,2.02488,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.5,5,2.02488,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.5,5,2.02488,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.5,10,4.04976,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.5,10,4.04976,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.5,10,4.04976,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.5,15,6.07464,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.5,15,6.07464,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.5,15,6.07464,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,whole_cell_optimistic,36.7,0.5,20,8.09952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_raw,36.7,0.5,20,8.09952,25.69,True,125.61,11.034768392370571,136.64476839237057,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,clear,28,36.7,equal_c1,25.69,0.5,20,8.09952,25.69,True,125.61,15.763954846243676,141.37395484624366,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,whole_cell_optimistic,27.8,0.25,2,0.809952,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_raw,27.8,0.25,2,0.809952,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_c1,19.46,0.25,2,0.809952,19.46,True,125.61,20.810688591983556,146.42068859198355,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,whole_cell_optimistic,27.8,0.25,5,2.02488,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_raw,27.8,0.25,5,2.02488,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_c1,19.46,0.25,5,2.02488,19.46,True,125.61,20.810688591983556,146.42068859198355,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,whole_cell_optimistic,27.8,0.25,10,4.04976,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_raw,27.8,0.25,10,4.04976,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_c1,19.46,0.25,10,4.04976,19.46,True,125.61,20.810688591983556,146.42068859198355,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,whole_cell_optimistic,27.8,0.25,15,6.07464,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_raw,27.8,0.25,15,6.07464,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,equal_c1,19.46,0.25,15,6.07464,19.46,True,125.61,20.810688591983556,146.42068859198355,True,True,False
ae32__uint4__roi0.5,measured_catalog,49.4,50586,50622,36,1,mild,24,27.8,whole_cell_optimistic,27.8,0.25,20,8.09952,19.46,True,125.61,14.56748201438849,140.1774820143885,True,True,False
