profile,family,quantizer,bit_width,q,q_e4,keep_count,zstd_level,frames,exact_round_trips,pre_zstd_median_bytes,pre_zstd_p95_bytes,compressed_median_bytes,compressed_p95_bytes,compressed_to_pre_zstd_ratio,compressed_ratio_relative_to_level1,compression_median_ms,compression_p95_ms,decompression_median_ms,decompression_p95_ms,compression_median_MBps,decompression_median_MBps
AE64_UINT6_q03000,AE64,UINT6,6,0.30,3000,15053,1,128,128,725796.0,725796.0,682968.0,686541.3,0.93870548,1.00000000,0.520361,0.650648,0.430297,0.499446,1394.796,1686.731
AE64_UINT6_q03000,AE64,UINT6,6,0.30,3000,15053,3,128,128,725796.0,725796.0,681853.0,686492.2,0.93449897,0.99551883,0.820719,1.074510,0.436850,0.505978,884.343,1661.429
AE64_UINT6_q03000,AE64,UINT6,6,0.30,3000,15053,5,128,128,725796.0,725796.0,681475.5,686016.9,0.93366841,0.99463403,1.033919,1.796882,0.433899,0.498938,702.033,1672.729
AE64_UINT6_q05000,AE64,UINT6,6,0.50,5000,10752,1,128,128,519348.0,519348.0,490752.5,493317.8,0.94418234,1.00000000,0.355173,0.424252,0.307517,0.355071,1462.240,1688.843
AE64_UINT6_q05000,AE64,UINT6,6,0.50,5000,10752,3,128,128,519348.0,519348.0,490429.0,492973.3,0.94237634,0.99808723,0.532438,0.718695,0.311176,0.358269,975.415,1668.985
AE64_UINT6_q05000,AE64,UINT6,6,0.50,5000,10752,5,128,128,519348.0,519348.0,490068.0,492807.0,0.94176660,0.99744145,0.569072,1.090895,0.309799,0.354568,912.623,1676.403
AE64_UINT6_q07000,AE64,UINT6,6,0.70,7000,6451,1,128,128,312900.0,312900.0,296390.0,297666.0,0.94653416,1.00000000,0.217194,0.269541,0.186128,0.214323,1440.651,1681.106
AE64_UINT6_q07000,AE64,UINT6,6,0.70,7000,6451,3,128,128,312900.0,312900.0,296365.0,297710.6,0.94674659,1.00022443,0.270018,0.337584,0.185392,0.213690,1158.814,1687.771
AE64_UINT6_q07000,AE64,UINT6,6,0.70,7000,6451,5,128,128,312900.0,312900.0,296297.5,297583.9,0.94500464,0.99838409,0.319781,0.511314,0.186922,0.212623,978.503,1673.956
AE64_UINT6_q09000,AE64,UINT6,6,0.90,9000,2150,1,128,128,106452.0,106452.0,100031.5,100377.0,0.93971784,1.00000000,0.078157,0.089183,0.066293,0.077538,1362.037,1605.793
AE64_UINT6_q09000,AE64,UINT6,6,0.90,9000,2150,3,128,128,106452.0,106452.0,99992.5,100361.6,0.93938355,0.99964426,0.087052,0.110246,0.065256,0.077740,1222.857,1631.298
AE64_UINT6_q09000,AE64,UINT6,6,0.90,9000,2150,5,128,128,106452.0,106452.0,99956.5,100279.0,0.93894740,0.99918013,0.103377,0.133390,0.065266,0.075664,1029.741,1631.061
AE64_UINT6_q09800,AE64,UINT6,6,0.98,9800,430,1,128,128,23892.0,23892.0,20788.5,20863.0,0.86998623,1.00000000,0.024487,0.028546,0.016772,0.019926,975.682,1424.482
AE64_UINT6_q09800,AE64,UINT6,6,0.98,9800,430,3,128,128,23892.0,23892.0,20773.5,20850.6,0.86944048,0.99937269,0.027772,0.038097,0.016058,0.018151,860.277,1487.857
AE64_UINT6_q09800,AE64,UINT6,6,0.98,9800,430,5,128,128,23892.0,23892.0,20760.5,20837.9,0.86903730,0.99890926,0.037656,0.054353,0.015895,0.018859,634.481,1503.073
AE64_UINT4_q00000,AE64,UINT4,4,0.00,0,21504,1,128,128,688692.0,688692.0,474797.5,508154.2,0.68235384,1.00000000,0.786480,0.990225,0.423561,0.488437,875.664,1625.959
AE64_UINT4_q00000,AE64,UINT4,4,0.00,0,21504,3,128,128,688692.0,688692.0,460811.0,500773.8,0.66491432,0.97444211,1.465953,1.809787,0.450743,0.508979,469.791,1527.904
AE64_UINT4_q00000,AE64,UINT4,4,0.00,0,21504,5,128,128,688692.0,688692.0,456319.5,498431.7,0.65836014,0.96483686,3.363743,4.354906,0.449984,0.523444,204.740,1530.483
AE64_UINT4_q03000,AE64,UINT4,4,0.30,3000,15053,1,128,128,484948.0,484948.0,358459.0,368122.0,0.73271289,1.00000000,0.459851,0.624860,0.295669,0.335023,1054.578,1640.176
AE64_UINT4_q03000,AE64,UINT4,4,0.30,3000,15053,3,128,128,484948.0,484948.0,353604.0,365810.7,0.72472725,0.98910128,0.808796,1.130583,0.303934,0.348065,599.594,1595.578
AE64_UINT4_q03000,AE64,UINT4,4,0.30,3000,15053,5,128,128,484948.0,484948.0,352599.0,364641.5,0.72063567,0.98351713,1.592072,2.671272,0.310416,0.346104,304.602,1562.253
AE64_UINT4_q05000,AE64,UINT4,4,0.50,5000,10752,1,128,128,347316.0,347316.0,262209.0,267568.1,0.75176397,1.00000000,0.317852,0.413099,0.211530,0.237019,1092.699,1641.924
AE64_UINT4_q05000,AE64,UINT4,4,0.50,5000,10752,3,128,128,347316.0,347316.0,259863.5,265720.8,0.74553365,0.99171240,0.464527,0.626903,0.216463,0.246771,747.678,1604.505
AE64_UINT4_q05000,AE64,UINT4,4,0.50,5000,10752,5,128,128,347316.0,347316.0,259235.0,266193.2,0.74393562,0.98958668,0.827669,1.304311,0.217166,0.244041,419.632,1599.312
AE64_UINT4_q07000,AE64,UINT4,4,0.70,7000,6451,1,128,128,209684.0,209684.0,162064.0,164566.5,0.77079770,1.00000000,0.141400,0.176551,0.127987,0.139192,1482.919,1638.323
AE64_UINT4_q07000,AE64,UINT4,4,0.70,7000,6451,3,128,128,209684.0,209684.0,161346.5,164157.2,0.76685472,0.99488454,0.225353,0.481656,0.132386,0.151444,930.473,1583.880
AE64_UINT4_q07000,AE64,UINT4,4,0.70,7000,6451,5,128,128,209684.0,209684.0,161890.5,164517.1,0.76862669,0.99718342,0.200163,0.592871,0.128097,0.141133,1047.632,1636.916
AE64_UINT4_q09000,AE64,UINT4,4,0.90,9000,2150,1,128,128,72052.0,72052.0,55908.5,56593.6,0.77565920,1.00000000,0.056608,0.066585,0.047757,0.053641,1272.813,1508.737
AE64_UINT4_q09000,AE64,UINT4,4,0.90,9000,2150,3,128,128,72052.0,72052.0,55858.5,56576.9,0.77517626,0.99937738,0.060718,0.083301,0.046920,0.053078,1186.676,1535.652
AE64_UINT4_q09000,AE64,UINT4,4,0.90,9000,2150,5,128,128,72052.0,72052.0,55805.5,56494.2,0.77455345,0.99857443,0.072841,0.110592,0.046589,0.052695,989.168,1546.546
AE64_UINT4_q09800,AE64,UINT4,4,0.98,9800,430,1,128,128,17012.0,17012.0,12126.5,12281.2,0.71257054,1.00000000,0.020363,0.024220,0.013022,0.015389,835.438,1306.405
AE64_UINT4_q09800,AE64,UINT4,4,0.98,9800,430,3,128,128,17012.0,17012.0,12115.0,12267.3,0.71182336,0.99895144,0.022891,0.032110,0.012237,0.013959,743.158,1390.267
AE64_UINT4_q09800,AE64,UINT4,4,0.98,9800,430,5,128,128,17012.0,17012.0,12101.5,12256.6,0.71125483,0.99815358,0.029681,0.044394,0.011899,0.014267,573.161,1429.700
AE32_UINT8_q00000,AE32,UINT8,8,0.00,0,21504,1,128,128,688434.0,688434.0,601569.5,608314.4,0.87308144,1.00000000,0.446217,0.486068,0.433862,0.485457,1542.823,1586.758
AE32_UINT8_q00000,AE32,UINT8,8,0.00,0,21504,3,128,128,688434.0,688434.0,599236.0,606898.4,0.86948050,0.99587560,0.514993,0.677535,0.431910,0.481192,1336.782,1593.931
AE32_UINT8_q00000,AE32,UINT8,8,0.00,0,21504,5,128,128,688434.0,688434.0,598692.0,607009.7,0.86859834,0.99486521,0.696206,1.363718,0.431549,0.477267,988.839,1595.265
AE32_UINT8_q03000,AE32,UINT8,8,0.30,3000,15053,1,128,128,484690.0,484690.0,427946.5,431425.7,0.88282686,1.00000000,0.338426,0.378513,0.300532,0.352437,1432.190,1612.771
AE32_UINT8_q03000,AE32,UINT8,8,0.30,3000,15053,3,128,128,484690.0,484690.0,427841.0,431238.5,0.88258452,0.99972549,0.392780,0.466580,0.297173,0.333559,1233.999,1631.006
AE32_UINT8_q03000,AE32,UINT8,8,0.30,3000,15053,5,128,128,484690.0,484690.0,427763.5,431209.8,0.88250499,0.99963541,0.463388,0.600772,0.297079,0.338010,1045.973,1631.522
AE32_UINT8_q05000,AE32,UINT8,8,0.50,5000,10752,1,128,128,347058.0,347058.0,308023.5,310991.3,0.88797743,1.00000000,0.231027,0.268511,0.208677,0.244124,1502.237,1663.140
AE32_UINT8_q05000,AE32,UINT8,8,0.50,5000,10752,3,128,128,347058.0,347058.0,307881.5,310868.2,0.88762005,0.99959754,0.264404,0.340944,0.207646,0.240652,1312.610,1671.393
AE32_UINT8_q05000,AE32,UINT8,8,0.50,5000,10752,5,128,128,347058.0,347058.0,307858.5,310858.2,0.88753539,0.99950219,0.318416,0.445508,0.207222,0.239261,1089.954,1674.813
AE32_UINT8_q07000,AE32,UINT8,8,0.70,7000,6451,1,128,128,209426.0,209426.0,186671.5,188247.0,0.89164259,1.00000000,0.140652,0.167725,0.128061,0.147732,1488.971,1635.361
AE32_UINT8_q07000,AE32,UINT8,8,0.70,7000,6451,3,128,128,209426.0,209426.0,186558.0,188150.5,0.89100875,0.99928913,0.156299,0.211390,0.125777,0.145183,1339.911,1665.051
AE32_UINT8_q07000,AE32,UINT8,8,0.70,7000,6451,5,128,128,209426.0,209426.0,186606.5,188172.4,0.89120896,0.99951368,0.192373,0.260904,0.125445,0.144996,1088.646,1669.465
AE32_UINT8_q09000,AE32,UINT8,8,0.90,9000,2150,1,128,128,71794.0,71794.0,63414.0,63791.0,0.88257887,1.00000000,0.057105,0.063701,0.046469,0.053537,1257.228,1544.970
AE32_UINT8_q09000,AE32,UINT8,8,0.90,9000,2150,3,128,128,71794.0,71794.0,63369.0,63761.6,0.88212749,0.99948857,0.061564,0.077968,0.045336,0.051576,1166.169,1583.598
AE32_UINT8_q09000,AE32,UINT8,8,0.90,9000,2150,5,128,128,71794.0,71794.0,63325.5,63708.6,0.88154139,0.99882450,0.074253,0.101292,0.044964,0.051587,966.884,1596.700
AE32_UINT8_q09800,AE32,UINT8,8,0.98,9800,430,1,128,128,16754.0,16754.0,13271.5,13385.0,0.79165423,1.00000000,0.019436,0.022197,0.012670,0.014243,861.986,1322.337
AE32_UINT8_q09800,AE32,UINT8,8,0.98,9800,430,3,128,128,16754.0,16754.0,13257.0,13373.0,0.79095710,0.99911940,0.024789,0.031510,0.011983,0.013403,675.851,1398.089
AE32_UINT8_q09800,AE32,UINT8,8,0.98,9800,430,5,128,128,16754.0,16754.0,13255.5,13361.9,0.79046375,0.99849621,0.031529,0.043060,0.011812,0.013717,531.392,1418.394
AE32_UINT6_q00000,AE32,UINT6,6,0.00,0,21504,1,128,128,516404.0,516404.0,472642.5,480925.2,0.90487379,1.00000000,0.400404,0.600153,0.309975,0.359278,1289.735,1665.954
AE32_UINT6_q00000,AE32,UINT6,6,0.00,0,21504,3,128,128,516404.0,516404.0,467700.0,478223.8,0.89060435,0.98423046,0.592288,0.968514,0.320625,0.373353,871.894,1610.625
AE32_UINT6_q00000,AE32,UINT6,6,0.00,0,21504,5,128,128,516404.0,516404.0,464470.5,480528.0,0.89145956,0.98517557,1.054876,1.814415,0.311637,0.352675,489.549,1657.071
AE32_UINT6_q03000,AE32,UINT6,6,0.30,3000,15053,1,128,128,364268.0,364268.0,339124.5,341373.2,0.92875541,1.00000000,0.278626,0.363578,0.221036,0.250363,1307.395,1647.999
AE32_UINT6_q03000,AE32,UINT6,6,0.30,3000,15053,3,128,128,364268.0,364268.0,338266.5,341292.2,0.92318113,0.99399812,0.426895,0.620780,0.222741,0.253866,853.323,1635.392
AE32_UINT6_q03000,AE32,UINT6,6,0.30,3000,15053,5,128,128,364268.0,364268.0,338006.5,341108.1,0.92202331,0.99275148,0.577125,0.987723,0.222770,0.249890,631.207,1635.176
AE32_UINT6_q05000,AE32,UINT6,6,0.50,5000,10752,1,128,128,261044.0,261044.0,244417.5,245964.5,0.93582311,1.00000000,0.176920,0.220775,0.156906,0.177380,1475.500,1663.698
AE32_UINT6_q05000,AE32,UINT6,6,0.50,5000,10752,3,128,128,261044.0,261044.0,244277.5,245779.2,0.93432540,0.99839958,0.214265,0.292228,0.157400,0.178671,1218.323,1658.475
AE32_UINT6_q05000,AE32,UINT6,6,0.50,5000,10752,5,128,128,261044.0,261044.0,244280.5,245860.8,0.93485273,0.99896307,0.244731,0.403434,0.156945,0.178903,1066.659,1663.278
AE32_UINT6_q07000,AE32,UINT6,6,0.70,7000,6451,1,128,128,157820.0,157820.0,148132.0,149087.2,0.93726377,1.00000000,0.111399,0.129511,0.096994,0.109945,1416.703,1627.111
AE32_UINT6_q07000,AE32,UINT6,6,0.70,7000,6451,3,128,128,157820.0,157820.0,147992.5,148905.0,0.93577449,0.99841103,0.128415,0.164661,0.096574,0.111241,1229.012,1634.196
AE32_UINT6_q07000,AE32,UINT6,6,0.70,7000,6451,5,128,128,157820.0,157820.0,148013.5,148993.6,0.93603829,0.99869249,0.158110,0.257950,0.095982,0.112336,998.167,1644.267
AE32_UINT6_q09000,AE32,UINT6,6,0.90,9000,2150,1,128,128,54596.0,54596.0,50280.0,50511.2,0.92091911,1.00000000,0.048464,0.054349,0.036213,0.041614,1126.527,1507.635
AE32_UINT6_q09000,AE32,UINT6,6,0.90,9000,2150,3,128,128,54596.0,54596.0,50252.5,50494.6,0.92036805,0.99940161,0.052261,0.062602,0.034393,0.039143,1044.681,1587.416
AE32_UINT6_q09000,AE32,UINT6,6,0.90,9000,2150,5,128,128,54596.0,54596.0,50210.5,50434.7,0.91962180,0.99859128,0.063273,0.082829,0.034077,0.039007,862.857,1602.160
AE32_UINT6_q09800,AE32,UINT6,6,0.98,9800,430,1,128,128,13316.0,13316.0,10569.5,10654.6,0.79379072,1.00000000,0.020919,0.025592,0.010592,0.012025,636.551,1257.235
AE32_UINT6_q09800,AE32,UINT6,6,0.98,9800,430,3,128,128,13316.0,13316.0,10564.0,10642.0,0.79298635,0.99898668,0.018968,0.023693,0.009959,0.011334,702.025,1337.149
AE32_UINT6_q09800,AE32,UINT6,6,0.98,9800,430,5,128,128,13316.0,13316.0,10553.5,10630.0,0.79226060,0.99807240,0.027121,0.035229,0.009605,0.011258,490.985,1386.362
AE32_UINT4_q00000,AE32,UINT4,4,0.00,0,21504,1,128,128,344372.0,344372.0,229575.5,248889.4,0.66192303,1.00000000,0.432752,0.561280,0.216058,0.251333,795.776,1593.887
AE32_UINT4_q00000,AE32,UINT4,4,0.00,0,21504,3,128,128,344372.0,344372.0,223498.5,244108.6,0.64622525,0.97628459,0.764620,0.971992,0.228639,0.270824,450.383,1506.182
AE32_UINT4_q00000,AE32,UINT4,4,0.00,0,21504,5,128,128,344372.0,344372.0,221039.0,243372.5,0.63894844,0.96529115,1.738899,2.243618,0.230717,0.246065,198.040,1492.613
AE32_UINT4_q03000,AE32,UINT4,4,0.30,3000,15053,1,128,128,243844.0,243844.0,174749.5,181429.9,0.71148418,1.00000000,0.251597,0.307879,0.156750,0.174771,969.187,1555.619
AE32_UINT4_q03000,AE32,UINT4,4,0.30,3000,15053,3,128,128,243844.0,243844.0,171573.0,179076.9,0.70112923,0.98544599,0.863030,1.101818,0.187419,0.221807,282.544,1301.061
AE32_UINT4_q03000,AE32,UINT4,4,0.30,3000,15053,5,128,128,243844.0,243844.0,171691.0,179352.6,0.70068213,0.98481758,0.903032,1.645039,0.161660,0.186812,270.033,1508.376
AE32_UINT4_q05000,AE32,UINT4,4,0.50,5000,10752,1,128,128,175028.0,175028.0,128803.0,132835.1,0.73373894,1.00000000,0.156042,0.198679,0.110661,0.123763,1121.674,1581.660
AE32_UINT4_q05000,AE32,UINT4,4,0.50,5000,10752,3,128,128,175028.0,175028.0,127657.0,131934.8,0.72773307,0.99181471,0.501410,0.700649,0.129301,0.151753,349.075,1353.655
AE32_UINT4_q05000,AE32,UINT4,4,0.50,5000,10752,5,128,128,175028.0,175028.0,127642.5,131832.6,0.72784698,0.99196995,0.438775,0.647158,0.112899,0.127125,398.902,1550.300
AE32_UINT4_q07000,AE32,UINT4,4,0.70,7000,6451,1,128,128,106212.0,106212.0,80813.0,82453.1,0.76044940,1.00000000,0.076365,0.091509,0.067351,0.074476,1390.856,1576.981
AE32_UINT4_q07000,AE32,UINT4,4,0.70,7000,6451,3,128,128,106212.0,106212.0,80760.0,82375.1,0.76033487,0.99984940,0.080335,0.114503,0.065793,0.074651,1322.122,1614.348
AE32_UINT4_q07000,AE32,UINT4,4,0.70,7000,6451,5,128,128,106212.0,106212.0,80376.0,82135.9,0.75436362,0.99199713,0.551407,0.935571,0.076144,0.088831,192.620,1394.893
AE32_UINT4_q09000,AE32,UINT4,4,0.90,9000,2150,1,128,128,37396.0,37396.0,28170.0,28575.2,0.75227046,1.00000000,0.034727,0.040609,0.026760,0.029756,1076.857,1397.433
AE32_UINT4_q09000,AE32,UINT4,4,0.90,9000,2150,3,128,128,37396.0,37396.0,28133.0,28563.0,0.75149435,0.99896831,0.037852,0.050289,0.025624,0.028302,987.966,1459.414
AE32_UINT4_q09000,AE32,UINT4,4,0.90,9000,2150,5,128,128,37396.0,37396.0,28106.5,28505.5,0.75055007,0.99771306,0.049774,0.128058,0.025339,0.028397,751.309,1475.828
AE32_UINT4_q09800,AE32,UINT4,4,0.98,9800,430,1,128,128,9876.0,9876.0,6254.5,6381.3,0.63257044,1.00000000,0.022801,0.026367,0.008857,0.010393,433.140,1115.050
AE32_UINT4_q09800,AE32,UINT4,4,0.98,9800,430,3,128,128,9876.0,9876.0,6245.0,6370.3,0.63152703,0.99835053,0.017071,0.021362,0.008200,0.009192,578.508,1204.390
AE32_UINT4_q09800,AE32,UINT4,4,0.98,9800,430,5,128,128,9876.0,9876.0,6237.5,6354.6,0.63053662,0.99678484,0.024946,0.033591,0.007826,0.009179,395.895,1262.048
