profile,family,quantizer,bit_width,q,q_e4,keep_count,zstd_level,frames,exact_round_trips,pre_zstd_median_bytes,pre_zstd_p95_bytes,compressed_median_bytes,compressed_p95_bytes,compressed_to_pre_zstd_ratio,compressed_ratio_relative_to_level1,compression_median_ms,compression_p95_ms,decompression_median_ms,decompression_p95_ms,compression_median_MBps,decompression_median_MBps
AE128_UINT8_q09000,AE128,UINT8,8,0.90,9000,2150,5,128,128,278962.0,278962.0,248525.5,249898.1,0.89096272,0.99976509,0.252872,0.360877,0.164696,0.189974,1103.177,1693.799
AE128_UINT8_q09800,AE128,UINT8,8,0.98,9800,430,1,128,128,58802.0,58802.0,51499.5,51780.9,0.87537786,1.00000000,0.048039,0.055425,0.036971,0.042837,1224.034,1590.490
AE128_UINT8_q09800,AE128,UINT8,8,0.98,9800,430,3,128,128,58802.0,58802.0,51483.5,51772.8,0.87512901,0.99971572,0.053116,0.069110,0.035894,0.040320,1107.039,1638.213
AE128_UINT8_q09800,AE128,UINT8,8,0.98,9800,430,5,128,128,58802.0,58802.0,51482.0,51755.9,0.87495297,0.99951462,0.063174,0.087226,0.035362,0.040576,930.787,1662.858
AE128_UINT6_q00000,AE128,UINT6,6,0.00,0,21504,1,128,128,2065460.0,2065460.0,1860747.0,1891593.0,0.89522495,1.00000000,1.538474,1.919102,1.209583,1.354681,1342.539,1707.581
AE128_UINT6_q00000,AE128,UINT6,6,0.00,0,21504,3,128,128,2065460.0,2065460.0,1844435.0,1892592.4,0.88558417,0.98923088,2.151997,3.344377,1.212597,1.324803,960.084,1703.337
AE128_UINT6_q00000,AE128,UINT6,6,0.00,0,21504,5,128,128,2065460.0,2065460.0,1842215.5,1895296.0,0.88317262,0.98653710,3.211094,5.557876,1.200184,1.279455,643.231,1720.954
AE128_UINT6_q03000,AE128,UINT6,6,0.30,3000,15053,1,128,128,1448852.0,1448852.0,1336734.5,1345482.1,0.92081723,1.00000000,1.020525,1.354853,0.847168,1.022372,1419.712,1710.231
AE128_UINT6_q03000,AE128,UINT6,6,0.30,3000,15053,3,128,128,1448852.0,1448852.0,1334849.5,1344970.9,0.91771712,0.99663331,1.457540,2.168443,0.851793,0.968140,994.040,1700.944
AE128_UINT6_q03000,AE128,UINT6,6,0.30,3000,15053,5,128,128,1448852.0,1448852.0,1332808.5,1344130.9,0.91618715,0.99497177,1.862113,3.324720,0.834758,0.947465,778.206,1735.654
AE128_UINT6_q05000,AE128,UINT6,6,0.50,5000,10752,1,128,128,1035956.0,1035956.0,964096.0,969402.7,0.92994861,1.00000000,0.698802,0.875232,0.603094,0.701706,1482.476,1717.734
AE128_UINT6_q05000,AE128,UINT6,6,0.50,5000,10752,3,128,128,1035956.0,1035956.0,963981.5,969945.9,0.92869607,0.99865311,1.019063,1.227793,0.609615,0.704370,1016.577,1699.361
AE128_UINT6_q05000,AE128,UINT6,6,0.50,5000,10752,5,128,128,1035956.0,1035956.0,963297.0,968864.6,0.92813634,0.99805121,1.127953,1.772255,0.599746,0.687010,918.456,1727.326
AE128_UINT6_q07000,AE128,UINT6,6,0.70,7000,6451,1,128,128,623060.0,623060.0,583706.5,586047.2,0.93564262,1.00000000,0.417374,0.478863,0.365712,0.421118,1492.808,1703.688
AE128_UINT6_q07000,AE128,UINT6,6,0.70,7000,6451,3,128,128,623060.0,623060.0,583966.5,586467.4,0.93560146,0.99995600,0.613019,0.716018,0.366078,0.418306,1016.381,1701.990
AE128_UINT6_q07000,AE128,UINT6,6,0.70,7000,6451,5,128,128,623060.0,623060.0,583609.5,585896.1,0.93449527,0.99877373,0.604035,0.886180,0.363277,0.417823,1031.496,1715.108
AE128_UINT6_q09000,AE128,UINT6,6,0.90,9000,2150,1,128,128,210164.0,210164.0,197396.0,198138.4,0.93920399,1.00000000,0.143381,0.159799,0.126401,0.146167,1465.768,1662.677
AE128_UINT6_q09000,AE128,UINT6,6,0.90,9000,2150,3,128,128,210164.0,210164.0,197326.0,198046.8,0.93885969,0.99963341,0.170678,0.198233,0.126175,0.146270,1231.349,1665.649
AE128_UINT6_q09000,AE128,UINT6,6,0.90,9000,2150,5,128,128,210164.0,210164.0,197340.5,198075.9,0.93897589,0.99975714,0.195210,0.257258,0.126158,0.144434,1076.608,1665.879
AE128_UINT6_q09800,AE128,UINT6,6,0.98,9800,430,1,128,128,45044.0,45044.0,40961.5,41113.6,0.90896089,1.00000000,0.040843,0.050540,0.028806,0.033381,1102.858,1563.675
AE128_UINT6_q09800,AE128,UINT6,6,0.98,9800,430,3,128,128,45044.0,45044.0,40955.5,41103.0,0.90863083,0.99963688,0.046895,0.064072,0.027832,0.031828,960.519,1618.425
AE128_UINT6_q09800,AE128,UINT6,6,0.98,9800,430,5,128,128,45044.0,45044.0,40938.0,41091.9,0.90840015,0.99938310,0.057221,0.081580,0.027529,0.031849,787.194,1636.209
AE128_UINT4_q00000,AE128,UINT4,4,0.00,0,21504,1,128,128,1377332.0,1377332.0,886480.5,943926.3,0.63875279,1.00000000,1.467264,1.803616,0.779946,0.884221,938.714,1765.935
