repetition_index,commanded_noise_power_db,adjudicated_outcome,evidence_valid,cold_attach_pass,attach_pdu_ext_dn_timeout_s,attach_gate_duration_s,core_ready_at_terminal,ran_processes_alive_at_terminal,observed_ipv4,candidate_baked_before_ue_launch,candidate_application_count,single_restore_application,clean_restore_verified,cleanup_verified,source_oai_configs_unchanged,cold_achieved_pusch_snr_db_p05,cold_achieved_pusch_snr_db_p50,cold_achieved_pusch_snr_db_p95,cold_achieved_snr_is_null,cold_achieved_snr_interpretation,physical_rf_cutoff_established,initial_access_or_pdu_gate_failed,source_directory,source_manifest_sha256
1,-2.5,VALID_COLD_ATTACH_FAILURE,True,False,180.0,180.773928322,True,True,[],True,0,True,True,True,True,,,,True,UNOBSERVED_NO_SERVING_RNTI_PUSCH_WINDOW,False,True,rep_01_minus2p5_cold,515ffd44044b17f84605877e5b1b4fe514bcca2dc254270647fc90ab2476ad76
2,-2.5,VALID_COLD_ATTACH_FAILURE,True,False,180.0,180.895136081,True,True,[],True,0,True,True,True,True,,,,True,UNOBSERVED_NO_SERVING_RNTI_PUSCH_WINDOW,False,True,rep_02_minus2p5_cold,2240bc109df6c7cfe224dc56b565d1893431a9fa545e19131c8a6a9069ea271b
3,-2.5,VALID_COLD_ATTACH_FAILURE,True,False,180.0,180.701505986,True,True,[],True,0,True,True,True,True,,,,True,UNOBSERVED_NO_SERVING_RNTI_PUSCH_WINDOW,False,True,rep_03_minus2p5_cold,761bdddba720a5a1e3558664900f3df57cd5d7f1c51fabcd1453b4728a372376
