profile_id,trace_id,commands_expected,commands_applied,commands_late,commands_skipped,command_ack_latency_ms_p50,command_ack_latency_ms_p95,command_ack_latency_ms_max,valid_achieved_snr_intervals,target_achieved_correlation,snr_tracking_mae_db,snr_tracking_p95_absolute_error_db,command_to_first_observed_effect_latency,application_messages,application_acked,application_delivery_ratio,application_rtt_ms_p50,application_rtt_ms_p95,application_rtt_ms_max,ue_or_pdu_disconnected,outage_status
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,100,100,0,0,0.075381,0.4261639499999997,0.787563,100,0.9738966068310428,0.4201645700000002,0.8579948999999989,UNAVAILABLE_STOCK_TRACER_LIMITATION,100,100,1.0,23.144,31.033654999999996,92.7265,False,NO_APPLICATION_ACK_OUTAGE_OBSERVED
MID_VARIABLE,GM_V2_MID_VARIABLE_SEED_2026082102,100,100,0,0,0.08100550000000001,0.3716328499999999,1.28611,100,0.9847793566672598,0.38276545000000006,1.0520942999999994,UNAVAILABLE_STOCK_TRACER_LIMITATION,100,100,1.0,22.351950000000002,59.508829999999996,109.6753,False,NO_APPLICATION_ACK_OUTAGE_OBSERVED
ADVERSE_STABLE,GM_V2_ADVERSE_STABLE_SEED_2026082103,100,100,0,0,0.091767,0.14947449999999998,0.215154,99,0.9903096935478866,0.2943143333333334,0.8829895999999989,UNAVAILABLE_STOCK_TRACER_LIMITATION,100,100,1.0,22.8917,55.635794999999995,98.2212,False,NO_APPLICATION_ACK_OUTAGE_OBSERVED
FADE_RECOVERY,GM_V2_FADE_RECOVERY_SEED_2026082104,100,100,0,0,0.0713815,0.17909734999999996,0.534783,100,0.9818893609355153,0.2679717100000001,0.794015599999999,UNAVAILABLE_STOCK_TRACER_LIMITATION,100,100,1.0,21.848300000000002,39.0531,105.7534,False,NO_APPLICATION_ACK_OUTAGE_OBSERVED
