profile_id,trace_id,trace_step_index,target_snr_db,mapped_rfsim_command_db,scheduled_monotonic_ns,interval_end_monotonic_ns,command_send_monotonic_ns,command_send_wall_ns,command_ack_monotonic_ns,command_ack_wall_ns,command_latency_ms,command_timing_status,achieved_pusch_snr_count,achieved_pusch_snr_median_db,achieved_pusch_snr_p05_db,achieved_pusch_snr_p95_db,target_minus_achieved_error_db,mcs_median,application_sequence,application_message_count,application_send_ok_count,application_acked_count,application_delivery_ack_result,application_ack_latency_ms,application_ack_latencies_ms,ue_pdu_session_status
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,11,22.978024,-11.5,1665096584467951,1665096684467951,1665096584575706,1787450451521030965,1665096584629670,1787450451521084865,0.053964,ON_TIME,6,22.5,21.75,22.5,0.47802400000000134,27.0,102,1,1,1,ACKED,27.0188,27.018800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,12,20.888735,-10.75,1665096684467951,1665096784467951,1665096684589126,1787450451621044328,1665096684654193,1787450451621109384,0.065067,ON_TIME,10,21.5,20.725,22.775,-0.6112649999999995,27.0,103,1,1,1,ACKED,24.1317,24.131700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,13,22.503573,-11.25,1665096784467951,1665096884467951,1665096784583441,1787450451721038703,1665096784647484,1787450451721102682,0.064043,ON_TIME,10,22.0,20.950000000000003,22.5,0.5035729999999994,27.0,104,1,1,1,ACKED,19.1292,19.129200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,14,21.854506,-11.0,1665096884467951,1665096984467951,1665096884587856,1787450451821043096,1665096884642022,1787450451821097207,0.054166,ON_TIME,6,22.0,21.125,22.0,-0.14549399999999935,27.0,105,1,1,1,ACKED,13.3369,13.336900,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,15,19.790856,-10.25,1665096984467951,1665097084467951,1665096984612935,1787450451921068230,1665096984680893,1787450451921136107,0.067958,ON_TIME,6,20.25,19.625,21.0,-0.45914399999999844,27.0,106,1,1,1,ACKED,13.8842,13.884200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,16,19.372017,-10.0,1665097084467951,1665097184467951,1665097084587499,1787450452021042915,1665097084658844,1787450452021114057,0.071345,ON_TIME,7,20.0,19.15,20.0,-0.6279830000000004,27.0,107,1,1,1,ACKED,26.1853,26.185300,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,17,22.634757,-11.5,1665097184467951,1665097284467951,1665097184602938,1787450452121058145,1665097184678455,1787450452121133669,0.075517,ON_TIME,9,22.0,19.7,23.0,0.6347570000000005,26.0,108,1,1,1,ACKED,23.7864,23.786400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,18,19.145392,-9.75,1665097284467951,1665097384467951,1665097284587720,1787450452221042954,1665097284678126,1787450452221133334,0.090406,ON_TIME,7,20.0,19.5,22.7,-0.8546079999999989,26.0,109,1,1,1,ACKED,26.0634,26.063400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,19,22.453385,-11.25,1665097384467951,1665097484467951,1665097384601990,1787450452321057335,1665097385389553,1787450452321844786,0.787563,ON_TIME,8,21.75,19.174999999999997,22.5,0.7033850000000008,26.0,110,1,1,1,ACKED,24.5396,24.539600,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,20,22.288399,-11.25,1665097484467951,1665097584467951,1665097484583817,1787450452421039105,1665097484644179,1787450452421099382,0.060362,ON_TIME,6,22.25,21.625,22.5,0.038398999999998296,26.0,111,1,1,1,ACKED,26.0219,26.021900,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
