purpose,rfsim_command,commanded_noise_power_db,send_monotonic_ns,send_wall_ns,ack_monotonic_ns,ack_wall_ns,command_latency_ms,status,control_session_id,ran_epoch_id,upper_anchor_attempt,profile_id,trace_id,trace_step_index,scheduled_monotonic_ns,interval_end_monotonic_ns
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665096284587316,1787450451221042678,1665096285154814,1787450451221610051,0.567498,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,8,1665096284467951,1665096384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.0,-10.0,1665096384598187,1787450451321053453,1665096384827991,1787450451321283207,0.229804,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,9,1665096384467951,1665096484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665096484582167,1787450451421037494,1665096484971007,1787450451421426248,0.38884,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,10,1665096484467951,1665096584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665096584575706,1787450451521030965,1665096584629670,1787450451521084865,0.053964,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,11,1665096584467951,1665096684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665096684589126,1787450451621044328,1665096684654193,1787450451621109384,0.065067,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,12,1665096684467951,1665096784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665096784583441,1787450451721038703,1665096784647484,1787450451721102682,0.064043,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,13,1665096784467951,1665096884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665096884587856,1787450451821043096,1665096884642022,1787450451821097207,0.054166,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,14,1665096884467951,1665096984467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.25,-10.25,1665096984612935,1787450451921068230,1665096984680893,1787450451921136107,0.067958,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,15,1665096984467951,1665097084467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.0,-10.0,1665097084587499,1787450452021042915,1665097084658844,1787450452021114057,0.071345,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,16,1665097084467951,1665097184467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665097184602938,1787450452121058145,1665097184678455,1787450452121133669,0.075517,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,17,1665097184467951,1665097284467951
