run_id,run_label,sample_id,density,fp_plus_fn
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000008_frame784532,crowded,61
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000007_frame784530,crowded,56
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000006_frame784528,crowded,54
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000025_frame784566,crowded,51
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000044_frame784604,crowded,46
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000055_frame784626,crowded,43
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000043_frame784602,crowded,42
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000161_frame784838,crowded,42
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000157_frame784830,crowded,40
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000048_frame784612,crowded,39
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000106_frame784728,crowded,39
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000102_frame784720,crowded,38
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000103_frame784722,crowded,38
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000126_frame784768,crowded,38
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_medium_8loops_cap6000_stride2_000009_frame4213,medium,37
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000135_frame784786,crowded,37
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000147_frame784810,crowded,37
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000153_frame784822,crowded,37
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_medium_8loops_cap6000_stride2_000007_frame4209,medium,36
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000077_frame784670,crowded,36
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000114_frame784744,crowded,36
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000060_frame784636,crowded,35
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000170_frame784856,crowded,35
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000082_frame784680,crowded,34
moving8,"Moving model, 8 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_8loops_cap6000_stride2_000088_frame784692,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000008_frame38370,crowded,49
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000021_frame38396,crowded,42
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_medium_12loops_cap9000_stride2_000007_frame22413,medium,38
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_medium_12loops_cap9000_stride2_000014_frame22427,medium,37
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000046_frame38446,crowded,36
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000165_frame38684,crowded,35
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000031_frame38416,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000036_frame38426,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000067_frame38488,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000081_frame38516,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000153_frame38660,crowded,34
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000159_frame38672,crowded,34
