density,samples,miou,vehicle_iou,person_iou,background_iou,pixel_accuracy,baseline_rgb_miou,baseline_rgb_vehicle_iou,baseline_rgb_person_iou,fusion_miou_delta_vs_rgb,learned_object_f1,learned_global_xy_mae_m,device,device_name,metrics_path
low,752,0.7932500747007203,0.7728457760995916,0.6339324641585456,0.9729719838440236,0.9742215391479203,0.45589858019293544,0.41847936409077774,0.0,0.33735149450778484,0.28001628001628004,1.36955850687289,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_low/metrics/test_fusion_evaluation_metrics.json
medium,687,0.8122012790447523,0.8279457403204796,0.6375842511814422,0.9710738456323352,0.9726496021727923,0.5184550922771515,0.6095824730350753,0.0,0.2937461867676008,0.2839097121557258,1.4752335792650508,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_medium/metrics/test_fusion_evaluation_metrics.json
crowded,743,0.8294288553304797,0.9025336480889463,0.6162432064447357,0.9695097114577568,0.972170674851858,0.5500682742291477,0.708657398850152,0.0,0.279360581101332,0.2921181809761971,1.417898144744169,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_crowded/metrics/test_fusion_evaluation_metrics.json
