run_id,run_label,density,class_name,tp,fp,fn,precision,recall,f1,xy_error_mean_m,xy_error_median_m,xy_error_p90_m,fp_score_mean,fp_score_p90,unique_samples_with_object_rows
moving8,"Moving model, 8 loops",low,vehicle,338,1151,490,0.2269979852249832,0.4082125603864734,0.29175658178679326,1.2438219461468016,1.072747952429083,2.5464756262657575,0.20922728663522402,0.4666502773761749,658
moving8,"Moving model, 8 loops",low,person,350,1172,725,0.22996057818659657,0.32558139534883723,0.2695417789757412,1.4909840998026551,1.461934144825122,2.6451188077464325,0.257366333078949,0.49136697947978986,612
moving8,"Moving model, 8 loops",low,all,688,2323,1215,0.22849551643972102,0.36153441933788755,0.28001628001628004,1.36955850687289,1.2594415419691565,2.5981608396301454,0.23351439917592384,0.482101094722748,732
moving8,"Moving model, 8 loops",medium,vehicle,897,1513,2296,0.37219917012448134,0.28092702787347323,0.32018561484918795,1.412953117477979,1.3272504454740028,2.6319692328391846,0.4134572746203837,0.7075856924057007,660
moving8,"Moving model, 8 loops",medium,person,474,1265,1842,0.27257044278320874,0.20466321243523317,0.2337854500616523,1.5930934404950159,1.5819221078386594,2.747416199799674,0.37227165454578964,0.5794721364974976,616
moving8,"Moving model, 8 loops",medium,all,1371,2778,4138,0.3304410701373825,0.2488654928299147,0.2839097121557258,1.4752335792650508,1.3989831768396461,2.6827377561220564,0.39470284359289576,0.6584966361522675,676
moving8,"Moving model, 8 loops",crowded,vehicle,1157,1808,3065,0.39021922428330524,0.2740407389862624,0.3219702240155837,1.3741654793851121,1.3139476852536125,2.5840510201273665,0.42017773200811376,0.6923000872135162,713
moving8,"Moving model, 8 loops",crowded,person,420,963,1807,0.3036876355748373,0.18859452177817693,0.2326869806094183,1.5383712252689996,1.4709771107565484,2.638874804564213,0.3773225530254754,0.5906526684761048,652
moving8,"Moving model, 8 loops",crowded,all,1577,2771,4872,0.3626954921803128,0.2445340362846953,0.2921181809761971,1.417898144744169,1.3754562981088874,2.611990343261134,0.40528435872760826,0.6636351346969604,728
moving8,"Moving model, 8 loops",all,vehicle,2392,4472,5851,0.3484848484848485,0.2901856120344535,0.31667438935592773,1.37029273571235,1.2861328031784507,2.6082549005588445,0.36360975019867015,0.6716238677501679,2031
moving8,"Moving model, 8 loops",all,person,1244,3400,4374,0.2678725236864772,0.2214311142755429,0.24244786591307738,1.5458895822657128,1.5148259578951158,2.6743909246891224,0.3340937070389662,0.5643077492713928,1880
moving8,"Moving model, 8 loops",all,all,3636,7872,10225,0.3159541188738269,0.26231873602193206,0.2866490598762269,1.4303704246871527,1.3637024795112271,2.6260639734602407,0.35086145919981426,0.6215480685234073,2136
moving12,"Moving model, 12 loops",low,vehicle,517,1759,714,0.22715289982425307,0.4199837530463038,0.29483889364128885,1.393934436676452,1.3372797200561688,2.5563512690380796,0.2033210604770862,0.44933266639709474,884
moving12,"Moving model, 12 loops",low,person,299,1399,583,0.17608951707891637,0.33900226757369617,0.23178294573643413,1.4505890775071588,1.3175161523730952,2.632785653279237,0.20760695275592966,0.45584452152252203,768
moving12,"Moving model, 12 loops",low,all,816,3158,1297,0.20533467539003522,0.38618078561287267,0.26811237062592413,1.4146939190396646,1.3345242034854612,2.591330318110221,0.20521971889953775,0.4507542133331299,985
moving12,"Moving model, 12 loops",medium,vehicle,1387,1991,2761,0.41059798697454114,0.3343780135004822,0.36858889184161575,1.2774656513718243,1.1393877761884423,2.5287896405014365,0.37301059949082205,0.6393637657165527,1021
moving12,"Moving model, 12 loops",medium,person,659,1782,2599,0.2699713232281852,0.20227133210558626,0.23126864362168803,1.5256641056410474,1.4574884708185851,2.6369259673469836,0.3389545718864376,0.5431015431880951,988
moving12,"Moving model, 12 loops",medium,all,2046,3773,5360,0.3516068052930057,0.2762624898730759,0.309413988657845,1.3574083597605915,1.256978468866252,2.569086037978888,0.35692582843569004,0.5981336116790772,1042
moving12,"Moving model, 12 loops",crowded,vehicle,1798,2306,3468,0.43810916179337234,0.3414356247626282,0.383778014941302,1.3135228776610732,1.1892129678798569,2.530855112075051,0.39242215117509094,0.6646982729434967,1019
moving12,"Moving model, 12 loops",crowded,person,457,1431,2330,0.2420550847457627,0.16397560100466452,0.19550802139037435,1.5983126433216814,1.562304517094714,2.669279280219562,0.34275226611292586,0.5502493977546692,917
moving12,"Moving model, 12 loops",crowded,all,2255,3737,5798,0.3763351134846462,0.28001986837203524,0.32111071555713777,1.3712385862672363,1.2808048705512214,2.5625408970379593,0.37340218716011686,0.6185419678688049,1040
moving12,"Moving model, 12 loops",all,vehicle,3702,6056,6943,0.3793810207009633,0.34776890558947865,0.3628878106160859,1.3112434079549042,1.1990573602035766,2.53372966068977,0.3311148166405517,0.6136206388473511,2924
moving12,"Moving model, 12 loops",all,person,1415,4612,5512,0.23477683756429402,0.20427313411289158,0.21846533889146208,1.5332633623958296,1.4752626901267925,2.646619793482423,0.300290040506239,0.5265043675899507,2673
moving12,"Moving model, 12 loops",all,all,5117,10668,12455,0.32416851441241684,0.2912019121329388,0.3068021704589741,1.3726384119677848,1.2817185645689586,2.569997272199957,0.317788619834079,0.5755546331405641,3067
radar12k_pilot,"Moving radar-12k pilot, 2 loops",low,vehicle,50,237,233,0.17421602787456447,0.17667844522968199,0.17543859649122806,1.2028881379718686,1.033144972094279,2.75964271184837,0.2161528688505732,0.3317818522453308,161
radar12k_pilot,"Moving radar-12k pilot, 2 loops",low,person,67,550,317,0.1085899513776337,0.17447916666666666,0.13386613386613386,1.619019698677688,1.4790779099119473,2.6304139396921413,0.20659199159253727,0.316851806640625,165
