run_group,iface,iface_label,samples,duration_s,avg_tx_mbps,p95_tx_mbps,max_tx_mbps,avg_rx_mbps,p95_rx_mbps,max_rx_mbps,tx_bytes_delta,rx_bytes_delta,tx_packets_delta,rx_packets_delta,tx_drops_delta,rx_drops_delta,tx_errors_delta,rx_errors_delta,ping_attempts,ping_success_rate,avg_ping_rtt_ms,p95_ping_rtt_ms
D0_TRACE_FULL,oaitun_ue1,ue0,51,50.0009,3.12312,6.64515,6.646,0.000368686,0,0.0184343,19519664,2304,13160,4,0,0,0,0,0,,,
D0_TRACE_FULL,oaitun_ue2,ue1,51,50.0009,3.18958,6.64547,6.64686,0.000276491,0,0.00921715,19934976,1728,13440,3,0,0,0,0,0,,,
