profile_id,trace_id,trace_sha256,targets,commands_acknowledged,commands_skipped_obsolete,command_ack_ratio,command_ack_latency_ms_p50,command_ack_latency_ms_p95,command_ack_latency_ms_max,accepted_observation_windows,empty_observation_windows,underpopulated_observation_windows,observation_coverage,tracking_mae_db,bias_achieved_minus_target_db,tracking_p95_absolute_error_db,observed_rntis,all_gates_passed
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,8cad86e2e1ee98176c75b872132eb68f7d770f889d7330fa4a9932c45c172de6,4200,4178,22,0.9947619047619047,0.10816,0.34963604999999987,5.632202,776,2938,464,0.18476190476190477,0.32154637143107334,0.10094755491084864,0.7202040603333923,[46613],False
MID_VARIABLE,GM_V2_MID_VARIABLE_SEED_2026082102,0d2ef7ff9e7f342c772d0d88a4cec4e9ce9ac1c9946c1402d3087c55c8f0f811,4200,4180,20,0.9952380952380953,0.223998,0.4719037499999999,5.669149,1874,771,1535,0.4461904761904762,0.2533785619799706,0.027506910424343355,0.6309897635570829,[25253],False
ADVERSE_STABLE,GM_V2_ADVERSE_STABLE_SEED_2026082103,380925bb530945b11b8e79ab93e88d5a555de540ce859756d6c5ad08584e98a0,4200,4182,18,0.9957142857142857,0.1084605,0.36561325,4.505094,2896,770,516,0.6895238095238095,0.21447896066447092,-0.057409773338824084,0.5414270999851416,[61106],False
FADE_RECOVERY,GM_V2_FADE_RECOVERY_SEED_2026082104,ef2ae2d6448d9c7f3208bc81123d301a1a9f5d9b16be3bac4412c8cecf94e7c0,4200,4173,27,0.9935714285714285,0.108359,0.35898439999999987,4.634692,578,3186,409,0.1376190476190476,0.2681828299847542,-0.0006687667840902825,0.7189301189668961,[47552],False
