trace,rows,ue_ip,duration_s,uplink_packets,downlink_packets,uplink_mb,downlink_mb,uplink_share_bytes,mean_ul_mbps,p95_1s_ul_mbps,peak_1s_ul_mbps,peak_1s_offset_s,peak_to_mean_ul_rate,packet_len_p50,packet_len_p95,ul_gap_p50_ms,ul_gap_p95_ms,ul_gap_max_ms,burst_gap_ms,uplink_bursts,uplink_burst_p50_kb,uplink_burst_p95_kb,uplink_burst_max_kb,top_app,top_protocol
IMPACT.csv,62805,172.30.1.250,780.0,27299,35506,22.295504,20.169856,0.5250280228402632,0.2286718358974359,2.3275360000000003,9.179488,232,40.14262606487837,676.0,1324.0,2.9524999999992474,44.05559999995604,60200.126,100.0,411,1.2109375,417.533203125,2551.98046875,Teams,UDP
cntrl.csv,4,172.30.1.250,600.0,2,2,0.000456,0.00022,0.6745562130177515,6.08e-06,0.002832,0.002944,600,484.2105263157895,110.0,329.6,599772.434,599772.434,599772.434,100.0,2,0.22265625,0.34570312499999994,0.359375,WhatsApp,TCP
embb.csv,64505,172.30.1.250,2610.11677,39527,24978,93.600968,75.3824,0.553906393912092,0.2868866836176069,7.9376064,32.133728,504,112.00843341627962,1324.0,10048.0,0.15999999959603883,34.311750000085794,466916.298,100.0,814,0.630859375,676.16015625,5497.8671875,Chrome,TCP
embb_03_03a.csv,160196,172.30.1.250,504.169339,100429,59767,416.13548,5.630252,0.9866507599531581,6.603106501087724,20.011449600000002,37.865024,128,5.734425757597962,1404.0,10048.0,3.0270000000029995,14.337650000000217,4011.5239999999994,100.0,227,117.828125,9567.433593749993,63644.1484375,OneDrive,TCP
embb_03_03b.csv,155893,172.30.1.250,460.477833,93530,62363,380.13062,5.694132,0.9852416622560286,6.604107173167661,18.543264,37.447168,136,5.6702847210213365,1404.0,10048.0,2.896000000021104,16.069800000013874,747.2439999999949,100.0,242,212.94140625,7738.289062499989,30744.28515625,OneDrive,TCP
embb_03_03c.csv,150879,172.30.1.250,872.247838,90966,59913,258.173876,5.34102,0.9797316201813502,2.367894671697656,5.778912,14.520096,5,6.132070050898783,1404.0,7844.0,3.33299999999781,29.693000000007075,70860.89700000003,100.0,732,109.802734375,1544.2042968750002,6321.890625,Unknown,TCP
embb_04_10.csv,11025,172.30.1.250,294.943264,9160,1865,11.498052,0.495644,0.9586746237356691,0.31187156049103737,7.786880000000002,9.179488,51,29.433552663625452,1324.0,1324.0,0.10899999998059684,7.115300000001317,25246.273,100.0,42,21.216796875,1138.9882812500007,1478.453125,YouTube,QUIC
embb_05_18_a.csv,13839,172.30.1.250,404.615908,7194,6645,14.386152,1.539648,0.9033236634894323,0.28444066020261366,2.6393856,9.694304,3,34.081990925961584,108.0,6228.0,2.2890000000010957,56.169000000000736,50228.37300000001,100.0,219,3.35546875,294.7089843749999,2228.24609375,Pandora,TCP
embb_05_18_b.csv,4053,172.30.1.250,65.613277,1555,2498,0.277184,16.573356,0.01644956185380409,0.03379608672799561,0.18184,0.4952,0,14.652584010260334,128.0,10048.0,0.2690000000029613,123.06384999999882,4019.686,100.0,101,0.2265625,21.6328125,33.66796875,OneDrive,TLSv1.2
embb_06_09.csv,21429,172.30.1.250,341.109118,15616,5813,21.075536,0.879652,0.9599342078054627,0.49428255975262436,3.3163519999999993,12.010432,113,24.298716924204065,1308.0,1392.0,0.18199999999524152,37.51049999999051,18676.204999999994,100.0,411,0.2421875,179.16015625,4777.43359375,Chrome,QUIC
embb_11_18.csv,28770,172.30.1.250,1277.7742079999998,17475,11295,77.1361,1.371492,0.98253045386999,0.4829404100790866,9.731496,12.420384,184,25.71825372402784,1392.0,10048.0,3.1690000000708096,25.383449999953445,45040.48399999999,100.0,232,58.0625,1936.846484374999,3298.35546875,Netflix,TCP
embb_2.csv,248265,172.30.1.250,1741.595238,231268,16997,302.251492,3.7712,0.9876767308484431,1.3883891522216023,16.455843199999997,34.311872,816,24.713439992740195,1324.0,1324.0,0.07600000003549212,3.69500000000329,25380.949999999983,100.0,387,19.98046875,2153.19140625,15320.96484375,YouTube,UDP
embb_3.csv,51896,172.30.1.250,1030.534092,44899,6997,56.609424,2.130544,0.9637292277721363,0.4394569723754466,5.521404799999993,10.234336,25,23.28859625250496,1324.0,1324.0,0.0989999999774227,7.846299999988562,25315.314000000057,100.0,269,6.5078125,591.3382812499999,3886.75,YouTube,QUIC
mixed.csv,97094,172.30.1.250,930.039119,31726,65368,53.509608,59.38054,0.4739971463231672,0.4602783423349744,4.80038400000001,15.391104,196,33.438688255288135,1152.0,2760.0,3.3280000000104337,34.16119999994862,21635.996999999996,100.0,489,0.34375,504.3710937500006,7178.8828125,Meet,UDP
mmtc.csv,18790,172.30.1.250,3839.378492,9121,9669,8.70938,8.088712,0.5184743600642263,0.018147478855022974,0.3919248000000002,8.669632,1603,477.7320348055049,108.0,6616.0,5.062500000065029,857.637249999784,108581.29199999984,100.0,1118,0.515625,26.375000000000036,1058.3046875,USAA SafePilot,TCP
mmtc_03_03.csv,1860,172.30.1.250,982.615258,925,935,0.611952,0.257516,0.7038234874658987,0.004982230796990127,0.14384799999999998,1.094464,141,219.67348454856594,108.0,2311.599999999993,9.20299999997587,3114.4299000000233,128022.13000000006,100.0,165,0.51953125,14.652343750000014,186.6015625,Teams,TCP
mmtc_04_10.csv,1909,172.30.1.250,338.255263,986,923,0.394984,0.544368,0.42048561135761675,0.00934167874277835,0.098384,0.250976,31,26.86626321784173,104.0,1911.9999999999982,14.060000000000628,1029.1448000000007,25752.043999999983,100.0,259,0.14453125,5.791796874999996,36.234375,Teams,TCP
mmtc_05_18.csv,2075,172.30.1.250,1254.569541,1075,1000,0.744572,0.466904,0.6145990510748872,0.004747904205654551,0.8118816000000002,1.046688,1219,220.45263650295203,112.0,2661.5999999999985,2.8795000000627624,119.93839999992133,360520.5150000001,100.0,72,0.78125,61.292382812500094,124.23828125,Teams,TCP
mmtc_11_18.csv,5206,172.30.1.250,1436.365452,2621,2585,1.204328,0.6309,0.6562280000087183,0.006707641141455134,0.12584,1.334336,42,198.92775595185364,108.0,1392.0,5.535000000001844,1648.830150000005,70078.57999999999,100.0,377,0.4375,9.68671875,265.4765625,Volvo Cars,TCP
mmtc_2.csv,8316,172.30.1.250,707.015479,4098,4218,5.12204,1.242692,0.8047534444498213,0.05795675090163054,0.6760832000000004,8.957952,129,154.56270168084905,108.0,4040.0,3.520999999977903,267.6076000000021,84409.02199999997,100.0,456,0.431640625,31.32421875,1093.5,Volvo Cars,TCP
mmtc_3.csv,4782,172.30.1.250,1423.725926,2346,2436,1.30628,3.693752,0.26125432797230097,0.007340064410683493,0.19245439999999991,2.418336,30,329.4706782790765,112.0,8308.0,4.6820000000025175,979.9634000000136,180767.58300000007,100.0,268,0.443359375,11.8708984375,314.4296875,USAA SafePilot,TCP
urll.csv,204367,172.30.1.250,3420.559375,101949,102418,101.437252,102.392916,0.49765573465062346,0.23724131846125315,2.887336,3.009984,3253,12.687435812289158,1168.0,1240.0,0.17099999996617044,13.596000000234199,258064.36200000002,100.0,235,0.27734375,2.511328125000003,91559.5546875,Meet,UDP
urll_11_18.csv,173832,172.30.1.250,1258.846217,93996,79836,54.317712,49.513292,0.5231357678097768,0.3451904530766048,0.9297695999999999,1.257056,24,3.641630261776196,740.0,1116.0,6.664000000000669,48.435100000000396,4722.794000000001,100.0,406,10.1015625,529.921875,10926.23046875,Messenger,UDP
