key,mean_mbits_per_100ms,p50_mbits_per_100ms,p95_mbits_per_100ms,max_mbits_per_100ms,active_bins,active_bin_fraction,active_p50_mbits_per_100ms,equiv_mean_mbps,equiv_active_p50_mbps
tractor_onedrive,0.5215932342857144,0.326736,2.149635199999999,4.396128,577,0.8242857142857143,0.403264,5.215932342857143,4.03264
tractor_meet,0.09611305142857142,0.087888,0.19012479999999995,0.62928,585,0.8357142857142857,0.098016,0.9611305142857142,0.98016
carla_split,1.3295652342857143,0.0,8.6703436,8.723176,108,0.15428571428571428,8.629876,13.295652342857142,86.29875999999999
