run_group,udp_datagrams,bytes,duration_s,mean_mbps,sent_packets,sent_bytes,elapsed_s,offered_mbps,rx_packets,rx_ip_bytes,rx_duration_s,rx_mbps,packet_delivery,byte_delivery,active_windows,ul_sched_mbps_p50,ul_sched_mbps_p95,ul_avg_mcs_p50,ul_avg_mcs_p95,ul_avg_rbs_p50,ul_retx_rate_mean,ul_retx_rate_p95,bler_updates,branch_increase_low_bler_pct,branch_decrease_high_bler_pct,branch_decrease_few_samples_pct,branch_hold_target_pct,num_sched_p50,num_sched_p95,num_retx_p95,rlc_lcid4_kb_p50,rlc_lcid4_kb_p95,rlc_lcid4_kb_mean,rlc_lcid4_kb_max,bsr_lcg1_kb_p50,bsr_lcg1_kb_p95,bsr_lcg1_kb_max,gnb_snr_db_p50,gnb_snr_db_min,gnb_snr_db_max,gnb_pusch_mcs_p50,rlc_queue_wait_mean_ms,ran_ul_mean_ms,ran_ul_p50_ms,ran_ul_p95_ms,label
tractor_replay_bw273_vanilla_embb0303a_off100_60s_tcpdump_20260727_210512,40048,45639408,59.991,6.086,40048,45639408,59.991,6.086,40048,45639408,59.98970198631287,6.086299013175695,1.0,1.0,61,11.497568,52.573424,27.863445,28.0,106.185315,0.0,0.0,5430,7.661141804788213,0.0,58.95027624309392,33.38858195211786,1.0,17.0,0.0,0.0,8.1298828125,1.6339018195209027,142.765625,0.0,18.59746093749999,137.2802734375,50.5,48.0,51.0,28.0,3.6,4.7,5.2,7.2,"OneDrive eMBB
6.1 Mbps"
tractor_replay_bw273_vanilla_urllc0303_off240_60s_tcpdump_20260727_210842,9916,8409892,59.996,1.121,9916,8409892,59.996,1.121,9916,8409892,59.994779109954834,1.1214165132051714,1.0,1.0,61,2.647304,5.048064,27.936667,27.983871,56.430034,0.0,0.0,5312,6.1370481927710845,0.0,58.151355421686745,35.71159638554217,1.0,11.0,0.0,0.0,2.185546875,0.3376720286094912,52.9287109375,0.0,3.355761718749996,51.8759765625,51.0,50.0,51.5,28.0,4.0,5.3,5.6,7.5,"Google Meet
1.1 Mbps"
