key,run_group,rlc_drain_mbps_p50,rlc_drain_mbps_p95,rlc_drain_mbps_max,rlc_drain_active_mbps_p50,rlc_drain_active_mbps_p95,rlc_buffer_kb_p95,rlc_buffer_kb_max,mcs_p50,mcs_p95
tractor_onedrive,tractor_replay_bw273_vanilla_embb0303a_off100_60s_tcpdump_20260727_210512,3.900764,17.719140799999984,37.566864,4.257836,20.655901199999985,36.74677734375,54.6884765625,27.863445,28.0
tractor_meet,tractor_replay_bw273_vanilla_urllc0303_off240_60s_tcpdump_20260727_210842,0.87466,1.8140371999999998,2.170192,1.063656,1.8315876,4.42578125,6.621093749999993,27.936667,27.983871
carla_split,downlink_oai_bw273_mu1_ttracer_fps10_layerinstr_20260723_145921,8.545788,18.051666,25.273992,8.7112,18.258852,1011.5851806640624,1021.8660156249998,3.911259,4.9817276
