time,mono_sec,mono_nsec,ue_id,rb_id,sdu_bytes
21:20:41.757118,1587086,820663134,1,1,1501
21:20:41.757168,1587086,820713384,1,1,1501
21:20:41.757352,1587086,820897609,1,1,1501
21:20:41.759889,1587086,823434478,1,1,1501
21:20:41.759899,1587086,823444376,1,1,1501
21:20:41.760997,1587086,824542286,1,1,1501
21:20:41.761003,1587086,824548079,1,1,1501
21:20:41.762637,1587086,826182269,1,1,1501
21:20:41.762643,1587086,826188538,1,1,689
21:20:41.845172,1587086,908716752,1,1,1501
21:20:41.845471,1587086,909016325,1,1,1501
21:20:41.845477,1587086,909022361,1,1,1501
21:20:41.848696,1587086,912241539,1,1,1501
21:20:41.848704,1587086,912249351,1,1,1501
21:20:41.849241,1587086,912786645,1,1,1501
21:20:41.849249,1587086,912794205,1,1,1501
21:20:41.851626,1587086,915171247,1,1,1501
21:20:41.851635,1587086,915179949,1,1,689
21:20:41.945834,1587087,9379379,1,1,1501
21:20:41.946030,1587087,9575123,1,1,1501
21:20:41.946048,1587087,9593786,1,1,1501
21:20:41.949412,1587087,12956824,1,1,1501
21:20:41.949441,1587087,12986830,1,1,1501
21:20:41.949811,1587087,13356459,1,1,1501
21:20:41.949842,1587087,13387633,1,1,1501
21:20:41.952017,1587087,15562116,1,1,1501
21:20:41.952041,1587087,15585834,1,1,689
21:20:42.046427,1587087,109972731,1,1,1501
21:20:42.046876,1587087,110421059,1,1,1501
21:20:42.046891,1587087,110436418,1,1,1501
21:20:42.049981,1587087,113526696,1,1,1501
21:20:42.050077,1587087,113621948,1,1,1501
21:20:42.050500,1587087,114045720,1,1,1501
21:20:42.052396,1587087,115940891,1,1,1501
21:20:42.052833,1587087,116378028,1,1,1501
21:20:42.052843,1587087,116388031,1,1,689
21:20:42.155711,1587087,219256572,1,1,1501
21:20:42.156006,1587087,219551449,1,1,1501
21:20:42.156014,1587087,219559005,1,1,1501
21:20:42.158318,1587087,221863444,1,1,1501
21:20:42.158329,1587087,221873876,1,1,1501
21:20:42.158743,1587087,222288151,1,1,1501
21:20:42.158772,1587087,222316825,1,1,1501
21:20:42.161883,1587087,225428072,1,1,1501
21:20:42.161893,1587087,225438324,1,1,689
21:20:42.245505,1587087,309049862,1,1,1501
21:20:42.245869,1587087,309413959,1,1,1501
21:20:42.245875,1587087,309419908,1,1,1501
21:20:42.248430,1587087,311975374,1,1,1501
21:20:42.248442,1587087,311987741,1,1,1501
21:20:42.248825,1587087,312369839,1,1,1501
21:20:42.251550,1587087,315095616,1,1,1501
21:20:42.251936,1587087,315481631,1,1,1501
21:20:42.251945,1587087,315490586,1,1,689
21:20:42.367842,1587087,431387003,1,1,1501
21:20:42.368202,1587087,431746883,1,1,1501
21:20:42.368210,1587087,431755283,1,1,1501
21:20:42.370860,1587087,434405050,1,1,1501
21:20:42.370888,1587087,434432931,1,1,1501
21:20:42.371050,1587087,434594941,1,1,1501
21:20:42.373775,1587087,437320433,1,1,1501
21:20:42.374123,1587087,437668184,1,1,1501
21:20:42.374129,1587087,437674253,1,1,689
21:20:42.452568,1587087,516113630,1,1,1501
21:20:42.453265,1587087,516810163,1,1,1501
21:20:42.453292,1587087,516837156,1,1,1501
21:20:42.454387,1587087,517931901,1,1,1501
21:20:42.454396,1587087,517941052,1,1,1501
