time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
21:20:13.870013,3836,225,5,4,3,0
21:20:13.897639,3836,227,14,1,0,0
21:20:13.897641,3836,227,14,4,3,0
21:20:13.955377,3836,232,16,1,0,0
21:20:13.955379,3836,232,16,4,3,0
21:20:14.016154,3836,238,4,1,0,0
21:20:14.016155,3836,238,4,4,3,0
21:20:14.072958,3836,243,5,1,0,0
21:20:14.072959,3836,243,5,4,3,0
21:20:14.100905,3836,245,14,1,0,0
21:20:14.100907,3836,245,14,4,3,0
21:20:14.119722,3836,247,7,1,0,0
21:20:14.119723,3836,247,7,4,3,0
21:20:15.420703,960,358,15,1,0,0
21:20:15.420705,960,358,15,4,3,0
21:20:15.478452,960,363,16,1,0,0
21:20:15.478454,960,363,16,4,3,0
21:20:15.539499,960,369,4,1,0,0
21:20:15.539501,960,369,4,4,3,0
21:20:15.568145,960,371,14,1,0,0
21:20:15.568146,960,371,14,4,3,0
21:20:15.625839,960,376,15,1,0,0
21:20:15.625840,960,376,15,4,3,0
21:20:15.652939,960,379,4,1,0,0
21:20:15.652941,960,379,4,4,3,0
21:20:15.713170,960,384,10,1,0,0
21:20:15.713171,960,384,10,4,3,0
21:20:15.811969,960,389,5,1,0,0
21:20:15.811971,960,389,5,4,3,0
21:20:15.839886,960,391,14,1,0,0
21:20:15.839887,960,391,14,4,3,0
21:20:15.868375,960,394,4,1,0,0
21:20:15.868377,960,394,4,4,3,0
21:20:15.896959,960,396,14,1,0,0
21:20:15.896960,960,396,14,4,3,0
21:20:15.915754,960,398,7,1,0,0
21:20:15.915756,960,398,7,4,3,0
21:20:16.091143,3836,413,16,1,0,0
21:20:16.091145,3836,413,16,4,3,0
21:20:16.148659,3836,418,16,1,0,0
21:20:16.148660,3836,418,16,4,3,0
21:20:16.210614,3836,424,4,1,0,0
21:20:16.210616,3836,424,4,4,3,0
21:20:16.239026,3836,426,14,1,0,0
21:20:16.239027,3836,426,14,4,3,0
21:20:16.267169,3836,429,4,1,0,0
21:20:16.267170,3836,429,4,4,3,0
21:20:16.295651,3836,431,14,1,0,0
21:20:16.295652,3836,431,14,4,3,0
21:20:16.321889,3836,434,4,1,0,0
21:20:16.321890,3836,434,4,4,3,0
21:20:16.350197,3836,436,14,1,0,0
21:20:16.350199,3836,436,14,4,3,0
21:20:16.378581,3836,439,4,1,0,0
21:20:16.378582,3836,439,4,4,3,0
21:20:16.407575,3836,441,15,1,0,0
21:20:16.407576,3836,441,15,4,3,0
21:20:16.464429,3836,446,15,1,0,0
21:20:16.464431,3836,446,15,4,3,0
21:20:16.493777,3836,449,5,1,0,0
21:20:16.493779,3836,449,5,4,3,0
21:20:16.540111,3836,453,5,1,0,0
21:20:16.540112,3836,453,5,4,3,0
