recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
880827198787433,1786666190657602253,192.168.70.134,0,368435460,5,7,60000,60028,0
880827209719088,1786666190668529172,192.168.70.134,0,368435460,6,7,49656,49684,0
880827920333252,1786666191379160510,192.168.70.134,1,736870917,0,7,60000,60028,0
880827935954996,1786666191394775283,192.168.70.134,1,736870917,1,7,60000,60028,0
880827952756859,1786666191411579209,192.168.70.134,1,736870917,2,7,60000,60028,0
880827968655599,1786666191427556051,192.168.70.134,1,736870917,3,7,60000,60028,0
880827980051097,1786666191438866279,192.168.70.134,1,736870917,4,7,60000,60028,0
880827996848441,1786666191455672594,192.168.70.134,1,736870917,5,7,60000,60028,0
880828012032702,1786666191470855169,192.168.70.134,1,736870917,6,7,49656,49684,0
880828721548627,1786666192180384739,192.168.70.134,0,368435461,0,7,60000,60028,0
880828737245662,1786666192196076249,192.168.70.134,0,368435461,1,7,60000,60028,0
880828753461596,1786666192212300263,192.168.70.134,0,368435461,2,7,60000,60028,0
880828768250978,1786666192227080115,192.168.70.134,0,368435461,3,7,60000,60028,0
880828780380308,1786666192239203207,192.168.70.134,0,368435461,4,7,60000,60028,0
880828796755518,1786666192255579405,192.168.70.134,0,368435461,5,7,60000,60028,0
880828811498866,1786666192270323618,192.168.70.134,0,368435461,6,7,49656,49684,0
880829475500221,1786666192934350037,192.168.70.134,1,736870918,0,7,60000,60028,0
880829493621094,1786666192952473790,192.168.70.134,1,736870918,1,7,60000,60028,0
880829510492960,1786666192969357171,192.168.70.134,1,736870918,2,7,60000,60028,0
880829525917873,1786666192984764315,192.168.70.134,1,736870918,3,7,60000,60028,0
880829537973742,1786666192996808741,192.168.70.134,1,736870918,4,7,60000,60028,0
880829554537410,1786666193013372590,192.168.70.134,1,736870918,5,7,60000,60028,0
880829565406918,1786666193024239476,192.168.70.134,1,736870918,6,7,49656,49684,0
880830281895588,1786666193740747120,192.168.70.134,0,368435462,0,7,60000,60028,0
880830298735211,1786666193757580911,192.168.70.134,0,368435462,1,7,60000,60028,0
880830317445659,1786666193776290950,192.168.70.134,0,368435462,2,7,60000,60028,0
880830333429282,1786666193792270090,192.168.70.134,0,368435462,3,7,60000,60028,0
880830362781160,1786666193821626321,192.168.70.134,0,368435462,4,7,60000,60028,0
880830377747770,1786666193836586791,192.168.70.134,0,368435462,5,7,60000,60028,0
