action_index,profile_id,model_family,quantization_mode,quantization_bits,roi_drop_fraction,checkpoint_sha256,action_contract_sha256,registry_binding_status,fixture_status,production_codec_status,in_memory_wire_status,wire_shape_status,map_schema_status,model_front_status,model_edge_status,roi_execution_status,ae_execution_status,tail_execution_status,actual_udp_status,technical_validity_status,blocking_codes,pickle_bytes,zstd_bytes,udp_chunks,payload_bytes_uncompressed,max_quantization_abs_error,compressed_sha256
0,noae__u8__q0__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,9214ebccae52b3e06c1ea27b8d6d826fa71037fa0a212953cfa0b8b2b289ba0b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1460999,1073642,18,2903040,,819d0e142cadc2fbce334aa00c0f02111f159de014d8435fc9ad45314f7f122a
1,noae__u8__q0.3__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.3,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,91a3f279e78945020ede2717d337992fd2c36ff60ed789ea6d97f5b78c3eba4c,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,801539,14,2903040,,a14e14f7769b4505e2300abe008b6a0af49748c572d9ec182bb7f8e692529f7d
2,noae__u8__q0.5__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.5,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,81cc266f0f3e9b54e99ab0250313b478ada6e29d1787d6828808835ca30973cd,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,652604,11,2903040,,35703ad32c90243d43ece9de9be72fcffeb4c11bbfdd1c7ae12bd795098f7240
3,noae__u8__q0.7__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.7,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,d26fbf387cb921bfd73a85af193e333021131ca4f2a428774acf359caa7091ee,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,436045,8,2903040,,07ee9597350195f1715925792fe67d6c8b5d06b5b297b17d084c69354e1b0d34
4,noae__u8__q0.9__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.9,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,77db6a6b6173f9cfacbaa2343467588c2f4c0fd455f3c15dbf9f28972da7553b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,217937,4,2903040,,a6b5ad313a7e2980f11a7d58816b116881c6d2fd0f975d7f0fc74affe02a08fe
5,noae__u8__q0.98__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.98,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,48646eb6ddbc61f0b9c96472d116c5a552479018f850d8db3df89907764c7a0a,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461005,73910,2,2903040,,7c8eec7d15aa66e29ac6fae7e461a39e454dc0c1706c0aa1765d4709650ebc42
6,noae__u6__q0__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,d0bf852f00c052d49c0fe2288c241c2be458123d12266005d4fafedcbd7c26ff,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098119,807731,14,2903040,,536b3b46c5024544fd2ffcb49bcf97ed08a191d3b6db4257a5b61a3d5db4ee81
7,noae__u6__q0.3__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.3,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,0a0193aa51d99fcaef282bcd07aa31e455c1ebe496341237910560e4f29b3f37,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,603888,11,2903040,,c69f0ea78045e53db0b40cd379b2ae083670c118e665623d1dde943272569c5b
8,noae__u6__q0.5__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.5,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,ea58551b2982989388b46fb3f7953032535133f3d2b1fa0a256bb9458a005072,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,504543,9,2903040,,d38e2c32308b3bf6c2ea522f41136b87422265c46bed1c6755ee6ec52a937cfd
9,noae__u6__q0.7__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.7,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,445c716002128c698d8f29eb0486cb539fc1abc94823452d01fd04390be44d82,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,345824,6,2903040,,228ad5bb8c1033288dbfb8b41b597859c92aa4faf07ac3781332797ebd180ad4
