band,v_ms,eps_m,L_ms,L_anchor,fps_min_worstcase
~walk/slow,0.076,1.5,67.5,fresh best-estimate,0.1
~walk/slow,0.076,2.0,67.5,fresh best-estimate,0.0
~walk/slow,0.076,2.5,67.5,fresh best-estimate,0.0
~walk/slow,0.076,3.0,67.5,fresh best-estimate,0.0
~6 mph,3.227,1.5,67.5,fresh best-estimate,4.0
~6 mph,3.227,2.0,67.5,fresh best-estimate,2.2
~6 mph,3.227,2.5,67.5,fresh best-estimate,1.6
~6 mph,3.227,3.0,67.5,fresh best-estimate,1.3
~10 mph,4.596,1.5,67.5,fresh best-estimate,6.5
~10 mph,4.596,2.0,67.5,fresh best-estimate,3.4
~10 mph,4.596,2.5,67.5,fresh best-estimate,2.4
~10 mph,4.596,3.0,67.5,fresh best-estimate,1.9
~14 mph,6.313,1.5,67.5,fresh best-estimate,10.6
~14 mph,6.313,2.0,67.5,fresh best-estimate,5.1
~14 mph,6.313,2.5,67.5,fresh best-estimate,3.5
~14 mph,6.313,3.0,67.5,fresh best-estimate,2.7
~18 mph,8.114,1.5,67.5,fresh best-estimate,17.2
~18 mph,8.114,2.0,67.5,fresh best-estimate,7.2
~18 mph,8.114,2.5,67.5,fresh best-estimate,4.8
~18 mph,8.114,3.0,67.5,fresh best-estimate,3.6
~23 mph,10.519,1.5,67.5,fresh best-estimate,34.0
~23 mph,10.519,2.0,67.5,fresh best-estimate,11.0
~23 mph,10.519,2.5,67.5,fresh best-estimate,6.9
~23 mph,10.519,3.0,67.5,fresh best-estimate,5.1
~28 mph,12.331,1.5,67.5,fresh best-estimate,65.8
~28 mph,12.331,2.0,67.5,fresh best-estimate,14.7
~28 mph,12.331,2.5,67.5,fresh best-estimate,8.7
~28 mph,12.331,3.0,67.5,fresh best-estimate,6.3
~32 mph,14.756,1.5,67.5,fresh best-estimate,621.0
~32 mph,14.756,2.0,67.5,fresh best-estimate,21.9
~32 mph,14.756,2.5,67.5,fresh best-estimate,11.8
~32 mph,14.756,3.0,67.5,fresh best-estimate,8.2
~walk/slow,0.076,1.5,93.3,conservative design anchor,0.1
~walk/slow,0.076,2.0,93.3,conservative design anchor,0.0
~walk/slow,0.076,2.5,93.3,conservative design anchor,0.0
~walk/slow,0.076,3.0,93.3,conservative design anchor,0.0
~6 mph,3.227,1.5,93.3,conservative design anchor,4.5
~6 mph,3.227,2.0,93.3,conservative design anchor,2.4
~6 mph,3.227,2.5,93.3,conservative design anchor,1.7
~6 mph,3.227,3.0,93.3,conservative design anchor,1.3
~10 mph,4.596,1.5,93.3,conservative design anchor,7.8
~10 mph,4.596,2.0,93.3,conservative design anchor,3.7
~10 mph,4.596,2.5,93.3,conservative design anchor,2.5
~10 mph,4.596,3.0,93.3,conservative design anchor,1.9
~14 mph,6.313,1.5,93.3,conservative design anchor,14.7
~14 mph,6.313,2.0,93.3,conservative design anchor,5.8
~14 mph,6.313,2.5,93.3,conservative design anchor,3.8
~14 mph,6.313,3.0,93.3,conservative design anchor,2.9
~18 mph,8.114,1.5,93.3,conservative design anchor,30.9
~18 mph,8.114,2.0,93.3,conservative design anchor,8.9
~18 mph,8.114,2.5,93.3,conservative design anchor,5.5
~18 mph,8.114,3.0,93.3,conservative design anchor,4.0
~23 mph,10.519,1.5,93.3,conservative design anchor,273.8
~23 mph,10.519,2.0,93.3,conservative design anchor,15.3
~23 mph,10.519,2.5,93.3,conservative design anchor,8.3
~23 mph,10.519,3.0,93.3,conservative design anchor,5.8
~28 mph,12.331,1.5,93.3,conservative design anchor,INFEAS
~28 mph,12.331,2.0,93.3,conservative design anchor,23.7
~28 mph,12.331,2.5,93.3,conservative design anchor,11.3
~28 mph,12.331,3.0,93.3,conservative design anchor,7.5
~32 mph,14.756,1.5,93.3,conservative design anchor,INFEAS
~32 mph,14.756,2.0,93.3,conservative design anchor,50.3
~32 mph,14.756,2.5,93.3,conservative design anchor,17.0
~32 mph,14.756,3.0,93.3,conservative design anchor,10.4
