band,v_ms,err_legacy_m,err_fast_m,measured_gain_m,predicted_gain_m
~walk/slow,0.076,1.171,1.168,0.004,0.007
~6 mph,3.227,1.181,1.117,0.065,0.282
~10 mph,4.596,1.479,1.24,0.239,0.402
~14 mph,6.313,1.765,1.35,0.416,0.552
~18 mph,8.114,1.807,1.351,0.456,0.709
~23 mph,10.519,2.598,1.781,0.817,0.919
~28 mph,12.331,2.148,1.349,0.8,1.078
~32 mph,14.756,3.1,1.943,1.157,1.29
