seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
0,1589913690437017,1787375268626892353,1,1,1589913711250358,1,20.8133
1,1589913790502355,1787375268726957664,1,1,1589913813921354,1,23.4190
2,1589913890499985,1787375268826955328,1,1,1589913906900898,1,16.4009
3,1589913990495469,1787375268926950886,1,1,1589914012365235,1,21.8698
4,1589914090505325,1787375269026960818,1,1,1589914113152869,1,22.6475
5,1589914190506783,1787375269126962592,1,1,1589914237040159,1,46.5334
6,1589914290498263,1787375269226953801,1,1,1589914311792316,1,21.2941
7,1589914390496551,1787375269326952137,1,1,1589914402573793,1,12.0772
8,1589914490495525,1787375269426951220,1,1,1589914512555458,1,22.0599
9,1589914590520804,1787375269526976488,1,1,1589914615085787,1,24.5650
10,1589914690502197,1787375269626957593,1,1,1589914712322157,1,21.8200
11,1589914790494186,1787375269726949579,1,1,1589914802587059,1,12.0929
12,1589914890495828,1787375269826951320,1,1,1589914910499721,1,20.0039
13,1589914990493323,1787375269926948723,1,1,1589915013311391,1,22.8181
14,1589915090495995,1787375270026951620,1,1,1589915102447648,1,11.9517
15,1589915190499450,1787375270126954848,1,1,1589915225411053,1,34.9116
16,1589915290503847,1787375270226959276,1,1,1589915313176599,1,22.6728
17,1589915390495544,1787375270326950863,1,1,1589915402319538,1,11.8240
18,1589915490508430,1787375270426964081,1,1,1589915512049742,1,21.5413
19,1589915590497641,1787375270526953100,1,1,1589915602296823,1,11.7992
20,1589915690496074,1787375270626951656,1,1,1589915713722080,1,23.2260
21,1589915790494203,1787375270726950313,1,1,1589915804388829,1,13.8946
22,1589915890496048,1787375270826951554,1,1,1589915912265440,1,21.7694
23,1589915990501865,1787375270926957911,1,1,1589916012570916,1,22.0691
24,1589916090497590,1787375271026952922,1,1,1589916104473065,1,13.9755
25,1589916190498014,1787375271126953647,1,1,1589916227091437,1,36.5934
26,1589916290497154,1787375271226952582,1,1,1589916314010994,1,23.5138
27,1589916390491268,1787375271326946642,1,1,1589916403124777,1,12.6335
28,1589916490499544,1787375271426954970,1,1,1589916511054288,1,20.5547
29,1589916590493589,1787375271526949010,1,1,1589916610455814,1,19.9622
30,1589916690513497,1787375271626968915,1,1,1589916713073975,1,22.5605
31,1589916790493908,1787375271726949293,1,1,1589916801403189,1,10.9093
32,1589916890490746,1787375271826946160,1,1,1589916912563268,1,22.0725
33,1589916990499622,1787375271926955021,1,1,1589917015828371,1,25.3287
34,1589917090490718,1787375272026946237,1,1,1589917105259295,1,14.7686
35,1589917190489159,1787375272126944861,1,1,1589917231505151,1,41.0160
36,1589917290493422,1787375272226948920,1,1,1589917312304393,1,21.8110
37,1589917390495131,1787375272326951179,1,1,1589917411665668,1,21.1705
38,1589917490494658,1787375272426950166,1,1,1589917502272422,1,11.7778
39,1589917590518665,1787375272526974279,1,1,1589917614203760,1,23.6851
40,1589917690497823,1787375272626953364,1,1,1589917701709818,1,11.2120
41,1589917790489158,1787375272726944688,1,1,1589917812118022,1,21.6289
42,1589917890500273,1787375272826955780,1,1,1589917910636070,1,20.1358
43,1589917990489769,1787375272926945166,1,1,1589918012688953,1,22.1992
44,1589918090492856,1787375273026948253,1,1,1589918105731877,1,15.2390
45,1589918190489172,1787375273126944478,1,1,1589918210806058,1,20.3169
46,1589918290490250,1787375273226945655,1,1,1589918309115752,1,18.6255
47,1589918390498684,1787375273326954239,1,1,1589918412790054,1,22.2914
48,1589918490490412,1787375273426945816,1,1,1589918500705967,1,10.2156
49,1589918590493629,1787375273526949061,1,1,1589918612164705,1,21.6711
50,1589918690490605,1787375273626945990,1,1,1589918710460345,1,19.9697
51,1589918790489838,1787375273726945275,1,1,1589920093901916,1,1303.4121
52,1589918890490418,1787375273826946207,1,1,1589920093915951,1,1203.4255
53,1589918990489618,1787375273926945201,1,1,1589920095697430,1,1105.2078
54,1589919090491522,1787375274026946974,1,1,1589920095705194,1,1005.2137
55,1589919190489984,1787375274126945278,1,1,1589920095707177,1,905.2172
56,1589919290499001,1787375274226954466,1,1,1589920097391758,1,806.8928
57,1589919390499747,1787375274326955324,1,1,1589920097399641,1,706.8999
58,1589919490498326,1787375274426953940,1,1,1589920097401671,1,606.9033
59,1589919590496877,1787375274526952807,1,1,1589920097403318,1,506.9064
60,1589919690496711,1787375274626952219,1,1,1589920097404959,1,406.9082
