seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
0,2048,192.168.70.134,1787375268644741380,1589913708285408
1,2048,192.168.70.134,1787375268747870015,1589913811414025
2,2048,192.168.70.134,1787375268841007315,1589913904550973
3,2048,192.168.70.134,1787375268946246361,1589914009790069
4,2048,192.168.70.134,1787375269046734492,1589914110278746
5,2048,192.168.70.134,1787375269169870016,1589914233414011
6,2048,192.168.70.134,1787375269246247166,1589914309791430
7,2048,192.168.70.134,1787375269336507127,1589914400051051
8,2048,192.168.70.134,1787375269446553281,1589914510097319
9,2048,192.168.70.134,1787375269547818595,1589914611362156
10,2048,192.168.70.134,1787375269646501320,1589914710045300
11,2048,192.168.70.134,1787375269736483669,1589914800027994
12,2048,192.168.70.134,1787375269844704645,1589914908248915
13,2048,192.168.70.134,1787375269947260840,1589915010805078
14,2048,192.168.70.134,1787375270036536296,1589915100080262
15,2048,192.168.70.134,1787375270159193540,1589915222737621
16,2048,192.168.70.134,1787375270247258738,1589915310803057
17,2048,192.168.70.134,1787375270335941505,1589915399485483
18,2048,192.168.70.134,1787375270445554955,1589915509099030
19,2048,192.168.70.134,1787375270535770315,1589915599314239
20,2048,192.168.70.134,1787375270647202318,1589915710746529
21,2048,192.168.70.134,1787375270738441100,1589915801985091
22,2048,192.168.70.134,1787375270845932378,1589915909476653
23,2048,192.168.70.134,1787375270946873813,1589916010417963
24,2048,192.168.70.134,1787375271037849539,1589916101393708
25,2048,192.168.70.134,1787375271160554936,1589916224099201
26,2048,192.168.70.134,1787375271247033176,1589916310577376
27,2048,192.168.70.134,1787375271337006824,1589916400550916
28,2048,192.168.70.134,1787375271445021572,1589916508565249
29,2048,192.168.70.134,1787375271544308015,1589916607852100
30,2048,192.168.70.134,1787375271646822056,1589916710366334
31,2048,192.168.70.134,1787375271735325110,1589916798869234
32,2048,192.168.70.134,1787375271846339200,1589916909883433
33,2048,192.168.70.134,1787375271949249690,1589917012793606
34,2048,192.168.70.134,1787375272039314453,1589917102858672
35,2048,192.168.70.134,1787375272165409649,1589917228954027
36,2048,192.168.70.134,1787375272246147130,1589917309691344
37,2048,192.168.70.134,1787375272346029004,1589917409572687
38,2048,192.168.70.134,1787375272435851333,1589917499395130
39,2048,192.168.70.134,1787375272547965881,1589917611509744
40,2048,192.168.70.134,1787375272636298890,1589917699842867
41,2048,192.168.70.134,1787375272747017239,1589917810561341
42,2048,192.168.70.134,1787375272845310305,1589917908854200
43,2048,192.168.70.134,1787375272947598755,1589918011143120
44,2048,192.168.70.134,1787375273039996201,1589918103540302
45,2048,192.168.70.134,1787375273145046030,1589918208590319
46,2048,192.168.70.134,1787375273243741920,1589918307286055
47,2048,192.168.70.134,1787375273347979875,1589918411524016
