sequence_index,repetition_index,condition_index,condition_id,commanded_noise_power_db,expected_outcome,fresh_ran_epoch_required,candidate_application_count,clean_start_and_restore_command_db,measured_tail_s,expected_tail_frames,status
0,1,0,SUSTAIN_CANDIDATE_MINUS2P5,-2.5,SUSTAINED_SERVICE,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
1,1,1,ADJACENT_HARD_LOSS_MINUS2P0,-2.0,HARD_SERVICE_LOSS,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
2,2,0,SUSTAIN_CANDIDATE_MINUS2P5,-2.5,SUSTAINED_SERVICE,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
3,2,1,ADJACENT_HARD_LOSS_MINUS2P0,-2.0,HARD_SERVICE_LOSS,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
4,3,0,SUSTAIN_CANDIDATE_MINUS2P5,-2.5,SUSTAINED_SERVICE,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
5,3,1,ADJACENT_HARD_LOSS_MINUS2P0,-2.0,HARD_SERVICE_LOSS,True,1,-50.0,60.0,600,BLOCKED_PENDING_EXPLICIT_EXECUTE_LIVE
