variant,class_name,iou,decoder_invariant
noae,background,0.9972019627918706,True
noae,vehicle,0.9311647549584994,True
noae,person,0.5894315043387683,True
noae,mean,0.8392660740297128,True
ae32,background,0.996590120368487,True
ae32,vehicle,0.9157415958338668,True
ae32,person,0.5540224690875978,True
ae32,mean,0.8221180617633173,True
ae64,background,0.9965964795284785,True
ae64,vehicle,0.915855785155797,True
ae64,person,0.5619915382770587,True
ae64,mean,0.8248146009871115,True
ae128,background,0.9964574080224562,True
ae128,vehicle,0.9136743349340025,True
ae128,person,0.5468492701015305,True
ae128,mean,0.8189936710193297,True
