family,quant,sample_id,input_prediction_count,baseline_ms,selected_ms,paired_delta_ms
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000736_frame103666,9,0.0020105,0.006095,0.0040845
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000740_frame103674,4,0.001053,0.002966,0.001913
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000745_frame103684,5,0.0011655,0.003656,0.0024904999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000753_frame103700,8,0.001786,0.0072475,0.005461499999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000762_frame103718,6,0.0014335,0.003739,0.0023055000000000003
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000770_frame103734,6,0.0013905,0.003618,0.0022275000000000003
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000771_frame103736,6,0.001409,0.0044245,0.0030154999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000829_frame103852,4,0.001029,0.00296,0.001931
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000831_frame103856,5,0.0012665,0.0036705,0.002404
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000840_frame103874,9,0.0020395,0.007951,0.0059115
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000846_frame103886,6,0.0013645,0.002801,0.0014365
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000847_frame103888,5,0.0011545,0.0019285,0.0007740000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000882_frame103958,0,0.0001855,0.000259,7.35e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000900_frame103994,0,0.0002195,0.0003025,8.299999999999998e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000906_frame104006,1,0.0004165,0.0006195,0.00020300000000000006
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000909_frame104012,1,0.0003935,0.0005925,0.000199
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000914_frame104022,1,0.000406,0.000595,0.00018900000000000004
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000919_frame104032,1,0.000391,0.0005845,0.00019349999999999993
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000926_frame104046,2,0.00061,0.0011955,0.0005855
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000927_frame104048,2,0.000592,0.0011855,0.0005935
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000931_frame104056,2,0.0005865,0.0011885,0.0006020000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000936_frame104066,1,0.0004025,0.000605,0.00020249999999999993
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000937_frame104068,1,0.00039,0.0006065,0.00021650000000000006
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000957_frame104108,4,0.0009755,0.002744,0.0017684999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000968_frame104130,6,0.0014175,0.0044405,0.003023
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000977_frame104148,6,0.0013595,0.0031315,0.0017720000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000979_frame104152,6,0.001327,0.00382,0.002493
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000994_frame104182,11,0.002477,0.009955,0.007478
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000997_frame104188,5,0.001159,0.003678,0.0025189999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001052_frame104298,5,0.0011895,0.00376,0.0025705
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001057_frame104308,2,0.000582,0.001079,0.000497
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001067_frame104328,0,0.000185,0.0002505,6.550000000000002e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001071_frame104336,0,0.000201,0.0002685,6.750000000000001e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001101_frame104396,4,0.00103,0.0026365,0.0016064999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001104_frame104402,4,0.000994,0.002736,0.001742
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001110_frame104414,3,0.000803,0.001951,0.0011480000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001156_frame104506,2,0.0006405,0.0012555,0.0006150000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001168_frame104530,1,0.000408,0.000596,0.00018799999999999996
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001211_frame104616,9,0.002002,0.006611,0.004609
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001214_frame104622,6,0.001417,0.0037975,0.0023805
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001216_frame104626,7,0.001541,0.0046585,0.0031175000000000005
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001220_frame104634,12,0.002622,0.0118065,0.009184499999999998
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001221_frame104636,7,0.001585,0.005458,0.003873
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001230_frame104654,11,0.0024135,0.0095025,0.007089000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001234_frame104662,8,0.0017155,0.008071,0.0063555
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001239_frame104672,6,0.001382,0.0047395,0.0033575
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001242_frame104678,9,0.0020015,0.009615,0.0076135000000000005
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001255_frame104704,10,0.002177,0.010838,0.008661
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001264_frame104722,8,0.001817,0.007181,0.005364
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001265_frame104724,10,0.0021605,0.006951,0.0047905
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001271_frame104736,13,0.002908,0.012725,0.009817
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001300_frame104794,6,0.001486,0.002778,0.0012920000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001309_frame104812,9,0.0020425,0.005823,0.0037805
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001310_frame104814,8,0.001767,0.0043545,0.0025875
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001323_frame104840,7,0.001583,0.005634,0.004051
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001327_frame104848,6,0.0013955,0.004738,0.0033425
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001339_frame104872,7,0.0015745,0.005538,0.0039635
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001342_frame104878,7,0.0016595,0.0059845,0.004325000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001349_frame104892,9,0.0020235,0.0082005,0.006176999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001351_frame104896,9,0.00201,0.006812,0.004802000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001352_frame104898,9,0.0020115,0.0070565,0.005045000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001356_frame104906,7,0.001582,0.0057305,0.0041485
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001359_frame104912,7,0.00163,0.005657,0.004026999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001378_frame104950,8,0.001784,0.006912,0.005128
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001383_frame104960,5,0.001186,0.0041125,0.0029265
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001384_frame104962,6,0.0014045,0.0042025,0.0027979999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001385_frame104964,5,0.001228,0.0041985,0.0029705
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001389_frame104972,5,0.0012015,0.0041195,0.0029179999999999996
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001393_frame104980,5,0.0011735,0.004028,0.0028545000000000003
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001395_frame104984,5,0.001183,0.0040275,0.0028445
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001406_frame105006,5,0.0012025,0.0041215,0.002919
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001408_frame105010,5,0.001177,0.0040455,0.0028684999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001411_frame105016,5,0.0012055,0.004091,0.0028855
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001412_frame105018,5,0.001199,0.004167,0.0029679999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001415_frame105024,5,0.0011925,0.004039,0.0028465
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001419_frame105032,5,0.0012145,0.002694,0.0014795000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001531_frame105256,7,0.0015415,0.0054835,0.003941999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001537_frame105268,6,0.001458,0.0034335,0.0019755
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001539_frame105272,5,0.0011855,0.004123,0.0029375
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001565_frame105324,9,0.0019785,0.0078985,0.00592
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001567_frame105328,7,0.0015375,0.0055915,0.004054
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001608_frame105410,7,0.0015915,0.005408,0.0038164999999999996
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001610_frame105414,4,0.000996,0.00251,0.0015140000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001617_frame105428,6,0.0013725,0.004256,0.0028835
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001655_frame105504,8,0.00178,0.004979,0.003199
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001657_frame105508,8,0.00179,0.005974,0.004184
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001689_frame105572,6,0.0014635,0.004507,0.0030434999999999998
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001695_frame105584,9,0.002017,0.005286,0.0032689999999999998
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001788_frame105770,1,0.0004165,0.0006145,0.00019800000000000004
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001793_frame105780,1,0.0004085,0.0005985,0.00018999999999999996
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001794_frame105782,1,0.000419,0.00059,0.00017100000000000004
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001796_frame105786,1,0.0004165,0.000594,0.00017750000000000003
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001799_frame105792,2,0.000637,0.0007405,0.00010349999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001881_frame105956,0,0.0001955,0.000275,7.950000000000001e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001893_frame105980,0,0.0001915,0.000259,6.750000000000001e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001899_frame105992,0,0.00018,0.0002585,7.849999999999998e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001914_frame106022,4,0.0009885,0.001826,0.0008374999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001954_frame106102,9,0.0020455,0.008897,0.0068515
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001973_frame106140,9,0.0020195,0.00882,0.006800499999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001983_frame106160,11,0.0024015,0.012248,0.009846500000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001986_frame106166,10,0.002241,0.010854,0.008613
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001990_frame106174,8,0.00181,0.0080155,0.0062055
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001997_frame106188,8,0.001798,0.007915,0.006117
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001999_frame106192,8,0.001834,0.008077,0.006243000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002000_frame106194,8,0.0018345,0.008133,0.006298499999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002002_frame106198,8,0.0018405,0.0074885,0.005648
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002008_frame106210,7,0.0015905,0.0068035,0.005213
