family,quant,class_name,category,temporal_status,empty_scene_fp,fp_count,fraction_of_class_fp
ae64,uint8,vehicle,duplicate_same_class_claimed_gt,single_frame,False,658,0.29089301503094606
ae64,uint8,vehicle,no_plausible_nearby_gt,persistent,False,6,0.002652519893899204
ae64,uint8,vehicle,no_plausible_nearby_gt,persistent,True,2,0.0008841732979664014
ae64,uint8,vehicle,no_plausible_nearby_gt,single_frame,False,19,0.008399646330680813
ae64,uint8,vehicle,no_plausible_nearby_gt,single_frame,True,5,0.0022104332449160036
ae64,uint8,vehicle,other_nearby_gt_geometry,single_frame,False,4,0.0017683465959328027
ae64,uint8,vehicle,same_class_near_outside_match_radius,persistent,False,8,0.0035366931918656055
ae64,uint8,vehicle,same_class_near_outside_match_radius,single_frame,False,28,0.01237842617152962
noae,uint4,person,cross_class_confusion,single_frame,False,4,0.005532503457814661
noae,uint4,person,duplicate_same_class_claimed_gt,persistent,False,348,0.48132780082987553
noae,uint4,person,duplicate_same_class_claimed_gt,single_frame,False,302,0.41770401106500693
noae,uint4,person,no_plausible_nearby_gt,persistent,False,10,0.013831258644536652
noae,uint4,person,no_plausible_nearby_gt,single_frame,False,18,0.024896265560165973
noae,uint4,person,no_plausible_nearby_gt,single_frame,True,15,0.02074688796680498
noae,uint4,person,other_nearby_gt_geometry,persistent,False,2,0.0027662517289073307
noae,uint4,person,other_nearby_gt_geometry,single_frame,False,4,0.005532503457814661
noae,uint4,person,same_class_near_outside_match_radius,persistent,False,5,0.006915629322268326
noae,uint4,person,same_class_near_outside_match_radius,single_frame,False,15,0.02074688796680498
noae,uint4,vehicle,cross_class_confusion,persistent,False,2,0.0009760858955588092
noae,uint4,vehicle,cross_class_confusion,single_frame,False,6,0.0029282576866764276
noae,uint4,vehicle,duplicate_same_class_claimed_gt,persistent,False,1339,0.6534895070766228
noae,uint4,vehicle,duplicate_same_class_claimed_gt,single_frame,False,617,0.3011224987798926
noae,uint4,vehicle,no_plausible_nearby_gt,persistent,False,5,0.002440214738897023
noae,uint4,vehicle,no_plausible_nearby_gt,persistent,True,1,0.0004880429477794046
noae,uint4,vehicle,no_plausible_nearby_gt,single_frame,False,19,0.009272816007808687
noae,uint4,vehicle,no_plausible_nearby_gt,single_frame,True,8,0.003904343582235237
noae,uint4,vehicle,other_nearby_gt_geometry,single_frame,False,1,0.0004880429477794046
noae,uint4,vehicle,same_class_near_outside_match_radius,persistent,False,11,0.005368472425573451
noae,uint4,vehicle,same_class_near_outside_match_radius,single_frame,False,40,0.019521717911176184
noae,uint6,person,cross_class_confusion,single_frame,False,3,0.0041265474552957355
noae,uint6,person,duplicate_same_class_claimed_gt,persistent,False,369,0.5075653370013755
noae,uint6,person,duplicate_same_class_claimed_gt,single_frame,False,294,0.40440165061898214
noae,uint6,person,no_plausible_nearby_gt,persistent,False,10,0.013755158184319119
noae,uint6,person,no_plausible_nearby_gt,single_frame,False,14,0.01925722145804677
noae,uint6,person,no_plausible_nearby_gt,single_frame,True,15,0.02063273727647868
noae,uint6,person,other_nearby_gt_geometry,persistent,False,2,0.002751031636863824
noae,uint6,person,other_nearby_gt_geometry,single_frame,False,2,0.002751031636863824
noae,uint6,person,same_class_near_outside_match_radius,persistent,False,4,0.005502063273727648
noae,uint6,person,same_class_near_outside_match_radius,single_frame,False,14,0.01925722145804677
noae,uint6,vehicle,cross_class_confusion,persistent,False,2,0.001015744032503809
noae,uint6,vehicle,cross_class_confusion,single_frame,False,5,0.0025393600812595226
noae,uint6,vehicle,duplicate_same_class_claimed_gt,persistent,False,1298,0.659217877094972
noae,uint6,vehicle,duplicate_same_class_claimed_gt,single_frame,False,586,0.297613001523616
noae,uint6,vehicle,no_plausible_nearby_gt,persistent,False,6,0.0030472320975114273
noae,uint6,vehicle,no_plausible_nearby_gt,persistent,True,3,0.0015236160487557136
noae,uint6,vehicle,no_plausible_nearby_gt,single_frame,False,15,0.007618080243778568
noae,uint6,vehicle,no_plausible_nearby_gt,single_frame,True,10,0.005078720162519045
noae,uint6,vehicle,other_nearby_gt_geometry,single_frame,False,1,0.0005078720162519045
noae,uint6,vehicle,same_class_near_outside_match_radius,persistent,False,10,0.005078720162519045
noae,uint6,vehicle,same_class_near_outside_match_radius,single_frame,False,33,0.01675977653631285
noae,uint8,person,cross_class_confusion,single_frame,False,3,0.004155124653739612
noae,uint8,person,duplicate_same_class_claimed_gt,persistent,False,372,0.5152354570637119
noae,uint8,person,duplicate_same_class_claimed_gt,single_frame,False,285,0.39473684210526316
noae,uint8,person,no_plausible_nearby_gt,persistent,False,10,0.013850415512465374
noae,uint8,person,no_plausible_nearby_gt,persistent,True,1,0.0013850415512465374
noae,uint8,person,no_plausible_nearby_gt,single_frame,False,13,0.018005540166204988
noae,uint8,person,no_plausible_nearby_gt,single_frame,True,13,0.018005540166204988
noae,uint8,person,other_nearby_gt_geometry,persistent,False,2,0.002770083102493075
noae,uint8,person,other_nearby_gt_geometry,single_frame,False,3,0.004155124653739612
noae,uint8,person,same_class_near_outside_match_radius,persistent,False,4,0.00554016620498615
noae,uint8,person,same_class_near_outside_match_radius,single_frame,False,16,0.0221606648199446
noae,uint8,vehicle,cross_class_confusion,persistent,False,2,0.0010245901639344263
noae,uint8,vehicle,cross_class_confusion,single_frame,False,5,0.0025614754098360654
noae,uint8,vehicle,duplicate_same_class_claimed_gt,persistent,False,1282,0.6567622950819673
noae,uint8,vehicle,duplicate_same_class_claimed_gt,single_frame,False,580,0.29713114754098363
noae,uint8,vehicle,no_plausible_nearby_gt,persistent,False,7,0.003586065573770492
noae,uint8,vehicle,no_plausible_nearby_gt,persistent,True,4,0.0020491803278688526
noae,uint8,vehicle,no_plausible_nearby_gt,single_frame,False,15,0.007684426229508197
noae,uint8,vehicle,no_plausible_nearby_gt,single_frame,True,10,0.005122950819672131
noae,uint8,vehicle,other_nearby_gt_geometry,single_frame,False,1,0.0005122950819672131
noae,uint8,vehicle,same_class_near_outside_match_radius,persistent,False,12,0.006147540983606557
noae,uint8,vehicle,same_class_near_outside_match_radius,single_frame,False,34,0.017418032786885244
pooled,pooled,person,cross_class_confusion,persistent,False,1,0.00011528706479133042
pooled,pooled,person,cross_class_confusion,single_frame,False,29,0.003343324878948582
