candidate,group,raw_detection_count,installed_object_count,installed_duplicate_count,tp,fp,fn,prediction_count,gt_count,precision,recall,f1,fp_per_frame,xy_mae_m,xy_rmse_m,profile_frames
baseline,ae128,12381,12381,5475,6587,5794,727,12381,7314,0.5320248768273969,0.9006015859994531,0.6689007362274689,1.4412935323383085,,,4020
baseline,ae32,12273,12273,5487,6536,5737,778,12273,7314,0.5325511284934409,0.8936286573694285,0.6673814264563231,1.4271144278606964,,,4020
baseline,ae64,12250,12250,5436,6540,5710,774,12250,7314,0.5338775510204081,0.8941755537325676,0.6685749335514208,1.4203980099502487,,,4020
baseline,noae,11629,11629,4941,6397,5232,917,11629,7314,0.5500902915125978,0.8746240087503419,0.6753946048672332,1.3014925373134327,,,4020
combo_world_nms_3m_veh_thr_0p25,ae128,6926,6926,413,6293,633,1021,6926,7314,0.908605255558764,0.860404703308723,0.8838483146067415,0.15746268656716417,,,4020
combo_world_nms_3m_veh_thr_0p25,ae32,6860,6860,437,6235,625,1079,6860,7314,0.9088921282798834,0.8524747060432049,0.8797798786510513,0.15547263681592038,,,4020
combo_world_nms_3m_veh_thr_0p25,ae64,6865,6865,458,6219,646,1095,6865,7314,0.9058994901675164,0.850287120590648,0.8772127794625855,0.16069651741293534,,,4020
combo_world_nms_3m_veh_thr_0p25,noae,6776,6776,465,6096,680,1218,6776,7314,0.8996458087367178,0.8334700574241182,0.8652945351312987,0.1691542288557214,,,4020
baseline,pooled,48533,48533,21339,26060,22473,3196,48533,29256,0.5369542373230586,0.8907574514629478,0.6700176117445912,1.3975746268656717,,,16080
combo_world_nms_3m_veh_thr_0p25,pooled,27427,27427,1773,24843,2584,4413,27427,29256,0.905786269004995,0.8491591468416735,0.8765591094331635,0.16069651741293534,,,16080
