family,quant,sample_id,audit_split,source_prefix,collection_index,density_bin,class_name,score,pred_world_x,pred_world_y,nearest_same_class_gt_m,nearest_other_class_gt_m,nearest_any_gt_m,category,empty_scene_fp,temporal_status
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,3,5+,vehicle,0.5057582855224609,-47.24107888977445,26.93818821014886,2.308610829228483,28.374105284346072,2.308610829228483,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,3,5+,vehicle,0.4801678955554962,-52.64053475566328,20.1374392013103,0.7117926253325387,19.714703265688758,0.7117926253325387,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,3,5+,person,0.3932989239692688,-64.1384547255895,5.1436706045696825,1.6248655752149275,12.37216430733788,1.6248655752149275,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,3,5+,person,0.3767780661582947,-67.13622469220029,4.625577471108281,3.791166534079999,15.398347417142107,3.791166534079999,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,3,5+,vehicle,0.3349921405315399,-51.696731491167945,7.568791243824966,1.2060922439400386,12.403569814687804,1.2060922439400386,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000021_frame102236,audit_validation,moving_ego_pps200000_crowded_8loops_stride2,21,3-4,vehicle,0.235593095421791,-45.95090366313114,-0.3300225644628518,2.544668991408405,,2.544668991408405,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000025_frame102244,audit_test,moving_ego_pps200000_crowded_8loops_stride2,25,3-4,vehicle,0.2466650903224945,-44.85844071959162,49.39700267774419,0.4396704545511118,,0.4396704545511118,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000037_frame102268,audit_test,moving_ego_pps200000_crowded_8loops_stride2,37,3-4,vehicle,0.3643448650836944,-51.783738296625614,39.89337196332523,0.6795911017201599,,0.6795911017201599,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000056_frame102306,audit_test,moving_ego_pps200000_crowded_8loops_stride2,56,1-2,person,0.3514678180217743,-37.764506262798896,1.6966846387645744,,17.73671451948595,17.73671451948595,no_plausible_nearby_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000056_frame102306,audit_test,moving_ego_pps200000_crowded_8loops_stride2,56,1-2,vehicle,0.3084385097026825,-47.59851673483457,47.352979187608575,2.9855367811669753,,2.9855367811669753,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000057_frame102308,audit_test,moving_ego_pps200000_crowded_8loops_stride2,57,1-2,vehicle,0.3069691658020019,-47.63019652422165,47.25364997929999,3.0694832571217914,,3.0694832571217914,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000057_frame102308,audit_test,moving_ego_pps200000_crowded_8loops_stride2,57,1-2,person,0.2099867761135101,-39.5651210654724,3.606815484535262,,17.497271955414508,17.497271955414508,no_plausible_nearby_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000061_frame102316,audit_test,moving_ego_pps200000_crowded_8loops_stride2,61,3-4,vehicle,0.7034215331077576,-50.00952055173642,-7.023509246049155,2.1734379099303904,15.452113649521204,2.1734379099303904,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000061_frame102316,audit_test,moving_ego_pps200000_crowded_8loops_stride2,61,3-4,vehicle,0.4959252774715423,-49.22984960454584,-8.368808812588057,0.625817045576065,15.695974571077874,0.625817045576065,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000061_frame102316,audit_test,moving_ego_pps200000_crowded_8loops_stride2,61,3-4,vehicle,0.307850033044815,-47.632252714971294,47.48062652936113,2.941802520694959,46.46680202355934,2.941802520694959,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000063_frame102320,audit_test,moving_ego_pps200000_crowded_8loops_stride2,63,3-4,vehicle,0.3288729190826416,-51.61442711462681,-7.4346248115732925,1.4655598331483266,16.719150911017245,1.4655598331483266,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000063_frame102320,audit_test,moving_ego_pps200000_crowded_8loops_stride2,63,3-4,vehicle,0.3030411303043365,-47.67705709888377,47.39736371288026,3.025021475426932,46.29339079885653,3.025021475426932,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000076_frame102346,audit_test,moving_ego_pps200000_crowded_8loops_stride2,76,5+,vehicle,0.4828596115112304,-49.25775060019092,3.115584140907843,1.2251202037105526,9.30570842533906,1.2251202037105526,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000076_frame102346,audit_test,moving_ego_pps200000_crowded_8loops_stride2,76,5+,person,0.4737273752689361,-39.22806723730196,1.6812597685507316,1.0180477873908365,9.41390510352641,1.0180477873908365,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000076_frame102346,audit_test,moving_ego_pps200000_crowded_8loops_stride2,76,5+,vehicle,0.3055072426795959,-47.91568751623564,47.32284121949926,3.2655420618870896,15.072206029570209,3.2655420618870896,duplicate_same_class_claimed_gt,False,persistent
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000084_frame102362,audit_test,moving_ego_pps200000_crowded_8loops_stride2,84,5+,vehicle,0.488190621137619,-45.91884619596034,11.435215724770272,0.8905211520157439,10.498263478731635,0.8905211520157439,duplicate_same_class_claimed_gt,False,single_frame
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000084_frame102362,audit_test,moving_ego_pps200000_crowded_8loops_stride2,84,5+,vehicle,0.3163239955902099,-53.64107748707353,-0.691988727768747,1.555414011891245,13.086736395316347,1.555414011891245,duplicate_same_class_claimed_gt,False,single_frame
