angle_abs_mean_deg,availability,distance_bin,distance_mean_m,error_mean_m,error_median_m,error_p90_m,fov_bin,matches,opportunities,score_mean,source
3.7427878858737644,0.35714285714285715,0-15m,11.212943550125445,1.0400069596451744,0.9801558041216873,1.7779870993388782,center 0-10,10,28,0.5878040730953217,live_moving_control
48.634934061618374,0.2222222222222222,0-15m,6.9510927357956565,0.7055081367406071,0.6852936007589303,0.89076997559337,edge 40-60,16,72,0.4288292322307825,live_moving_control
18.380164941908223,0.7727272727272727,0-15m,10.799759881046553,0.8377795489274784,0.8119467972868704,1.4482109085478134,inner 10-25,85,110,0.687499539641773,live_moving_control
31.991023948527832,0.5454545454545454,0-15m,8.275911217423658,0.6887339780029774,0.6833554113017459,0.9890530199857727,outer 25-40,48,88,0.7030420511340102,live_moving_control
4.095082197007459,0.45161290322580644,15-25m,20.567911276879595,1.2906897843454368,1.3414203266770337,1.7939348413081795,center 0-10,70,155,0.40403117111751014,live_moving_control
57.50386363258269,0.0,15-25m,23.313155111830067,nan,nan,nan,edge 40-60,0,7,nan,live_moving_control
14.175535766574175,0.47435897435897434,15-25m,19.460669696161432,1.278863508334724,1.302117777502234,1.6943864272106133,inner 10-25,37,78,0.4901193875718761,live_moving_control
32.57020189953169,0.09375,15-25m,19.421239519735124,1.321279941803609,1.4152933039528768,1.6106872512813908,outer 25-40,3,32,0.5256129304567972,live_moving_control
3.528329571165781,0.11363636363636363,25-40m,32.537597979559166,1.341346744028591,1.3938997271177227,1.8365244251343507,center 0-10,35,308,0.3660876899957657,live_moving_control
50.491932254624096,0.0,25-40m,32.18199001726823,nan,nan,nan,edge 40-60,0,35,nan,live_moving_control
15.206690105246865,0.17391304347826086,25-40m,31.66833011692386,1.186418130569186,1.1447101551762269,1.8727734144156802,inner 10-25,12,69,0.3281877636909485,live_moving_control
34.87407064471041,0.0,25-40m,32.39101164732123,nan,nan,nan,outer 25-40,0,42,nan,live_moving_control
2.806877715733882,0.18581907090464547,0-15m,11.545426379056659,1.1623232063405429,1.123720301186284,1.7924539622871485,center 0-10,76,409,0.41144861692660734,live_speedsweep
49.37878442584333,0.16033755274261605,0-15m,8.446051322502022,1.1762778090348072,1.1837045262763382,1.847463096739416,edge 40-60,38,237,0.4315002133187495,live_speedsweep
17.17649996649625,0.29377431906614787,0-15m,12.236092050530168,1.1910571266307464,1.1979949522850104,1.8742075258179414,inner 10-25,151,514,0.5997946335385177,live_speedsweep
30.348250079940275,0.27319587628865977,0-15m,9.184758441601204,1.0835870906616778,1.045715208234218,1.783070274021845,outer 25-40,159,582,0.5540280418950807,live_speedsweep
3.999950598961026,0.1707070707070707,15-25m,19.01226125479771,1.3002776774459457,1.4295321774815912,1.8453951583095416,center 0-10,169,990,0.3834001748166846,live_speedsweep
49.75873147037862,0.029411764705882353,15-25m,20.93319759979311,0.7669572370955333,0.42951901831748984,1.5330798191158845,edge 40-60,4,136,0.2984350323677063,live_speedsweep
15.183402415707238,0.1348435814455232,15-25m,19.01316837365154,1.1586246769200919,1.2280494847316235,1.8336635163418424,inner 10-25,125,927,0.45088758373260496,live_speedsweep
32.23985700968671,0.1124031007751938,15-25m,19.8277757938635,1.2259392669742994,1.3566194405584586,1.7839439468412137,outer 25-40,29,258,0.4385337793621524,live_speedsweep
5.445689610144627,0.06520704426463589,25-40m,32.57435272556788,1.3960666450961805,1.5171173492753849,1.893451593164317,center 0-10,137,2101,0.3875828423421748,live_speedsweep
48.417996256123566,0.02286902286902287,25-40m,33.742551203087736,1.3222694963217103,1.5485589027865712,1.8028299020125542,edge 40-60,11,481,0.3413602262735367,live_speedsweep
16.15975792113401,0.05228758169934641,25-40m,33.0919714786895,1.2673851291916203,1.4177868739543045,1.9347993609710834,inner 10-25,48,918,0.3475361131131649,live_speedsweep
32.28800984133771,0.03480278422273782,25-40m,32.32343109024846,1.543844072759194,1.5038878428197675,1.942940207173939,outer 25-40,15,431,0.33532853027184806,live_speedsweep
3.1746304821617803,1.0,0-15m,9.217923289253598,0.3982825370939328,0.2975232937717374,0.8033001648659867,center 0-10,42,42,0.876618263622125,offline
51.37639531012959,0.844559585492228,0-15m,5.4912881196471695,0.36626594171168037,0.20754791307398596,0.6862479210660098,edge 40-60,163,193,0.7134074260669252,offline
18.10391838128368,0.9459459459459459,0-15m,10.424514989595156,0.5763127294535283,0.40108877352777156,1.033375316352951,inner 10-25,35,37,0.7112913723502841,offline
31.622920971821173,0.978021978021978,0-15m,6.944045003953871,0.3782192535710997,0.26681549161239104,0.7190143941269245,outer 25-40,89,91,0.6808646538954103,offline
5.054105286353484,1.0,15-25m,20.413512312847637,1.0547143161689798,0.9860594972811833,1.8759617324695268,center 0-10,69,69,0.4581107434587202,offline
52.542401384229784,0.7857142857142857,15-25m,20.619542564664567,1.3833045364523182,1.2513690746061266,2.3299626339510695,edge 40-60,22,28,0.4945828061212193,offline
15.79892022423534,0.9767441860465116,15-25m,19.352239475693814,1.110780895247785,0.8276808971877799,2.226831780004564,inner 10-25,42,43,0.4985461412441163,offline
31.495651543422,0.9090909090909091,15-25m,20.411644328724254,1.0662706998871796,0.9602057961550154,1.615407946109134,outer 25-40,20,22,0.42527036368846893,offline
5.547223263738322,0.9215686274509803,25-40m,32.379472227657544,1.1602993665994839,0.8817342209292897,2.256790403323598,center 0-10,94,102,0.4828249189130803,offline
49.781369701417354,0.7922077922077922,25-40m,33.76173022711948,1.4059489120401383,1.1744678958833108,2.7816157521658322,edge 40-60,183,231,0.4060410694346402,offline
15.98355902691066,0.9454545454545454,25-40m,32.478034036809746,0.7315389452342604,0.5064238295790271,1.6073284903274794,inner 10-25,104,110,0.48690508492290974,offline
34.316896033552126,0.8673469387755102,25-40m,32.678817982576334,1.1496302924455126,0.9952516007559784,2.2532865961935657,outer 25-40,85,98,0.4350264885846306,offline
