label,class_aware_mode,object_rows,current_supported_rows,current_supported_rate,class_aware_supported_rows,class_aware_supported_rate,support_gain_rows,support_loss_rows,current_support_mean,class_aware_support_mean,current_support_median,class_aware_support_median
person,person_radius,56516,2673,0.047296340859225704,5741,0.10158185292660485,3068,0,0.06430037511501167,0.1634227475405195,0.0,0.0
vehicle,bbox,58066,26033,0.4483346536699618,26042,0.4484896497089519,10,1,11.302397272069713,11.303551131471085,0.0,0.0
