block,family,valid,n,mu_mbps,effective_mu_mbps,demand,payload_bytes,onwire_bytes,allocation_envelope,allocation_efficiency,generated_demands,candidate_cell,allocation_aggregate_demand_mbps,allocation_aggregate_local_mbps,allocation_aggregate_central_mbps,allocation_worst_local_delivery_fraction,allocation_worst_central_delivery_fraction,allocation_central_throttles_any_below_local,local_goodput_mbps,central_goodput_mbps,local_worst_latency_p95_ms,central_worst_latency_p95_ms,local_worst_starvation_ms,central_worst_starvation_ms,deadline_lift_0.25_pp,deadline_lift_0.50_pp,latency_reduction_ms,starvation_reduction_ms,registered_meaningful_gap,pareto_safe
A,constant_ceiling,True,50,6.077408,6.077408,equal,92160,92232,ideal_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.266514285714285,3.697645714285714,5007.388697332295,5621.409653589162,8700.00000000006,20200.0,0.0,0.0,-614.0209562568671,-11499.99999999994,False,False
A,constant_ceiling,True,50,6.077408,6.077408,equal,92160,92232,measured_residual_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.266514285714285,3.697645714285714,5007.388697332295,5621.409653589162,8700.00000000006,20200.0,0.0,0.0,-614.0209562568671,-11499.99999999994,False,False
A,constant_ceiling,True,50,6.077408,6.077408,equal,132301,132409,ideal_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.3006777883096365,4.2337411690363345,6996.987800667365,8074.296673845164,12450.000000000064,28000.0,0.0,0.0,-1077.308873177799,-15549.999999999936,False,False
A,constant_ceiling,True,50,6.077408,6.077408,equal,132301,132409,measured_residual_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.3006777883096365,4.2337411690363345,6996.987800667365,8074.296673845164,12450.000000000064,28000.0,0.0,0.0,-1077.308873177799,-15549.999999999936,False,False
A,constant_ceiling,True,50,6.077408,6.077408,equal,409600,409852,ideal_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.300360867568258,4.09956580760398,21664.04431920878,25029.508948551756,38550.00000000018,86400.0,0.0,0.0,-3365.464629342976,-47849.99999999982,False,False
A,constant_ceiling,True,50,6.077408,6.077408,equal,409600,409852,measured_residual_max_min,1.0,400,False,6.685148800000006,4.254185599999999,4.254185599999999,0.6363636363636361,0.6363636363636361,False,4.300360867568258,4.09956580760398,21664.04431920878,25029.508948551756,38550.00000000018,86400.0,0.0,0.0,-3365.464629342976,-47849.99999999982,False,False
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,92160,92232,ideal_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.2169142857142856,3.6809142857142856,2529.3118269228535,1671.4096535891736,23257.36444045447,27600.000000000015,0.0,0.0,857.9021733336799,-4342.635559545546,True,False
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,92160,92232,measured_residual_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.2169142857142856,3.6809142857142856,2529.3118269228535,1671.4096535891736,23257.36444045447,27600.000000000015,0.0,0.0,857.9021733336799,-4342.635559545546,True,False
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,132301,132409,ideal_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.21727551342812,4.229557630331753,3550.696377707581,2356.796673845176,33356.805080891405,49500.0,0.0,0.0,1193.8997038624052,-16143.194919108595,True,False
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,132301,132409,measured_residual_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.21727551342812,4.229557630331753,3550.696377707581,2356.796673845176,33356.805080891405,49500.0,0.0,0.0,1193.8997038624052,-16143.194919108595,True,False
